Year,title,dimension,area,Value
2007,equivalised disposable income,gini coefficient of equivalised income before social transfers,germany,0.3
2008,equivalised disposable income,gini coefficient of equivalised income before social transfers,germany,0.3
2009,equivalised disposable income,gini coefficient of equivalised income before social transfers,germany,0.29
2010,equivalised disposable income,gini coefficient of equivalised income before social transfers,germany,0.29
2011,equivalised disposable income,gini coefficient of equivalised income before social transfers,germany,0.29
2012,equivalised disposable income,gini coefficient of equivalised income before social transfers,germany,0.28
2013,equivalised disposable income,gini coefficient of equivalised income before social transfers,germany,0.3
2014,equivalised disposable income,gini coefficient of equivalised income before social transfers,germany,0.31
2015,equivalised disposable income,gini coefficient of equivalised income before social transfers,germany,0.3
2016,equivalised disposable income,gini coefficient of equivalised income before social transfers,germany,0.3
2007,equivalised disposable income,gini coefficient of equivalised income before social transfers,eu-28,0.31
2008,equivalised disposable income,gini coefficient of equivalised income before social transfers,eu-28,0.31
2009,equivalised disposable income,gini coefficient of equivalised income before social transfers,eu-28,0.31
2010,equivalised disposable income,gini coefficient of equivalised income before social transfers,eu-28,0.31
2011,equivalised disposable income,gini coefficient of equivalised income before social transfers,eu-28,0.31
2012,equivalised disposable income,gini coefficient of equivalised income before social transfers,eu-28,0.31
2013,equivalised disposable income,gini coefficient of equivalised income before social transfers,eu-28,0.31
2014,equivalised disposable income,gini coefficient of equivalised income before social transfers,eu-28,0.31
2015,equivalised disposable income,gini coefficient of equivalised income before social transfers,eu-28,0.31
2016,equivalised disposable income,gini coefficient of equivalised income before social transfers,eu-28,0.31
