Year,Units,typification,Bundesland,GeoCode,Value
2004,m2/(inhabitant*a),a) rural and non-rural areas,,,-5.0959
2005,m2/(inhabitant*a),a) rural and non-rural areas,,,-4.9705
2006,m2/(inhabitant*a),a) rural and non-rural areas,,,-4.8484
2007,m2/(inhabitant*a),a) rural and non-rural areas,,,-4.7275
2008,m2/(inhabitant*a),a) rural and non-rural areas,,,-4.6092
2009,m2/(inhabitant*a),a) rural and non-rural areas,,,-4.33
2010,m2/(inhabitant*a),a) rural and non-rural areas,,,-4.0355
2011,m2/(inhabitant*a),a) rural and non-rural areas,,,-4.2225
2012,m2/(inhabitant*a),a) rural and non-rural areas,,,-3.7983
2013,m2/(inhabitant*a),a) rural and non-rural areas,,,-3.6363
2014,m2/(inhabitant*a),a) rural and non-rural areas,,,-3.693
2015,m2/(inhabitant*a),a) rural and non-rural areas,,,-2.8764
2016,m2/(inhabitant*a),a) rural and non-rural areas,,,-2.7155
2017,m2/(inhabitant*a),a) rural and non-rural areas,,,-2.7638
2018,m2/(inhabitant*a),a) rural and non-rural areas,,,-2.7952
2004,m2/(inhabitant*a),non-rural areas,,,-1.8043
2005,m2/(inhabitant*a),non-rural areas,,,-1.7704
2006,m2/(inhabitant*a),non-rural areas,,,-1.7366
2007,m2/(inhabitant*a),non-rural areas,,,-1.7025
2008,m2/(inhabitant*a),non-rural areas,,,-1.6685
2009,m2/(inhabitant*a),non-rural areas,,,-1.5469
2010,m2/(inhabitant*a),non-rural areas,,,-1.4725
2011,m2/(inhabitant*a),non-rural areas,,,-1.3912
2012,m2/(inhabitant*a),non-rural areas,,,-1.2292
2013,m2/(inhabitant*a),non-rural areas,,,-1.1798
2014,m2/(inhabitant*a),non-rural areas,,,-1.0512
2015,m2/(inhabitant*a),non-rural areas,,,-0.9517
2016,m2/(inhabitant*a),non-rural areas,,,-0.6443
2017,m2/(inhabitant*a),non-rural areas,,,-0.6412
2018,m2/(inhabitant*a),non-rural areas,,,-0.5722
2004,m2/(inhabitant*a),rural areas,,,-7.4453
2005,m2/(inhabitant*a),rural areas,,,-7.26
2006,m2/(inhabitant*a),rural areas,,,-7.0824
2007,m2/(inhabitant*a),rural areas,,,-6.909
2008,m2/(inhabitant*a),rural areas,,,-6.7417
2009,m2/(inhabitant*a),rural areas,,,-6.3583
2010,m2/(inhabitant*a),rural areas,,,-5.9131
2011,m2/(inhabitant*a),rural areas,,,-6.3059
2012,m2/(inhabitant*a),rural areas,,,-5.6959
