Year,Units,dimension,Bundesland,GeoCode,Value
2012,min.,in relation to the middle and upper centers of the respective year,a) germany (total),,23.5
2016,min.,in relation to the middle and upper centers of the respective year,a) germany (total),,22.4
2018,min.,in relation to the middle and upper centers of the respective year,a) germany (total),,21.9
2012,min.,in relation to the middle and upper centers of the year 2012,a) germany (total),,23.5
2016,min.,in relation to the middle and upper centers of the year 2012,a) germany (total),,22.8
2018,min.,in relation to the middle and upper centers of the year 2012,a) germany (total),,22.5
2012,min.,in relation to the middle and upper centers of the respective year,bw,code080000000000,22.8
2016,min.,in relation to the middle and upper centers of the respective year,bw,code080000000000,21.8
2018,min.,in relation to the middle and upper centers of the respective year,bw,code080000000000,21.6
2012,min.,in relation to the middle and upper centers of the respective year,by,code090000000000,23.7
2016,min.,in relation to the middle and upper centers of the respective year,by,code090000000000,22.4
2018,min.,in relation to the middle and upper centers of the respective year,by,code090000000000,20.9
2012,min.,in relation to the middle and upper centers of the respective year,be,code110000000000,27.2
2016,min.,in relation to the middle and upper centers of the respective year,be,code110000000000,24.9
2018,min.,in relation to the middle and upper centers of the respective year,be,code110000000000,24.4
2012,min.,in relation to the middle and upper centers of the respective year,bb,code120000000000,24.6
2016,min.,in relation to the middle and upper centers of the respective year,bb,code120000000000,22.3
2018,min.,in relation to the middle and upper centers of the respective year,bb,code120000000000,21.5
2012,min.,in relation to the middle and upper centers of the respective year,hb,code040000000000,24.5
2016,min.,in relation to the middle and upper centers of the respective year,hb,code040000000000,22.5
2018,min.,in relation to the middle and upper centers of the respective year,hb,code040000000000,21.8
2012,min.,in relation to the middle and upper centers of the respective year,hh,code020000000000,23.5
2016,min.,in relation to the middle and upper centers of the respective year,hh,code020000000000,25.8
2018,min.,in relation to the middle and upper centers of the respective year,hh,code020000000000,25.9
2012,min.,in relation to the middle and upper centers of the respective year,he,code060000000000,20.2
2016,min.,in relation to the middle and upper centers of the respective year,he,code060000000000,19.3
2018,min.,in relation to the middle and upper centers of the respective year,he,code060000000000,18.9
2012,min.,in relation to the middle and upper centers of the respective year,mv,code130000000000,32.3
2016,min.,in relation to the middle and upper centers of the respective year,mv,code130000000000,30.7
2018,min.,in relation to the middle and upper centers of the respective year,mv,code130000000000,30.6
2012,min.,in relation to the middle and upper centers of the respective year,ni,code030000000000,27.4
2016,min.,in relation to the middle and upper centers of the respective year,ni,code030000000000,25.6
2018,min.,in relation to the middle and upper centers of the respective year,ni,code030000000000,24.9
2012,min.,in relation to the middle and upper centers of the respective year,nw,code050000000000,19.4
2016,min.,in relation to the middle and upper centers of the respective year,nw,code050000000000,19.3
2018,min.,in relation to the middle and upper centers of the respective year,nw,code050000000000,19.0
2012,min.,in relation to the middle and upper centers of the respective year,rp,code070000000000,23.0
2016,min.,in relation to the middle and upper centers of the respective year,rp,code070000000000,20.9
2018,min.,in relation to the middle and upper centers of the respective year,rp,code070000000000,20.6
2012,min.,in relation to the middle and upper centers of the respective year,sl,code100000000000,22.6
2016,min.,in relation to the middle and upper centers of the respective year,sl,code100000000000,20.5
2018,min.,in relation to the middle and upper centers of the respective year,sl,code100000000000,20.5
2012,min.,in relation to the middle and upper centers of the respective year,sn,code140000000000,24.9
2016,min.,in relation to the middle and upper centers of the respective year,sn,code140000000000,23.3
2018,min.,in relation to the middle and upper centers of the respective year,sn,code140000000000,23.0
2012,min.,in relation to the middle and upper centers of the respective year,st,code150000000000,28.9
2016,min.,in relation to the middle and upper centers of the respective year,st,code150000000000,27.2
2018,min.,in relation to the middle and upper centers of the respective year,st,code150000000000,27.5
2012,min.,in relation to the middle and upper centers of the respective year,sh,code010000000000,30.1
2016,min.,in relation to the middle and upper centers of the respective year,sh,code010000000000,29.0
2018,min.,in relation to the middle and upper centers of the respective year,sh,code010000000000,28.3
2012,min.,in relation to the middle and upper centers of the respective year,th,code160000000000,24.4
2016,min.,in relation to the middle and upper centers of the respective year,th,code160000000000,23.5
2018,min.,in relation to the middle and upper centers of the respective year,th,code160000000000,23.0
