Year,Units,display,title,Unnamed: 114,Unnamed: 115,Value
2014.0,mio.,a) time series,total objects,,,7.9
2030.0,mio.,a) time series,total objects,,,11.2
2014.1,mio.,a) time series,total objects,,,15.1
2014.2,mio.,a) time series,total objects,,,18.2
2015.1,mio.,a) time series,total objects,,,19.7
2015.2,mio.,a) time series,total objects,,,20.4
2016.1,mio.,a) time series,total objects,,,22.5
2016.2,mio.,a) time series,total objects,,,23.7
2017.1,mio.,a) time series,total objects,,,24.2
2017.2,mio.,a) time series,total objects,,,24.2
2018.1,mio.,a) time series,total objects,,,26.4
2018.2,mio.,a) time series,total objects,,,32.1
2019.1,mio.,a) time series,total objects,,,33.0
2019.2,mio.,a) time series,total objects,,,32.1
2020.1,mio.,a) time series,total objects,,,33.0
2013.0,mio.,b) target (min),total objects,,,50.0
2015.1,mio.,a) time series,objects with digitalisat,.,.,6.2
2015.2,mio.,a) time series,objects with digitalisat,.,.,6.5
2016.1,mio.,a) time series,objects with digitalisat,.,.,7.4
2016.2,mio.,a) time series,objects with digitalisat,.,.,7.9
2017.1,mio.,a) time series,objects with digitalisat,.,.,7.9
2017.2,mio.,a) time series,objects with digitalisat,.,.,7.9
2018.1,mio.,a) time series,objects with digitalisat,.,.,10.2
2018.2,mio.,a) time series,objects with digitalisat,.,.,11.3
2019.1,mio.,a) time series,objects with digitalisat,.,.,11.3
2019.2,mio.,a) time series,objects with digitalisat,.,.,11.3
2020.1,mio.,a) time series,objects with digitalisat,.,.,11.3
