Year,Units,display,title,Bundesland,GeoCode,Value
2005,number,a) time series,employees in thousands,a) germany (total),,961.255
2006,number,a) time series,employees in thousands,a) germany (total),,926.296
2007,number,a) time series,employees in thousands,a) germany (total),,860.4910000000001
2008,number,a) time series,employees in thousands,a) germany (total),,840.0060000000001
2009,number,a) time series,employees in thousands,a) germany (total),,802.825
2010,number,a) time series,employees in thousands,a) germany (total),,780.757
2011,number,a) time series,employees in thousands,a) germany (total),,764.7360000000001
2012,number,a) time series,employees in thousands,a) germany (total),,772.7739999999999
2013,number,a) time series,employees in thousands,a) germany (total),,787.525
2014,number,a) time series,employees in thousands,a) germany (total),,785.432
2015,number,a) time series,employees in thousands,a) germany (total),,800.635
2016,number,a) time series,employees in thousands,a) germany (total),,842.301
2017,number,a) time series,employees in thousands,a) germany (total),,985.195
2018,number,a) time series,employees in thousands,a) germany (total),,929.2410000000001
2019,number,a) time series,employees in thousands,a) germany (total),,988.4010000000001
2011,number,a) time series,employees in thousands,bw,code08,175.984
2012,number,a) time series,employees in thousands,bw,code08,183.419
2013,number,a) time series,employees in thousands,bw,code08,183.856
2014,number,a) time series,employees in thousands,bw,code08,178.476
2015,number,a) time series,employees in thousands,bw,code08,181.672
2016,number,a) time series,employees in thousands,bw,code08,176.278
2017,number,a) time series,employees in thousands,bw,code08,197.18400000000003
2018,number,a) time series,employees in thousands,bw,code08,165.535
2011,number,a) time series,employees in thousands,by,code09,237.09
2012,number,a) time series,employees in thousands,by,code09,235.482
2013,number,a) time series,employees in thousands,by,code09,220.66299999999998
2014,number,a) time series,employees in thousands,by,code09,240.237
2015,number,a) time series,employees in thousands,by,code09,305.098
2016,number,a) time series,employees in thousands,by,code09,280.427
2017,number,a) time series,employees in thousands,by,code09,333.083
2018,number,a) time series,employees in thousands,by,code09,304.147
2011,number,a) time series,employees in thousands,be,code11,9.009
2012,number,a) time series,employees in thousands,be,code11,9.172
2013,number,a) time series,employees in thousands,be,code11,11.214
2014,number,a) time series,employees in thousands,be,code11,8.636000000000001
2015,number,a) time series,employees in thousands,be,code11,16.828
2016,number,a) time series,employees in thousands,be,code11,11.866
