Year,Units,display,sea,Value
1995,mg/l,a) time series,north sea,4.7279599999999995
1996,mg/l,a) time series,north sea,4.713
1997,mg/l,a) time series,north sea,4.4922699999999995
1998,mg/l,a) time series,north sea,4.2992099999999995
1999,mg/l,a) time series,north sea,4.14358
2000,mg/l,a) time series,north sea,4.033530000000001
2001,mg/l,a) time series,north sea,3.84692
2002,mg/l,a) time series,north sea,3.77564
2003,mg/l,a) time series,north sea,3.6314800000000003
2004,mg/l,a) time series,north sea,3.5976800000000004
2005,mg/l,a) time series,north sea,3.5666599999999997
2006,mg/l,a) time series,north sea,3.5697699999999997
2007,mg/l,a) time series,north sea,3.4929900000000003
2008,mg/l,a) time series,north sea,3.4585
2009,mg/l,a) time series,north sea,3.3919300000000003
2010,mg/l,a) time series,north sea,3.3971699999999996
2011,mg/l,a) time series,north sea,3.30884
2012,mg/l,a) time series,north sea,3.1785
2013,mg/l,a) time series,north sea,3.16622
2014,mg/l,a) time series,north sea,3.09675
2015,mg/l,a) time series,north sea,2.9889099999999997
2016,mg/l,a) time series,north sea,2.93161
2017,mg/l,a) time series,north sea,2.98814
1995,mg/l,b) target (max),north sea,2.8
1996,mg/l,b) target (max),north sea,2.8
1997,mg/l,b) target (max),north sea,2.8
1998,mg/l,b) target (max),north sea,2.8
1999,mg/l,b) target (max),north sea,2.8
2000,mg/l,b) target (max),north sea,2.8
2001,mg/l,b) target (max),north sea,2.8
2002,mg/l,b) target (max),north sea,2.8
2003,mg/l,b) target (max),north sea,2.8
2004,mg/l,b) target (max),north sea,2.8
2005,mg/l,b) target (max),north sea,2.8
2006,mg/l,b) target (max),north sea,2.8
2007,mg/l,b) target (max),north sea,2.8
2008,mg/l,b) target (max),north sea,2.8
2009,mg/l,b) target (max),north sea,2.8
2010,mg/l,b) target (max),north sea,2.8
2011,mg/l,b) target (max),north sea,2.8
2012,mg/l,b) target (max),north sea,2.8
2013,mg/l,b) target (max),north sea,2.8
2014,mg/l,b) target (max),north sea,2.8
2015,mg/l,b) target (max),north sea,2.8
2016,mg/l,b) target (max),north sea,2.8
2017,mg/l,b) target (max),north sea,2.8
1998,mg/l,a) time series,baltic sea,4.16589
1999,mg/l,a) time series,baltic sea,3.91814
2000,mg/l,a) time series,baltic sea,3.8322599999999998
2001,mg/l,a) time series,baltic sea,3.95776
2002,mg/l,a) time series,baltic sea,4.18152
2003,mg/l,a) time series,baltic sea,3.74075
2004,mg/l,a) time series,baltic sea,3.58244
2005,mg/l,a) time series,baltic sea,3.57734
2006,mg/l,a) time series,baltic sea,3.51546
2007,mg/l,a) time series,baltic sea,3.5240400000000003
2008,mg/l,a) time series,baltic sea,3.68638
2009,mg/l,a) time series,baltic sea,3.6021699999999996
2010,mg/l,a) time series,baltic sea,3.7537199999999995
2011,mg/l,a) time series,baltic sea,3.7846
2012,mg/l,a) time series,baltic sea,3.44749
2013,mg/l,a) time series,baltic sea,3.41017
2014,mg/l,a) time series,baltic sea,3.35181
2015,mg/l,a) time series,baltic sea,3.14552
2016,mg/l,a) time series,baltic sea,2.95369
2017,mg/l,a) time series,baltic sea,3.19107
1995,mg/l,b) target (max),baltic sea,2.6
1996,mg/l,b) target (max),baltic sea,2.6
1997,mg/l,b) target (max),baltic sea,2.6
1998,mg/l,b) target (max),baltic sea,2.6
1999,mg/l,b) target (max),baltic sea,2.6
2000,mg/l,b) target (max),baltic sea,2.6
2001,mg/l,b) target (max),baltic sea,2.6
2002,mg/l,b) target (max),baltic sea,2.6
2003,mg/l,b) target (max),baltic sea,2.6
2004,mg/l,b) target (max),baltic sea,2.6
2005,mg/l,b) target (max),baltic sea,2.6
2006,mg/l,b) target (max),baltic sea,2.6
2007,mg/l,b) target (max),baltic sea,2.6
2008,mg/l,b) target (max),baltic sea,2.6
2009,mg/l,b) target (max),baltic sea,2.6
2010,mg/l,b) target (max),baltic sea,2.6
2011,mg/l,b) target (max),baltic sea,2.6
2012,mg/l,b) target (max),baltic sea,2.6
2013,mg/l,b) target (max),baltic sea,2.6
2014,mg/l,b) target (max),baltic sea,2.6
2015,mg/l,b) target (max),baltic sea,2.6
2016,mg/l,b) target (max),baltic sea,2.6
2017,mg/l,b) target (max),baltic sea,2.6
