Year,display,title,dimension,sea,Value
2003,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,31.03
2004,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,24.14
2005,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,17.24
2006,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,17.24
2007,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,20.69
2008,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,24.14
2009,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,37.93
2010,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,37.93
2011,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,53.33
2012,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,40.0
2013,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,60.0
2014,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,50.0
2015,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,55.17
2016,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,56.67
2020,b) target,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,,100.0
2003,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,38.1
2004,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,23.81
2005,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,14.29
2006,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,14.29
2007,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,19.05
2008,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,23.81
2009,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,42.86
2010,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,42.86
2011,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,54.55
2012,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,40.91
2013,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,59.09
2014,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,40.91
2015,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,57.14
2016,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,north sea,59.09
2003,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,12.5
2004,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,25.0
2005,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,25.0
2006,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,25.0
2007,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,25.0
2008,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,25.0
2009,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,25.0
2010,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,25.0
2011,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,50.0
2012,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,37.5
2013,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,62.5
2014,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,75.0
2015,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,50.0
2016,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,,baltic sea,50.0
2003,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,37.18
2004,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,37.18
2005,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,37.18
2006,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,37.18
2007,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,37.18
2008,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,37.18
2009,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,37.18
2010,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,37.18
2011,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,38.46
2012,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,38.46
2013,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,38.46
2014,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,38.46
2015,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,37.18
2016,a) time series,sustainably fished stocks of fish in the north and baltic sea as a proportion of all msy examined stocks,msy-investigated from all managed stocks,,38.46
