Year,title,display,dimension,Value
1990,Species diversity and landscape quality,Time series,,76.6
1991,Species diversity and landscape quality,Time series,,72.3
1992,Species diversity and landscape quality,Time series,,71.3
1993,Species diversity and landscape quality,Time series,,73.1
1994,Species diversity and landscape quality,Time series,,76.6
1995,Species diversity and landscape quality,Time series,,73.1
1996,Species diversity and landscape quality,Time series,,76.0
1997,Species diversity and landscape quality,Time series,,72.8
1998,Species diversity and landscape quality,Time series,,70.1
1999,Species diversity and landscape quality,Time series,,74.8
2000,Species diversity and landscape quality,Time series,,71.9
2001,Species diversity and landscape quality,Time series,,71.1
2002,Species diversity and landscape quality,Time series,,69.7
2003,Species diversity and landscape quality,Time series,,69.8
2004,Species diversity and landscape quality,Time series,,72.4
2005,Species diversity and landscape quality,Time series,,71.1
2006,Species diversity and landscape quality,Time series,,70.2
2007,Species diversity and landscape quality,Time series,,70.2
2008,Species diversity and landscape quality,Time series,,70.4
2009,Species diversity and landscape quality,Time series,,67.4
2010,Species diversity and landscape quality,Time series,,68.0
2011,Species diversity and landscape quality,Time series,,66.6
2012,Species diversity and landscape quality,Time series,,70.8
2013,Species diversity and landscape quality,Time series,,68.0
2014,Species diversity and landscape quality,Time series,,67.2
2015,Species diversity and landscape quality,Time series,,70.3
2030,Species diversity and landscape quality,Target,,100.0
1990,Species diversity and landscape quality,Time series,Sub-index forests,81.6
1991,Species diversity and landscape quality,Time series,Sub-index forests,77.1
1992,Species diversity and landscape quality,Time series,Sub-index forests,76.8
1993,Species diversity and landscape quality,Time series,Sub-index forests,77.8
1994,Species diversity and landscape quality,Time series,Sub-index forests,80.8
1995,Species diversity and landscape quality,Time series,Sub-index forests,70.7
1996,Species diversity and landscape quality,Time series,Sub-index forests,78.0
1997,Species diversity and landscape quality,Time series,Sub-index forests,76.7
1998,Species diversity and landscape quality,Time series,Sub-index forests,70.6
1999,Species diversity and landscape quality,Time series,Sub-index forests,75.5
2000,Species diversity and landscape quality,Time series,Sub-index forests,73.4
2001,Species diversity and landscape quality,Time series,Sub-index forests,74.8
2002,Species diversity and landscape quality,Time series,Sub-index forests,74.3
2003,Species diversity and landscape quality,Time series,Sub-index forests,78.5
2004,Species diversity and landscape quality,Time series,Sub-index forests,79.1
2005,Species diversity and landscape quality,Time series,Sub-index forests,79.6
2006,Species diversity and landscape quality,Time series,Sub-index forests,78.5
