Year,Units,title,Value
2009,mio. eur,redd+,3.0
2010,mio. eur,redd+,20.0
2011,mio. eur,redd+,12.0
2012,mio. eur,redd+,24.9
2013,mio. eur,redd+,36.3
2014,mio. eur,redd+,31.0
2015,mio. eur,redd+,15.7
2016,mio. eur,redd+,59.75
2017,mio. eur,redd+,67.95
2018,mio. eur,redd+,63.0
2019,mio. eur,redd+,63.5
2009,mio. eur,bodenschutz,40.01
2010,mio. eur,bodenschutz,152.5
2011,mio. eur,bodenschutz,198.59
2012,mio. eur,bodenschutz,245.26
2013,mio. eur,bodenschutz,248.73
2014,mio. eur,bodenschutz,239.73
2015,mio. eur,bodenschutz,271.92
2016,mio. eur,bodenschutz,347.38
2017,mio. eur,bodenschutz,483.42
2018,mio. eur,bodenschutz,571.84
2019,mio. eur,bodenschutz,745.58
