Year,Units,display,criminal offences,Bundesland,GeoCode,Value
1993,per 100 000 inhabitants,a) time series,criminal offences (overall),,,8354.09457015837
1994,per 100 000 inhabitants,a) time series,criminal offences (overall),,,8062.642213909799
1995,per 100 000 inhabitants,a) time series,criminal offences (overall),,,8211.890948356158
1996,per 100 000 inhabitants,a) time series,criminal offences (overall),,,8165.842568512283
1997,per 100 000 inhabitants,a) time series,criminal offences (overall),,,8078.662118753064
1998,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7923.242591923106
1999,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7742.635703065916
2000,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7691.754431950974
2001,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7811.684379603033
2002,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7977.820574219226
2003,per 100 000 inhabitants,a) time series,criminal offences (overall),,,8055.253639552847
2004,per 100 000 inhabitants,a) time series,criminal offences (overall),,,8137.919486817421
2005,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7851.874369715258
2006,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7757.168414744588
2007,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7751.506858276656
2008,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7556.891734799835
2009,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7509.801934250343
2010,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7384.651681442372
2011,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7467.620036956166
2012,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7465.699962279607
2013,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7403.6
2014,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7530.3
2015,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7796.6
2016,per 100 000 inhabitants,a) time series,criminal offences (overall),,,7754.75869479833
2017,per 100 000 inhabitants,a) time series,criminal offences (overall),,,6982.4
2018,per 100 000 inhabitants,a) time series,criminal offences (overall),,,6710.185099104143
2030,per 100 000 inhabitants,b) target (max),criminal offences (overall),,,7000.0
1993,per 100 000 inhabitants,a) time series,other criminal offences,,,7310.504264285195
1994,per 100 000 inhabitants,a) time series,other criminal offences,,,6966.924334427155
1995,per 100 000 inhabitants,a) time series,other criminal offences,,,7062.667063050321
1996,per 100 000 inhabitants,a) time series,other criminal offences,,,6998.121501580844
1997,per 100 000 inhabitants,a) time series,other criminal offences,,,6894.92316354122
1998,per 100 000 inhabitants,a) time series,other criminal offences,,,6710.204275185175
1999,per 100 000 inhabitants,a) time series,other criminal offences,,,6531.120178668285
2000,per 100 000 inhabitants,a) time series,other criminal offences,,,6421.711662675029
2001,per 100 000 inhabitants,a) time series,other criminal offences,,,6517.954527090981
2002,per 100 000 inhabitants,a) time series,other criminal offences,,,6687.332132170928
2003,per 100 000 inhabitants,a) time series,other criminal offences,,,6657.4944221396945
2004,per 100 000 inhabitants,a) time series,other criminal offences,,,6648.568866993515
2005,per 100 000 inhabitants,a) time series,other criminal offences,,,6360.781355502339
2006,per 100 000 inhabitants,a) time series,other criminal offences,,,6260.012937242024
2007,per 100 000 inhabitants,a) time series,other criminal offences,,,6296.176331149556
2008,per 100 000 inhabitants,a) time series,other criminal offences,,,6137.35543243432
2009,per 100 000 inhabitants,a) time series,other criminal offences,,,6000.613653172638
2010,per 100 000 inhabitants,a) time series,other criminal offences,,,5857.6312164058145
2011,per 100 000 inhabitants,a) time series,other criminal offences,,,5972.006920558043
2012,per 100 000 inhabitants,a) time series,other criminal offences,,,5930.694888972265
2013,per 100 000 inhabitants,a) time series,other criminal offences,,,5894.4000000000015
2014,per 100 000 inhabitants,a) time series,other criminal offences,,,5986.7
2015,per 100 000 inhabitants,a) time series,other criminal offences,,,6243.8
2016,per 100 000 inhabitants,a) time series,other criminal offences,,,6306.226790883786
2017,per 100 000 inhabitants,a) time series,other criminal offences,,,5571.7
2018,per 100 000 inhabitants,a) time series,other criminal offences,,,5411.73906270641
1993,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,6123.163019951849
1994,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5729.468975686905
1995,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5675.863493976623
1996,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5763.052095091526
1997,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5822.948787558037
1998,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5611.139144253974
1999,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5508.377579970234
2000,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5458.928056351173
2001,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5551.180366309346
2002,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5730.4741197272315
2003,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5547.171560131334
2004,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,6220.2911259057055
2005,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5883.027988508223
2006,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5794.918512596058
2007,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5815.190218453511
2008,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5628.669482320423
2009,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5515.5824595349795
2010,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5457.241406153409
2011,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5562.282024010105
2012,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5455.05082977398
2013,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5450.5
2014,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5592.3
2015,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5760.805341672262
2016,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5598.845474170142
2017,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5295.45896768714
2018,per 100 000 inhabitants,a) time series,???other or overall ???,bb,code12,5190.519280532139
1993,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5698.936251782537
1994,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5755.526321103956
1995,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5659.3121307730835
1996,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5792.028484153958
1997,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5840.879955442845
1998,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5729.465455885303
1999,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5712.341218584315
2000,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5654.849465326123
2001,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5789.819689086414
2002,per 100 000 inhabitants,a) time series,???other or overall ???,be,code11,5671.817541254276
