Year,title,dimension,Value
2012,corruption perceptions index,rating for germany,79.0
2013,corruption perceptions index,rating for germany,78.0
2014,corruption perceptions index,rating for germany,79.0
2015,corruption perceptions index,rating for germany,81.0
2016,corruption perceptions index,rating for germany,81.0
2017,corruption perceptions index,rating for germany,81.0
2013,corruption perceptions index,number of partner countries of german development cooperation whose rating has improved compared with 2012,18.0
2014,corruption perceptions index,number of partner countries of german development cooperation whose rating has improved compared with 2012,39.0
2015,corruption perceptions index,number of partner countries of german development cooperation whose rating has improved compared with 2012,43.0
2016,corruption perceptions index,number of partner countries of german development cooperation whose rating has improved compared with 2012,43.0
2017,corruption perceptions index,number of partner countries of german development cooperation whose rating has improved compared with 2012,42.0
