Year,title,display,Bundesland,Value
1995,Share of expenditure for official development assistance in gross national income,Time series,,0.31
1996,Share of expenditure for official development assistance in gross national income,Time series,,0.32
1997,Share of expenditure for official development assistance in gross national income,Time series,,0.28
1998,Share of expenditure for official development assistance in gross national income,Time series,,0.26
1999,Share of expenditure for official development assistance in gross national income,Time series,,0.26
2000,Share of expenditure for official development assistance in gross national income,Time series,,0.27
2001,Share of expenditure for official development assistance in gross national income,Time series,,0.27
2002,Share of expenditure for official development assistance in gross national income,Time series,,0.27
2003,Share of expenditure for official development assistance in gross national income,Time series,,0.28
2004,Share of expenditure for official development assistance in gross national income,Time series,,0.28
2005,Share of expenditure for official development assistance in gross national income,Time series,,0.36
2006,Share of expenditure for official development assistance in gross national income,Time series,,0.36
2007,Share of expenditure for official development assistance in gross national income,Time series,,0.37
2008,Share of expenditure for official development assistance in gross national income,Time series,,0.38
2009,Share of expenditure for official development assistance in gross national income,Time series,,0.35
2010,Share of expenditure for official development assistance in gross national income,Time series,,0.39
2011,Share of expenditure for official development assistance in gross national income,Time series,,0.39
2012,Share of expenditure for official development assistance in gross national income,Time series,,0.37
2013,Share of expenditure for official development assistance in gross national income,Time series,,0.38
2014,Share of expenditure for official development assistance in gross national income,Time series,,0.42
2015,Share of expenditure for official development assistance in gross national income,Time series,,0.52
2016,Share of expenditure for official development assistance in gross national income,Time series,,0.7
2017,Share of expenditure for official development assistance in gross national income,Time series,,0.66
2010,Share of expenditure for official development assistance in gross national income,Time series,BB,0.02
2011,Share of expenditure for official development assistance in gross national income,Time series,BB,0.02
2012,Share of expenditure for official development assistance in gross national income,Time series,BB,0.02
2013,Share of expenditure for official development assistance in gross national income,Time series,BB,0.02
2014,Share of expenditure for official development assistance in gross national income,Time series,BB,0.02
2015,Share of expenditure for official development assistance in gross national income,Time series,BB,0.02
2010,Share of expenditure for official development assistance in gross national income,Time series,BE,0.05
2011,Share of expenditure for official development assistance in gross national income,Time series,BE,0.05
2012,Share of expenditure for official development assistance in gross national income,Time series,BE,0.05
2013,Share of expenditure for official development assistance in gross national income,Time series,BE,0.04
2014,Share of expenditure for official development assistance in gross national income,Time series,BE,0.04
2015,Share of expenditure for official development assistance in gross national income,Time series,BE,0.04
2010,Share of expenditure for official development assistance in gross national income,Time series,BW,0.03
2011,Share of expenditure for official development assistance in gross national income,Time series,BW,0.03
2012,Share of expenditure for official development assistance in gross national income,Time series,BW,0.03
2013,Share of expenditure for official development assistance in gross national income,Time series,BW,0.03
2014,Share of expenditure for official development assistance in gross national income,Time series,BW,0.03
2015,Share of expenditure for official development assistance in gross national income,Time series,BW,0.03
2010,Share of expenditure for official development assistance in gross national income,Time series,BY,0.02
2011,Share of expenditure for official development assistance in gross national income,Time series,BY,0.01
2012,Share of expenditure for official development assistance in gross national income,Time series,BY,0.01
2013,Share of expenditure for official development assistance in gross national income,Time series,BY,0.01
2014,Share of expenditure for official development assistance in gross national income,Time series,BY,0.02
2015,Share of expenditure for official development assistance in gross national income,Time series,BY,0.02
2010,Share of expenditure for official development assistance in gross national income,Time series,HB,0.09
2011,Share of expenditure for official development assistance in gross national income,Time series,HB,0.08
2012,Share of expenditure for official development assistance in gross national income,Time series,HB,0.08
2013,Share of expenditure for official development assistance in gross national income,Time series,HB,0.06
2014,Share of expenditure for official development assistance in gross national income,Time series,HB,0.05
2015,Share of expenditure for official development assistance in gross national income,Time series,HB,0.05
2010,Share of expenditure for official development assistance in gross national income,Time series,HE,0.03
2011,Share of expenditure for official development assistance in gross national income,Time series,HE,0.03
2012,Share of expenditure for official development assistance in gross national income,Time series,HE,0.03
2013,Share of expenditure for official development assistance in gross national income,Time series,HE,0.02
2014,Share of expenditure for official development assistance in gross national income,Time series,HE,0.03
