Year,Units,display,title,dimension,Bundesland,GeoCode,Value
2005,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,132.64
2006,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,136.88
2007,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,131.88
2008,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,136.64
2009,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,142.88
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,149.35
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,158.65
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,170.71
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,185.89
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,200.35
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,215.26
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,230.69
2017,1 000,a) time series,students and researchers from developing and emerging countries in germany,total,,,247.43
2020,1 000,b) target (max),students and researchers from developing and emerging countries in germany,total,,,237.0
2005,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,4.95
2006,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,5.01
2007,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,4.93
2008,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,5.33
2009,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,5.74
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,6.3
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,6.92
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,7.58
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,8.35
2014,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,9.24
2015,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,9.75
2016,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,10.12
2017,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,,,10.57
2010,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bb,DE4,0.67
2011,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bb,DE4,0.7
2012,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bb,DE4,0.81
2013,1 000,a) time series,students and researchers from developing and emerging countries in germany,students from ldcs,bb,DE4,0.9
