Year,Units,display,sex,Bundesland,GeoCode,Value
1991,per 100 000 inhabitants,a) time series,female,a) germany (total),,235
1992,per 100 000 inhabitants,a) time series,female,a) germany (total),,225
1993,per 100 000 inhabitants,a) time series,female,a) germany (total),,223
1994,per 100 000 inhabitants,a) time series,female,a) germany (total),,216
1995,per 100 000 inhabitants,a) time series,female,a) germany (total),,212
1996,per 100 000 inhabitants,a) time series,female,a) germany (total),,208
1997,per 100 000 inhabitants,a) time series,female,a) germany (total),,200
1998,per 100 000 inhabitants,a) time series,female,a) germany (total),,193
1999,per 100 000 inhabitants,a) time series,female,a) germany (total),,189
2000,per 100 000 inhabitants,a) time series,female,a) germany (total),,184
2001,per 100 000 inhabitants,a) time series,female,a) germany (total),,179
2002,per 100 000 inhabitants,a) time series,female,a) germany (total),,177
2003,per 100 000 inhabitants,a) time series,female,a) germany (total),,173
2004,per 100 000 inhabitants,a) time series,female,a) germany (total),,166
2005,per 100 000 inhabitants,a) time series,female,a) germany (total),,165
2006,per 100 000 inhabitants,a) time series,female,a) germany (total),,159
2007,per 100 000 inhabitants,a) time series,female,a) germany (total),,158
2008,per 100 000 inhabitants,a) time series,female,a) germany (total),,159
2009,per 100 000 inhabitants,a) time series,female,a) germany (total),,157
2010,per 100 000 inhabitants,a) time series,female,a) germany (total),,155
2011,per 100 000 inhabitants,a) time series,female,a) germany (total),,157
2012,per 100 000 inhabitants,a) time series,female,a) germany (total),,153
2013,per 100 000 inhabitants,a) time series,female,a) germany (total),,156
2014,per 100 000 inhabitants,a) time series,female,a) germany (total),,149
2015,per 100 000 inhabitants,a) time series,female,a) germany (total),,153
2016,per 100 000 inhabitants,a) time series,female,a) germany (total),,152
2017,per 100 000 inhabitants,a) time series,female,a) germany (total),,149
2018,per 100 000 inhabitants,a) time series,female,a) germany (total),,151
2030,per 100 000 inhabitants,b) target (max),female,a) germany (total),,100
1998,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,169
1999,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,168
2000,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,158
2001,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,160
2002,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,154
2003,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,154
2004,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,145
2005,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,144
2006,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,137
2007,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,137
2008,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,138
2009,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,135
2010,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,136
2011,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,135
2012,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,130
2013,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,135
2014,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,129
2015,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,133
2016,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,132
2017,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,128
2018,per 100 000 inhabitants,a) time series,female,bw,80000000000.0,130
1998,per 100 000 inhabitants,a) time series,female,by,90000000000.0,182
1999,per 100 000 inhabitants,a) time series,female,by,90000000000.0,177
2000,per 100 000 inhabitants,a) time series,female,by,90000000000.0,174
2001,per 100 000 inhabitants,a) time series,female,by,90000000000.0,168
2002,per 100 000 inhabitants,a) time series,female,by,90000000000.0,165
2003,per 100 000 inhabitants,a) time series,female,by,90000000000.0,162
2004,per 100 000 inhabitants,a) time series,female,by,90000000000.0,153
2005,per 100 000 inhabitants,a) time series,female,by,90000000000.0,155
2006,per 100 000 inhabitants,a) time series,female,by,90000000000.0,149
2007,per 100 000 inhabitants,a) time series,female,by,90000000000.0,148
2008,per 100 000 inhabitants,a) time series,female,by,90000000000.0,148
2009,per 100 000 inhabitants,a) time series,female,by,90000000000.0,146
2010,per 100 000 inhabitants,a) time series,female,by,90000000000.0,142
2011,per 100 000 inhabitants,a) time series,female,by,90000000000.0,147
2012,per 100 000 inhabitants,a) time series,female,by,90000000000.0,141
2013,per 100 000 inhabitants,a) time series,female,by,90000000000.0,142
2014,per 100 000 inhabitants,a) time series,female,by,90000000000.0,134
2015,per 100 000 inhabitants,a) time series,female,by,90000000000.0,139
2016,per 100 000 inhabitants,a) time series,female,by,90000000000.0,138
2017,per 100 000 inhabitants,a) time series,female,by,90000000000.0,132
2018,per 100 000 inhabitants,a) time series,female,by,90000000000.0,131
1998,per 100 000 inhabitants,a) time series,female,be,110000000000.0,224
