Year,Units,display,age,Bundesland,GeoCode,Value
1997,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,28.1
2001,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,27.5
2003,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,22.5
2004,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,23.5
2005,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,20.0
2007,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,17.7
2008,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,15.4
2010,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,12.9
2011,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,11.7
2012,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,12.0
2014,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,9.7
2015,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,7.8
2016,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,7.4
2018,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,6.6
2019,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,5.6
2030,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,7.0
1995,percentage (%),a) time series,adults (15 years and older),a) germany (total),,28.28
1999,percentage (%),a) time series,adults (15 years and older),a) germany (total),,28.3
2003,percentage (%),a) time series,adults (15 years and older),a) germany (total),,27.4
2005,percentage (%),a) time series,adults (15 years and older),a) germany (total),,27.2
2009,percentage (%),a) time series,adults (15 years and older),a) germany (total),,25.7
2013,percentage (%),a) time series,adults (15 years and older),a) germany (total),,24.5
2017,percentage (%),a) time series,adults (15 years and older),a) germany (total),,22.0
2030,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,19.0
1995,percentage (%),a) time series,adults (15 years and older),bw,Baden-Württemberg,24.38
1999,percentage (%),a) time series,adults (15 years and older),bw,Baden-Württemberg,26.13
2003,percentage (%),a) time series,adults (15 years and older),bw,Baden-Württemberg,25.53
2005,percentage (%),a) time series,adults (15 years and older),bw,Baden-Württemberg,24.5
2009,percentage (%),a) time series,adults (15 years and older),bw,Baden-Württemberg,22.8
2013,percentage (%),a) time series,adults (15 years and older),bw,Baden-Württemberg,22.21
2017,percentage (%),a) time series,adults (15 years and older),bw,Baden-Württemberg,21.23
1995,percentage (%),a) time series,adults (15 years and older),by,Bayern,24.41
1999,percentage (%),a) time series,adults (15 years and older),by,Bayern,25.99
2003,percentage (%),a) time series,adults (15 years and older),by,Bayern,25.12
2005,percentage (%),a) time series,adults (15 years and older),by,Bayern,24.2
2009,percentage (%),a) time series,adults (15 years and older),by,Bayern,23.5
2013,percentage (%),a) time series,adults (15 years and older),by,Bayern,22.15
2017,percentage (%),a) time series,adults (15 years and older),by,Bayern,20.51
1995,percentage (%),a) time series,adults (15 years and older),be,Berlin,33.04
1999,percentage (%),a) time series,adults (15 years and older),be,Berlin,35.5
2003,percentage (%),a) time series,adults (15 years and older),be,Berlin,34.12
2005,percentage (%),a) time series,adults (15 years and older),be,Berlin,32.7
2009,percentage (%),a) time series,adults (15 years and older),be,Berlin,31.3
2013,percentage (%),a) time series,adults (15 years and older),be,Berlin,28.85
2017,percentage (%),a) time series,adults (15 years and older),be,Berlin,25.47
1995,percentage (%),a) time series,adults (15 years and older),bb,Brandenburg,28.26
1999,percentage (%),a) time series,adults (15 years and older),bb,Brandenburg,31.03
2003,percentage (%),a) time series,adults (15 years and older),bb,Brandenburg,30.35
2005,percentage (%),a) time series,adults (15 years and older),bb,Brandenburg,29.0
2009,percentage (%),a) time series,adults (15 years and older),bb,Brandenburg,28.0
2013,percentage (%),a) time series,adults (15 years and older),bb,Brandenburg,25.77
