Year,Units,display,sex,Bundesland,GeoCode,Value
1999,percentage (%),a) time series,male and female,a) germany (total),,14.9
2000,percentage (%),a) time series,male and female,a) germany (total),,14.9
2001,percentage (%),a) time series,male and female,a) germany (total),,12.5
2002,percentage (%),a) time series,male and female,a) germany (total),,12.6
2003,percentage (%),a) time series,male and female,a) germany (total),,12.8
2004,percentage (%),a) time series,male and female,a) germany (total),,12.1
2005,percentage (%),a) time series,male and female,a) germany (total),,13.8
2006,percentage (%),a) time series,male and female,a) germany (total),,14.1
2007,percentage (%),a) time series,male and female,a) germany (total),,12.7
2008,percentage (%),a) time series,male and female,a) germany (total),,11.8
2009,percentage (%),a) time series,male and female,a) germany (total),,11.1
2010,percentage (%),a) time series,male and female,a) germany (total),,11.9
2011,percentage (%),a) time series,male and female,a) germany (total),,11.6
2012,percentage (%),a) time series,male and female,a) germany (total),,10.4
2013,percentage (%),a) time series,male and female,a) germany (total),,9.8
2014,percentage (%),a) time series,male and female,a) germany (total),,9.5
2015,percentage (%),a) time series,male and female,a) germany (total),,9.8
2016,percentage (%),a) time series,male and female,a) germany (total),,10.3
2017,percentage (%),a) time series,male and female,a) germany (total),,10.1
2018,percentage (%),a) time series,male and female,a) germany (total),,10.3
2019,percentage (%),a) time series,male and female,a) germany (total),,10.3
2030,percentage (%),b) target (max),male and female,a) germany (total),,10.0
1999,percentage (%),a) time series,female,a) germany (total),,15.6
2000,percentage (%),a) time series,female,a) germany (total),,15.2
2001,percentage (%),a) time series,female,a) germany (total),,12.8
2002,percentage (%),a) time series,female,a) germany (total),,12.6
2003,percentage (%),a) time series,female,a) germany (total),,12.8
2004,percentage (%),a) time series,female,a) germany (total),,11.9
2005,percentage (%),a) time series,female,a) germany (total),,14.2
2006,percentage (%),a) time series,female,a) germany (total),,13.8
2007,percentage (%),a) time series,female,a) germany (total),,12.0
2008,percentage (%),a) time series,female,a) germany (total),,11.2
2009,percentage (%),a) time series,female,a) germany (total),,10.8
2010,percentage (%),a) time series,female,a) germany (total),,11.0
2011,percentage (%),a) time series,female,a) germany (total),,10.6
2012,percentage (%),a) time series,female,a) germany (total),,9.7
2013,percentage (%),a) time series,female,a) germany (total),,9.3
2014,percentage (%),a) time series,female,a) germany (total),,9.0
2015,percentage (%),a) time series,female,a) germany (total),,9.5
2016,percentage (%),a) time series,female,a) germany (total),,9.6
2017,percentage (%),a) time series,female,a) germany (total),,9.0
2018,percentage (%),a) time series,female,a) germany (total),,9.1
2019,percentage (%),a) time series,female,a) germany (total),,8.7
1999,percentage (%),a) time series,male,a) germany (total),,14.2
2000,percentage (%),a) time series,male,a) germany (total),,14.6
2001,percentage (%),a) time series,male,a) germany (total),,12.2
2002,percentage (%),a) time series,male,a) germany (total),,12.6
2003,percentage (%),a) time series,male,a) germany (total),,12.9
2004,percentage (%),a) time series,male,a) germany (total),,12.2
2005,percentage (%),a) time series,male,a) germany (total),,13.5
2006,percentage (%),a) time series,male,a) germany (total),,14.4
2007,percentage (%),a) time series,male,a) germany (total),,13.5
