Year,Units,display,Bundesland,GeoCode,Value
2008,percentage (%),a) time series,a) germany (total),,81.8
2009,percentage (%),a) time series,a) germany (total),,82.5
2010,percentage (%),a) time series,a) germany (total),,81.7
2011,percentage (%),a) time series,a) germany (total),,82.0
2012,percentage (%),a) time series,a) germany (total),,81.0
2013,percentage (%),a) time series,a) germany (total),,81.4
2014,percentage (%),a) time series,a) germany (total),,81.8
2015,percentage (%),a) time series,a) germany (total),,81.0
2016,percentage (%),a) time series,a) germany (total),,81.8
2017,percentage (%),a) time series,a) germany (total),,83.1
2018,percentage (%),a) time series,a) germany (total),,82.7
2008,percentage (%),b) target,a) germany (total),,100.0
2009,percentage (%),b) target,a) germany (total),,100.0
2010,percentage (%),b) target,a) germany (total),,100.0
2011,percentage (%),b) target,a) germany (total),,100.0
2012,percentage (%),b) target,a) germany (total),,100.0
2013,percentage (%),b) target,a) germany (total),,100.0
2014,percentage (%),b) target,a) germany (total),,100.0
2015,percentage (%),b) target,a) germany (total),,100.0
2016,percentage (%),b) target,a) germany (total),,100.0
2017,percentage (%),b) target,a) germany (total),,100.0
2018,percentage (%),b) target,a) germany (total),,100.0
2008,percentage (%),a) time series,bw,Baden-Württemberg,89.2
2009,percentage (%),a) time series,bw,Baden-Württemberg,88.3
2010,percentage (%),a) time series,bw,Baden-Württemberg,89.2
2011,percentage (%),a) time series,bw,Baden-Württemberg,89.9
2012,percentage (%),a) time series,bw,Baden-Württemberg,90.8
2013,percentage (%),a) time series,bw,Baden-Württemberg,90.8
2014,percentage (%),a) time series,bw,Baden-Württemberg,91.7
2015,percentage (%),a) time series,bw,Baden-Württemberg,90.8
2016,percentage (%),a) time series,bw,Baden-Württemberg,91.7
2017,percentage (%),a) time series,bw,Baden-Württemberg,92.5
2018,percentage (%),a) time series,bw,Baden-Württemberg,93.3
2008,percentage (%),a) time series,by,Bayern,93.6
2009,percentage (%),a) time series,by,Bayern,94.5
2010,percentage (%),a) time series,by,Bayern,94.9
2011,percentage (%),a) time series,by,Bayern,93.6
2012,percentage (%),a) time series,by,Bayern,94.0
2013,percentage (%),a) time series,by,Bayern,94.1
2014,percentage (%),a) time series,by,Bayern,94.5
2015,percentage (%),a) time series,by,Bayern,94.4
2016,percentage (%),a) time series,by,Bayern,94.5
2017,percentage (%),a) time series,by,Bayern,92.7
2018,percentage (%),a) time series,by,Bayern,93.6
2008,percentage (%),a) time series,bb,Brandenburg,84.7
2009,percentage (%),a) time series,bb,Brandenburg,85.7
2010,percentage (%),a) time series,bb,Brandenburg,84.7
2011,percentage (%),a) time series,bb,Brandenburg,83.7
2012,percentage (%),a) time series,bb,Brandenburg,83.7
2013,percentage (%),a) time series,bb,Brandenburg,84.7
2014,percentage (%),a) time series,bb,Brandenburg,86.7
2015,percentage (%),a) time series,bb,Brandenburg,85.7
2016,percentage (%),a) time series,bb,Brandenburg,85.7
2017,percentage (%),a) time series,bb,Brandenburg,86.7
2018,percentage (%),a) time series,bb,Brandenburg,88.8
2008,percentage (%),a) time series,he,Hessen,87.9
2009,percentage (%),a) time series,he,Hessen,86.4
2010,percentage (%),a) time series,he,Hessen,83.6
2011,percentage (%),a) time series,he,Hessen,87.0
2012,percentage (%),a) time series,he,Hessen,82.3
2013,percentage (%),a) time series,he,Hessen,80.9
2014,percentage (%),a) time series,he,Hessen,87.1
2015,percentage (%),a) time series,he,Hessen,84.6
2016,percentage (%),a) time series,he,Hessen,84.7
2017,percentage (%),a) time series,he,Hessen,87.3
2018,percentage (%),a) time series,he,Hessen,80.9
2008,percentage (%),a) time series,mv,Mecklenburg-Vorpommern,88.7
2009,percentage (%),a) time series,mv,Mecklenburg-Vorpommern,90.0
2010,percentage (%),a) time series,mv,Mecklenburg-Vorpommern,86.2
2011,percentage (%),a) time series,mv,Mecklenburg-Vorpommern,86.2
2012,percentage (%),a) time series,mv,Mecklenburg-Vorpommern,85.0
2013,percentage (%),a) time series,mv,Mecklenburg-Vorpommern,85.0
2018,percentage (%),a) time series,mv,Mecklenburg-Vorpommern,81.4
2008,percentage (%),a) time series,ni,Niedersachsen,69.9
2009,percentage (%),a) time series,ni,Niedersachsen,73.0
2010,percentage (%),a) time series,ni,Niedersachsen,70.4
2011,percentage (%),a) time series,ni,Niedersachsen,69.7
2012,percentage (%),a) time series,ni,Niedersachsen,69.1
2013,percentage (%),a) time series,ni,Niedersachsen,69.3
2014,percentage (%),a) time series,ni,Niedersachsen,69.6
2015,percentage (%),a) time series,ni,Niedersachsen,68.7
2016,percentage (%),a) time series,ni,Niedersachsen,71.5
2017,percentage (%),a) time series,ni,Niedersachsen,70.7
2018,percentage (%),a) time series,ni,Niedersachsen,69.3
2008,percentage (%),a) time series,nw,Nordrhein-Westfalen,85.1
2009,percentage (%),a) time series,nw,Nordrhein-Westfalen,86.4
2010,percentage (%),a) time series,nw,Nordrhein-Westfalen,84.0
2011,percentage (%),a) time series,nw,Nordrhein-Westfalen,89.2
2012,percentage (%),a) time series,nw,Nordrhein-Westfalen,84.6
2013,percentage (%),a) time series,nw,Nordrhein-Westfalen,89.3
2014,percentage (%),a) time series,nw,Nordrhein-Westfalen,89.3
2015,percentage (%),a) time series,nw,Nordrhein-Westfalen,88.6
2016,percentage (%),a) time series,nw,Nordrhein-Westfalen,87.4
2017,percentage (%),a) time series,nw,Nordrhein-Westfalen,89.0
2018,percentage (%),a) time series,nw,Nordrhein-Westfalen,88.5
2008,percentage (%),a) time series,rp,Rheinland-Pfalz,78.3
2009,percentage (%),a) time series,rp,Rheinland-Pfalz,78.3
2010,percentage (%),a) time series,rp,Rheinland-Pfalz,76.8
2011,percentage (%),a) time series,rp,Rheinland-Pfalz,75.4
2012,percentage (%),a) time series,rp,Rheinland-Pfalz,71.0
2013,percentage (%),a) time series,rp,Rheinland-Pfalz,72.5
2014,percentage (%),a) time series,rp,Rheinland-Pfalz,75.4
2015,percentage (%),a) time series,rp,Rheinland-Pfalz,73.9
2016,percentage (%),a) time series,rp,Rheinland-Pfalz,76.8
2017,percentage (%),a) time series,rp,Rheinland-Pfalz,76.8
2018,percentage (%),a) time series,rp,Rheinland-Pfalz,72.1
2008,percentage (%),a) time series,sl,Saarland,100.0
2009,percentage (%),a) time series,sl,Saarland,100.0
2010,percentage (%),a) time series,sl,Saarland,100.0
2011,percentage (%),a) time series,sl,Saarland,87.5
2012,percentage (%),a) time series,sl,Saarland,100.0
2013,percentage (%),a) time series,sl,Saarland,100.0
2014,percentage (%),a) time series,sl,Saarland,100.0
2015,percentage (%),a) time series,sl,Saarland,100.0
2016,percentage (%),a) time series,sl,Saarland,100.0
2017,percentage (%),a) time series,sl,Saarland,100.0
2018,percentage (%),a) time series,sl,Saarland,100.0
2008,percentage (%),a) time series,sn,Sachsen,63.0
2009,percentage (%),a) time series,sn,Sachsen,64.8
2010,percentage (%),a) time series,sn,Sachsen,64.4
2011,percentage (%),a) time series,sn,Sachsen,70.5
2012,percentage (%),a) time series,sn,Sachsen,64.5
2013,percentage (%),a) time series,sn,Sachsen,66.7
2014,percentage (%),a) time series,sn,Sachsen,66.7
2015,percentage (%),a) time series,sn,Sachsen,68.3
2016,percentage (%),a) time series,sn,Sachsen,65.1
2017,percentage (%),a) time series,sn,Sachsen,71.0
2018,percentage (%),a) time series,sn,Sachsen,70.7
2008,percentage (%),a) time series,st,Sachsen-Anhalt,78.5
2009,percentage (%),a) time series,st,Sachsen-Anhalt,76.9
2010,percentage (%),a) time series,st,Sachsen-Anhalt,76.8
2011,percentage (%),a) time series,st,Sachsen-Anhalt,75.4
2012,percentage (%),a) time series,st,Sachsen-Anhalt,75.4
2013,percentage (%),a) time series,st,Sachsen-Anhalt,73.9
2014,percentage (%),a) time series,st,Sachsen-Anhalt,73.9
2015,percentage (%),a) time series,st,Sachsen-Anhalt,72.9
2016,percentage (%),a) time series,st,Sachsen-Anhalt,75.7
2017,percentage (%),a) time series,st,Sachsen-Anhalt,80.0
2018,percentage (%),a) time series,st,Sachsen-Anhalt,77.3
2008,percentage (%),a) time series,sh,Schleswig-Holstein,66.0
2009,percentage (%),a) time series,sh,Schleswig-Holstein,64.2
2010,percentage (%),a) time series,sh,Schleswig-Holstein,64.2
2011,percentage (%),a) time series,sh,Schleswig-Holstein,69.8
2012,percentage (%),a) time series,sh,Schleswig-Holstein,66.0
2013,percentage (%),a) time series,sh,Schleswig-Holstein,66.0
2014,percentage (%),a) time series,sh,Schleswig-Holstein,66.0
2015,percentage (%),a) time series,sh,Schleswig-Holstein,69.8
2016,percentage (%),a) time series,sh,Schleswig-Holstein,71.7
2017,percentage (%),a) time series,sh,Schleswig-Holstein,66.7
2018,percentage (%),a) time series,sh,Schleswig-Holstein,69.8
2008,percentage (%),a) time series,th,Thüringen,72.7
2009,percentage (%),a) time series,th,Thüringen,74.5
2010,percentage (%),a) time series,th,Thüringen,76.4
2011,percentage (%),a) time series,th,Thüringen,74.5
2012,percentage (%),a) time series,th,Thüringen,72.7
2013,percentage (%),a) time series,th,Thüringen,70.0
2014,percentage (%),a) time series,th,Thüringen,74.6
2016,percentage (%),a) time series,th,Thüringen,77.1
2017,percentage (%),a) time series,th,Thüringen,72.2
2018,percentage (%),a) time series,th,Thüringen,76.9
