Year,Units,display,title,Value
2012,mio.,a) time series,drinking water and sanitation,10.6
2013,mio.,a) time series,drinking water and sanitation,11.6
2014,mio.,a) time series,drinking water and sanitation,31.0
2015,mio.,a) time series,drinking water and sanitation,11.0
2016,mio.,a) time series,drinking water and sanitation,14.3
2017,mio.,a) time series,drinking water and sanitation,28.6
2018,mio.,a) time series,drinking water and sanitation,60.3
2012,mio.,b) target (min),drinking water and sanitation,10.0
2013,mio.,b) target (min),drinking water and sanitation,10.0
2014,mio.,b) target (min),drinking water and sanitation,10.0
2015,mio.,b) target (min),drinking water and sanitation,10.0
2016,mio.,b) target (min),drinking water and sanitation,10.0
2017,mio.,b) target (min),drinking water and sanitation,10.0
2018,mio.,b) target (min),drinking water and sanitation,10.0
2030,mio.,b) target (min),drinking water and sanitation,10.0
2019,mio.,a) time series,drinking water,14.3
2019,mio.,b) target (min),drinking water,6.0
2030,mio.,b) target (min),drinking water,6.0
2019,mio.,a) time series,,6.1
2019,mio.,b) target (min),,4.0
2030,mio.,b) target (min),,4.0
