Year,Units,display,title,Bundesland,GeoCode,Value
2008,2008 = 100,a) time series,a) final energy productivity,a) germany (total),,100.0
2009,2008 = 100,a) time series,a) final energy productivity,a) germany (total),,99.7
2010,2008 = 100,a) time series,a) final energy productivity,a) germany (total),,96.7
2011,2008 = 100,a) time series,a) final energy productivity,a) germany (total),,105.3
2012,2008 = 100,a) time series,a) final energy productivity,a) germany (total),,105.3
2013,2008 = 100,a) time series,a) final energy productivity,a) germany (total),,102.8
2014,2008 = 100,a) time series,a) final energy productivity,a) germany (total),,110.8
2015,2008 = 100,a) time series,a) final energy productivity,a) germany (total),,110.0
2016,2008 = 100,a) time series,a) final energy productivity,a) germany (total),,110.3
2017,2008 = 100,a) time series,a) final energy productivity,a) germany (total),,111.5
2018,2008 = 100,a) time series,a) final energy productivity,a) germany (total),,115.9
2019,2008 = 100,a) time series,a) final energy productivity,a) germany (total),,115.4
2050,2008 = 100,b) target,a) final energy productivity,a) germany (total),,239.0
2008,2008 = 100,a) time series,a) final energy productivity,bw,80000000000.0,100.0
2009,2008 = 100,a) time series,a) final energy productivity,bw,80000000000.0,95.6
2010,2008 = 100,a) time series,a) final energy productivity,bw,80000000000.0,100.4
2011,2008 = 100,a) time series,a) final energy productivity,bw,80000000000.0,109.6
2012,2008 = 100,a) time series,a) final energy productivity,bw,80000000000.0,111.9
2013,2008 = 100,a) time series,a) final energy productivity,bw,80000000000.0,107.7
2014,2008 = 100,a) time series,a) final energy productivity,bw,80000000000.0,117.2
2015,2008 = 100,a) time series,a) final energy productivity,bw,80000000000.0,116.9
2016,2008 = 100,a) time series,a) final energy productivity,bw,80000000000.0,115.5
2017,2008 = 100,a) time series,a) final energy productivity,bw,80000000000.0,125.4
2008,2008 = 100,a) time series,a) final energy productivity,by,90000000000.0,100.0
2009,2008 = 100,a) time series,a) final energy productivity,by,90000000000.0,98.7
2010,2008 = 100,a) time series,a) final energy productivity,by,90000000000.0,96.3
2011,2008 = 100,a) time series,a) final energy productivity,by,90000000000.0,103.2
2012,2008 = 100,a) time series,a) final energy productivity,by,90000000000.0,104.6
2013,2008 = 100,a) time series,a) final energy productivity,by,90000000000.0,105.0
2014,2008 = 100,a) time series,a) final energy productivity,by,90000000000.0,112.9
2015,2008 = 100,a) time series,a) final energy productivity,by,90000000000.0,112.3
2016,2008 = 100,a) time series,a) final energy productivity,by,90000000000.0,111.4
2017,2008 = 100,a) time series,a) final energy productivity,by,90000000000.0,115.7
2008,2008 = 100,a) time series,a) final energy productivity,be,110000000000.0,100.0
2009,2008 = 100,a) time series,a) final energy productivity,be,110000000000.0,98.3
2010,2008 = 100,a) time series,a) final energy productivity,be,110000000000.0,93.1
2011,2008 = 100,a) time series,a) final energy productivity,be,110000000000.0,108.6
2012,2008 = 100,a) time series,a) final energy productivity,be,110000000000.0,107.4
2013,2008 = 100,a) time series,a) final energy productivity,be,110000000000.0,104.1
2014,2008 = 100,a) time series,a) final energy productivity,be,110000000000.0,115.5
2015,2008 = 100,a) time series,a) final energy productivity,be,110000000000.0,122.4
2016,2008 = 100,a) time series,a) final energy productivity,be,110000000000.0,125.0
2017,2008 = 100,a) time series,a) final energy productivity,be,110000000000.0,131.3
2008,2008 = 100,a) time series,a) final energy productivity,bb,120000000000.0,100.0
2009,2008 = 100,a) time series,a) final energy productivity,bb,120000000000.0,101.2
2010,2008 = 100,a) time series,a) final energy productivity,bb,120000000000.0,97.5
2011,2008 = 100,a) time series,a) final energy productivity,bb,120000000000.0,99.4
2012,2008 = 100,a) time series,a) final energy productivity,bb,120000000000.0,100.1
2013,2008 = 100,a) time series,a) final energy productivity,bb,120000000000.0,96.4
2014,2008 = 100,a) time series,a) final energy productivity,bb,120000000000.0,103.7
