Year,display,title,Bundesland,GeoCode,Value
1990,time series,generation of renewable energies relative to gross final energy consumption,,,2.0
1993,time series,generation of renewable energies relative to gross final energy consumption,,,2.1
1995,time series,generation of renewable energies relative to gross final energy consumption,,,2.2
1996,time series,generation of renewable energies relative to gross final energy consumption,,,2.1
1997,time series,generation of renewable energies relative to gross final energy consumption,,,2.8
1998,time series,generation of renewable energies relative to gross final energy consumption,,,3.2
1999,time series,generation of renewable energies relative to gross final energy consumption,,,3.4
2000,time series,generation of renewable energies relative to gross final energy consumption,,,3.7
2001,time series,generation of renewable energies relative to gross final energy consumption,,,4.0
2002,time series,generation of renewable energies relative to gross final energy consumption,,,4.4
2003,time series,generation of renewable energies relative to gross final energy consumption,,,5.8
2004,time series,generation of renewable energies relative to gross final energy consumption,,,6.5
2005,time series,generation of renewable energies relative to gross final energy consumption,,,7.2
2006,time series,generation of renewable energies relative to gross final energy consumption,,,8.4
2007,time series,generation of renewable energies relative to gross final energy consumption,,,10.2
2008,time series,generation of renewable energies relative to gross final energy consumption,,,9.9
2009,time series,generation of renewable energies relative to gross final energy consumption,,,10.4
2010,time series,generation of renewable energies relative to gross final energy consumption,,,11.4
2011,time series,generation of renewable energies relative to gross final energy consumption,,,12.5
2012,time series,generation of renewable energies relative to gross final energy consumption,,,13.8
2013,time series,generation of renewable energies relative to gross final energy consumption,,,13.9
2014,time series,generation of renewable energies relative to gross final energy consumption,,,14.3
2015,time series,generation of renewable energies relative to gross final energy consumption,,,15.0
2016,time series,generation of renewable energies relative to gross final energy consumption,,,14.8
2017,time series,generation of renewable energies relative to gross final energy consumption,,,15.6
2020,target,generation of renewable energies relative to gross final energy consumption,,,18.0
2030,target,generation of renewable energies relative to gross final energy consumption,,,30.0
2050,target,generation of renewable energies relative to gross final energy consumption,,,60.0
2010,time series,generation of renewable energies relative to gross final energy consumption,bb,DE4,23.0
2011,time series,generation of renewable energies relative to gross final energy consumption,bb,DE4,26.2
2012,time series,generation of renewable energies relative to gross final energy consumption,bb,DE4,26.8
2013,time series,generation of renewable energies relative to gross final energy consumption,bb,DE4,28.2
2014,time series,generation of renewable energies relative to gross final energy consumption,bb,DE4,28.3
2010,time series,generation of renewable energies relative to gross final energy consumption,be,DE3,1.9
2011,time series,generation of renewable energies relative to gross final energy consumption,be,DE3,2.1
2012,time series,generation of renewable energies relative to gross final energy consumption,be,DE3,2.3
2013,time series,generation of renewable energies relative to gross final energy consumption,be,DE3,2.5
2014,time series,generation of renewable energies relative to gross final energy consumption,be,DE3,2.5
2010,time series,generation of renewable energies relative to gross final energy consumption,bw,DE1,11.3
2011,time series,generation of renewable energies relative to gross final energy consumption,bw,DE1,11.4
2012,time series,generation of renewable energies relative to gross final energy consumption,bw,DE1,12.5
2013,time series,generation of renewable energies relative to gross final energy consumption,bw,DE1,12.6
2014,time series,generation of renewable energies relative to gross final energy consumption,bw,DE1,13.1
2015,time series,generation of renewable energies relative to gross final energy consumption,bw,DE1,12.9
2010,time series,generation of renewable energies relative to gross final energy consumption,by,DE2,14.6
2011,time series,generation of renewable energies relative to gross final energy consumption,by,DE2,15.4
2012,time series,generation of renewable energies relative to gross final energy consumption,by,DE2,17.7
2013,time series,generation of renewable energies relative to gross final energy consumption,by,DE2,18.2
2014,time series,generation of renewable energies relative to gross final energy consumption,by,DE2,18.3
2010,time series,generation of renewable energies relative to gross final energy consumption,hb,DE5,3.1
2011,time series,generation of renewable energies relative to gross final energy consumption,hb,DE5,3.4
2012,time series,generation of renewable energies relative to gross final energy consumption,hb,DE5,3.5
2010,time series,generation of renewable energies relative to gross final energy consumption,he,DE7,7.5
2011,time series,generation of renewable energies relative to gross final energy consumption,he,DE7,8.1
2012,time series,generation of renewable energies relative to gross final energy consumption,he,DE7,8.3
2013,time series,generation of renewable energies relative to gross final energy consumption,he,DE7,8.7
2014,time series,generation of renewable energies relative to gross final energy consumption,he,DE7,8.7
2015,time series,generation of renewable energies relative to gross final energy consumption,he,DE7,9.4
2010,time series,generation of renewable energies relative to gross final energy consumption,hh,DE6,3.4
2011,time series,generation of renewable energies relative to gross final energy consumption,hh,DE6,3.9
2012,time series,generation of renewable energies relative to gross final energy consumption,hh,DE6,4.0
2013,time series,generation of renewable energies relative to gross final energy consumption,hh,DE6,3.9
2014,time series,generation of renewable energies relative to gross final energy consumption,hh,DE6,4.4
2010,time series,generation of renewable energies relative to gross final energy consumption,ni,DE9,11.7
2011,time series,generation of renewable energies relative to gross final energy consumption,ni,DE9,13.1
2012,time series,generation of renewable energies relative to gross final energy consumption,ni,DE9,14.7
2013,time series,generation of renewable energies relative to gross final energy consumption,ni,DE9,14.8
2014,time series,generation of renewable energies relative to gross final energy consumption,ni,DE9,15.3
2015,time series,generation of renewable energies relative to gross final energy consumption,ni,DE9,17.8
2010,time series,generation of renewable energies relative to gross final energy consumption,nw,DEA,3.7
2011,time series,generation of renewable energies relative to gross final energy consumption,nw,DEA,3.8
2012,time series,generation of renewable energies relative to gross final energy consumption,nw,DEA,3.8
2013,time series,generation of renewable energies relative to gross final energy consumption,nw,DEA,3.8
2014,time series,generation of renewable energies relative to gross final energy consumption,nw,DEA,4.1
2010,time series,generation of renewable energies relative to gross final energy consumption,rp,DEB,10.4
2011,time series,generation of renewable energies relative to gross final energy consumption,rp,DEB,11.1
2012,time series,generation of renewable energies relative to gross final energy consumption,rp,DEB,12.2
2013,time series,generation of renewable energies relative to gross final energy consumption,rp,DEB,12.9
2014,time series,generation of renewable energies relative to gross final energy consumption,rp,DEB,12.9
2015,time series,generation of renewable energies relative to gross final energy consumption,rp,DEB,14.3
2010,time series,generation of renewable energies relative to gross final energy consumption,sh,DEF,14.9
2011,time series,generation of renewable energies relative to gross final energy consumption,sh,DEF,17.4
2012,time series,generation of renewable energies relative to gross final energy consumption,sh,DEF,19.2
2013,time series,generation of renewable energies relative to gross final energy consumption,sh,DEF,19.2
2014,time series,generation of renewable energies relative to gross final energy consumption,sh,DEF,22.4
2015,time series,generation of renewable energies relative to gross final energy consumption,sh,DEF,29.5
2010,time series,generation of renewable energies relative to gross final energy consumption,sl,DEC,3.2
2011,time series,generation of renewable energies relative to gross final energy consumption,sl,DEC,3.1
2012,time series,generation of renewable energies relative to gross final energy consumption,sl,DEC,3.1
2010,time series,generation of renewable energies relative to gross final energy consumption,sn,DED,9.0
2011,time series,generation of renewable energies relative to gross final energy consumption,sn,DED,10.0
2012,time series,generation of renewable energies relative to gross final energy consumption,sn,DED,10.2
2013,time series,generation of renewable energies relative to gross final energy consumption,sn,DED,10.6
2010,time series,generation of renewable energies relative to gross final energy consumption,st,DEE,18.2
2011,time series,generation of renewable energies relative to gross final energy consumption,st,DEE,20.6
2012,time series,generation of renewable energies relative to gross final energy consumption,st,DEE,20.8
2013,time series,generation of renewable energies relative to gross final energy consumption,st,DEE,21.9
2014,time series,generation of renewable energies relative to gross final energy consumption,st,DEE,22.9
2015,time series,generation of renewable energies relative to gross final energy consumption,st,DEE,25.7
2010,time series,generation of renewable energies relative to gross final energy consumption,th,DEG,16.5
2011,time series,generation of renewable energies relative to gross final energy consumption,th,DEG,17.1
2012,time series,generation of renewable energies relative to gross final energy consumption,th,DEG,16.9
2013,time series,generation of renewable energies relative to gross final energy consumption,th,DEG,18.0
