Year,display,title,Bundesland,GeoCode,Value
1990,time series,electricity generated from renewable energy sources,,,3.4
1991,time series,electricity generated from renewable energy sources,,,3.1
1992,time series,electricity generated from renewable energy sources,,,3.6
1993,time series,electricity generated from renewable energy sources,,,3.8
1994,time series,electricity generated from renewable energy sources,,,4.3
1995,time series,electricity generated from renewable energy sources,,,4.7
1996,time series,electricity generated from renewable energy sources,,,4.7
1997,time series,electricity generated from renewable energy sources,,,4.1
1998,time series,electricity generated from renewable energy sources,,,4.5
1999,time series,electricity generated from renewable energy sources,,,5.2
2000,time series,electricity generated from renewable energy sources,,,6.3
2001,time series,electricity generated from renewable energy sources,,,6.6
2002,time series,electricity generated from renewable energy sources,,,7.7
2003,time series,electricity generated from renewable energy sources,,,7.7
2004,time series,electricity generated from renewable energy sources,,,9.4
2005,time series,electricity generated from renewable energy sources,,,10.2
2006,time series,electricity generated from renewable energy sources,,,11.6
2007,time series,electricity generated from renewable energy sources,,,14.3
2008,time series,electricity generated from renewable energy sources,,,15.2
2009,time series,electricity generated from renewable energy sources,,,16.4
2010,time series,electricity generated from renewable energy sources,,,17.0
2011,time series,electricity generated from renewable energy sources,,,20.3
2012,time series,electricity generated from renewable energy sources,,,23.5
2013,time series,electricity generated from renewable energy sources,,,25.1
2014,time series,electricity generated from renewable energy sources,,,27.4
2015,time series,electricity generated from renewable energy sources,,,31.5
2016,time series,electricity generated from renewable energy sources,,,31.6
2017,time series,electricity generated from renewable energy sources,,,36.0
2020,target,electricity generated from renewable energy sources,,,35.0
2030,target,electricity generated from renewable energy sources,,,50.0
2050,target,electricity generated from renewable energy sources,,,80.0
2010,time series,electricity generated from renewable energy sources,bb,DE4,50.6
2011,time series,electricity generated from renewable energy sources,bb,DE4,57.6
2012,time series,electricity generated from renewable energy sources,bb,DE4,58.6
2013,time series,electricity generated from renewable energy sources,bb,DE4,62.2
2014,time series,electricity generated from renewable energy sources,bb,DE4,64.9
2010,time series,electricity generated from renewable energy sources,be,DE3,2.4
2011,time series,electricity generated from renewable energy sources,be,DE3,2.4
