Year,Units,display,Bundesland,GeoCode,Value
2030,percentage (%),b) target (max),a) germany (total),,60.0
1991,percentage (%),a) time series,a) germany (total),,39.0
1992,percentage (%),a) time series,a) germany (total),,41.5
1993,percentage (%),a) time series,a) germany (total),,45.1
1994,percentage (%),a) time series,a) germany (total),,47.5
1995,percentage (%),a) time series,a) germany (total),,54.9
1996,percentage (%),a) time series,a) germany (total),,57.8
1997,percentage (%),a) time series,a) germany (total),,58.9
1998,percentage (%),a) time series,a) germany (total),,59.5
1999,percentage (%),a) time series,a) germany (total),,60.1
2000,percentage (%),a) time series,a) germany (total),,59.1
2001,percentage (%),a) time series,a) germany (total),,57.9
2002,percentage (%),a) time series,a) germany (total),,59.7
2003,percentage (%),a) time series,a) germany (total),,63.3
2004,percentage (%),a) time series,a) germany (total),,65.0
2005,percentage (%),a) time series,a) germany (total),,67.3
2006,percentage (%),a) time series,a) germany (total),,66.7
2007,percentage (%),a) time series,a) germany (total),,64.0
2008,percentage (%),a) time series,a) germany (total),,65.5
2009,percentage (%),a) time series,a) germany (total),,73.0
2010,percentage (%),a) time series,a) germany (total),,82.4
2011,percentage (%),a) time series,a) germany (total),,79.8
2012,percentage (%),a) time series,a) germany (total),,81.1
2013,percentage (%),a) time series,a) germany (total),,78.7
2014,percentage (%),a) time series,a) germany (total),,75.7
2015,percentage (%),a) time series,a) germany (total),,72.1
2016,percentage (%),a) time series,a) germany (total),,69.2
2017,percentage (%),a) time series,a) germany (total),,65.3
2018,percentage (%),a) time series,a) germany (total),,61.9
2010,percentage (%),a) time series,bw,code08,16.880664069543027
2011,percentage (%),a) time series,bw,code08,16.88329732113165
2012,percentage (%),a) time series,bw,code08,16.656157405683903
2013,percentage (%),a) time series,bw,code08,16.639944249335382
2014,percentage (%),a) time series,bw,code08,13.558669651813574
2015,percentage (%),a) time series,bw,code08,13.287011112572738
2016,percentage (%),a) time series,bw,code08,13.022428614662912
2017,percentage (%),a) time series,bw,code08,11.045439229403648
2018,percentage (%),a) time series,bw,code08,10.29437426185918
2010,percentage (%),a) time series,by,code09,9.595104288509818
2011,percentage (%),a) time series,by,code09,8.83445684243827
2012,percentage (%),a) time series,by,code09,8.54625770674976
2013,percentage (%),a) time series,by,code09,7.887085257049921
2014,percentage (%),a) time series,by,code09,7.1115164540352325
2015,percentage (%),a) time series,by,code09,6.4167140005996135
2016,percentage (%),a) time series,by,code09,5.7224962693341626
2017,percentage (%),a) time series,by,code09,5.012803234278698
2018,percentage (%),a) time series,by,code09,4.406176073043584
2010,percentage (%),a) time series,be,code11,58.32338699996127
2011,percentage (%),a) time series,be,code11,56.76402462480234
2012,percentage (%),a) time series,be,code11,55.43142068055682
2013,percentage (%),a) time series,be,code11,53.65160215980035
2014,percentage (%),a) time series,be,code11,50.61803507254486
2015,percentage (%),a) time series,be,code11,46.83088896518136
2016,percentage (%),a) time series,be,code11,43.43544305142848
2017,percentage (%),a) time series,be,code11,40.48740242549201
2018,percentage (%),a) time series,be,code11,36.99440167418076
2010,percentage (%),a) time series,bb,code12,39.32627941963804
2011,percentage (%),a) time series,bb,code12,37.8603421025286
2012,percentage (%),a) time series,bb,code12,36.872211804790346
2013,percentage (%),a) time series,bb,code12,34.332285204257964
2014,percentage (%),a) time series,bb,code12,31.65911495775795
2015,percentage (%),a) time series,bb,code12,30.540589459357317
2016,percentage (%),a) time series,bb,code12,29.293324374015068
