Year,Units,Bundesland,GeoCode,Value
1991,percentage (%),a) germany (total),,24.86
1992,percentage (%),a) germany (total),,25.06
1993,percentage (%),a) germany (total),,23.94
1994,percentage (%),a) germany (total),,23.99
1995,percentage (%),a) germany (total),,23.36
1996,percentage (%),a) germany (total),,22.83
1997,percentage (%),a) germany (total),,22.49
1998,percentage (%),a) germany (total),,22.62
1999,percentage (%),a) germany (total),,22.9
2000,percentage (%),a) germany (total),,22.99
2001,percentage (%),a) germany (total),,21.68
2002,percentage (%),a) germany (total),,20.04
2003,percentage (%),a) germany (total),,19.51
2004,percentage (%),a) germany (total),,19.16
2005,percentage (%),a) germany (total),,19.07
2006,percentage (%),a) germany (total),,19.82
2007,percentage (%),a) germany (total),,20.12
2008,percentage (%),a) germany (total),,20.33
2009,percentage (%),a) germany (total),,19.16
2010,percentage (%),a) germany (total),,19.44
2011,percentage (%),a) germany (total),,20.27
2012,percentage (%),a) germany (total),,20.11
2013,percentage (%),a) germany (total),,19.7
2014,percentage (%),a) germany (total),,19.99
2015,percentage (%),a) germany (total),,19.86
2016,percentage (%),a) germany (total),,20.07
2017,percentage (%),a) germany (total),,20.31
2010,percentage (%),bb,DE4,3.09
2011,percentage (%),bb,DE4,2.99
2012,percentage (%),bb,DE4,3.24
2013,percentage (%),bb,DE4,3.11
2014,percentage (%),bb,DE4,3.17
2015,percentage (%),bb,DE4,3.17
2010,percentage (%),be,DE3,31.86
2011,percentage (%),be,DE3,30.79
2012,percentage (%),be,DE3,34.82
2013,percentage (%),be,DE3,33.84
2014,percentage (%),be,DE3,36.18
2015,percentage (%),be,DE3,37.17
2010,percentage (%),bw,DE1,74.51
2011,percentage (%),bw,DE1,78.41
2012,percentage (%),bw,DE1,82.89
2013,percentage (%),bw,DE1,79.77
2014,percentage (%),bw,DE1,78.68
2015,percentage (%),bw,DE1,79.82
2010,percentage (%),by,DE2,21.89
2011,percentage (%),by,DE2,23.57
2012,percentage (%),by,DE2,23.23
2013,percentage (%),by,DE2,22.97
2014,percentage (%),by,DE2,23.48
2015,percentage (%),by,DE2,23.61
2010,percentage (%),hb,DE5,14.81
2011,percentage (%),hb,DE5,14.48
2012,percentage (%),hb,DE5,18.76
2013,percentage (%),hb,DE5,16.34
2014,percentage (%),hb,DE5,14.24
2015,percentage (%),hb,DE5,17.0
2010,percentage (%),he,DE7,17.89
2011,percentage (%),he,DE7,19.72
2012,percentage (%),he,DE7,18.04
2013,percentage (%),he,DE7,18.21
2014,percentage (%),he,DE7,17.8
2015,percentage (%),he,DE7,17.43
2010,percentage (%),hh,DE6,24.61
2011,percentage (%),hh,DE6,20.84
2012,percentage (%),hh,DE6,19.72
2013,percentage (%),hh,DE6,20.45
2014,percentage (%),hh,DE6,22.52
2015,percentage (%),hh,DE6,22.62
2010,percentage (%),mv,DE8,22.77
2011,percentage (%),mv,DE8,24.47
2012,percentage (%),mv,DE8,23.93
2013,percentage (%),mv,DE8,20.87
2014,percentage (%),mv,DE8,22.05
2015,percentage (%),mv,DE8,22.17
2010,percentage (%),ni,DE9,19.96
2011,percentage (%),ni,DE9,21.37
2012,percentage (%),ni,DE9,21.24
2013,percentage (%),ni,DE9,21.22
2014,percentage (%),ni,DE9,21.31
2015,percentage (%),ni,DE9,20.96
2010,percentage (%),nw,DEA,15.84
2011,percentage (%),nw,DEA,16.63
2012,percentage (%),nw,DEA,15.89
2013,percentage (%),nw,DEA,15.71
2014,percentage (%),nw,DEA,16.17
2015,percentage (%),nw,DEA,15.99
2010,percentage (%),rp,DEB,20.0
2011,percentage (%),rp,DEB,20.97
2012,percentage (%),rp,DEB,20.37
2013,percentage (%),rp,DEB,20.93
2014,percentage (%),rp,DEB,21.41
2015,percentage (%),rp,DEB,20.82
2010,percentage (%),sh,DEF,21.4
2011,percentage (%),sh,DEF,23.13
2012,percentage (%),sh,DEF,21.42
2013,percentage (%),sh,DEF,18.68
2014,percentage (%),sh,DEF,21.56
2015,percentage (%),sh,DEF,20.51
2010,percentage (%),sl,DEC,18.04
2011,percentage (%),sl,DEC,17.17
2012,percentage (%),sl,DEC,16.8
2013,percentage (%),sl,DEC,17.32
2014,percentage (%),sl,DEC,18.21
2015,percentage (%),sl,DEC,17.79
2010,percentage (%),sn,DED,22.77
2011,percentage (%),sn,DED,23.61
2012,percentage (%),sn,DED,22.81
2013,percentage (%),sn,DED,21.08
2014,percentage (%),sn,DED,20.98
2015,percentage (%),sn,DED,18.9
2010,percentage (%),st,DEE,20.63
2011,percentage (%),st,DEE,18.68
2012,percentage (%),st,DEE,20.22
2013,percentage (%),st,DEE,19.41
2014,percentage (%),st,DEE,18.17
2015,percentage (%),st,DEE,18.04
2010,percentage (%),th,DEG,20.29
2011,percentage (%),th,DEG,21.06
2012,percentage (%),th,DEG,20.95
2013,percentage (%),th,DEG,19.77
2014,percentage (%),th,DEG,20.19
2015,percentage (%),th,DEG,18.4
