Year,title,area,Value
2007,gini coefficient of equivalised income before social transfers,germany,0.3
2008,gini coefficient of equivalised income before social transfers,germany,0.3
2009,gini coefficient of equivalised income before social transfers,germany,0.29
2010,gini coefficient of equivalised income before social transfers,germany,0.29
2011,gini coefficient of equivalised income before social transfers,germany,0.29
2012,gini coefficient of equivalised income before social transfers,germany,0.28
2013,gini coefficient of equivalised income before social transfers,germany,0.3
2014,gini coefficient of equivalised income before social transfers,germany,0.31
2015,gini coefficient of equivalised income before social transfers,germany,0.3
2016,gini coefficient of equivalised income before social transfers,germany,0.3
2007,gini coefficient of equivalised income before social transfers,eu-28,0.31
2008,gini coefficient of equivalised income before social transfers,eu-28,0.31
2009,gini coefficient of equivalised income before social transfers,eu-28,0.31
2010,gini coefficient of equivalised income before social transfers,eu-28,0.31
2011,gini coefficient of equivalised income before social transfers,eu-28,0.31
2012,gini coefficient of equivalised income before social transfers,eu-28,0.31
2013,gini coefficient of equivalised income before social transfers,eu-28,0.31
2014,gini coefficient of equivalised income before social transfers,eu-28,0.31
2015,gini coefficient of equivalised income before social transfers,eu-28,0.31
2016,gini coefficient of equivalised income before social transfers,eu-28,0.31
