Year,Units,typification,Bundesland,GeoCode,Value
2004,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,5.09585426493974
2005,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,4.97050945482553
2006,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,4.84837227486928
2007,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,4.7275170653836
2008,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,4.60921495887483
2009,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,4.33002284787969
2010,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,4.03548469319687
2011,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,4.22251467853491
2012,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,3.79827910696816
2013,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,3.63628089410779
2014,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,3.69304507689273
2015,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,2.87638495551835
2016,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,2.71545267252502
2017,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,2.76377778192337
2018,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,2.74611675780668
2004,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,3.56350212421602
2005,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,3.29461509082892
2006,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,3.17161998170138
2007,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,3.16689247730133
2008,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,3.11815058264884
2009,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,2.97791032084348
2010,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,2.74432268450264
2011,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,2.40755257835854
2012,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,2.27753812024348
2013,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,2.14291148858007
2014,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,2.02820910463005
2015,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,1.91783435084035
2016,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,1.70031010295275
2017,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,1.88020602550164
2018,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,1.80984054313521
2004,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,5.30652216551838
2005,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,4.86761025107131
2006,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,5.03648789616215
2007,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,4.96692469416929
2008,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,5.0399839366975
2009,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,5.076083473151
2010,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,5.09051100332179
2011,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,8.47308811565156
2012,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,8.15360337477091
2013,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,7.86698542797014
2014,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,7.11990292950384
2015,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,3.49356577837843
2016,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,3.27828263183408
2017,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,3.18645263476972
2018,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,3.11526622835912
2004,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.295033846413588
2005,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.294740262421465
2006,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.221046665658088
2007,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.293626304527853
2008,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.293626304527853
2009,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.364212947015488
2010,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.436452145449342
2011,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.290093047548278
2012,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.141954643615144
2013,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.002838862624168173
2014,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.07507806105802235
2015,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.07507806105802235
2016,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.157679751350482
2017,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.151728952005935
2018,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.179851007763884
2004,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,11.6269121476077
2005,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,12.2559454479128
2006,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,12.3935201859498
2007,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,11.9451235754327
2008,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,13.5762278577137
2009,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,12.1577167054138
2010,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,10.8136205267674
2011,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,9.57175639149176
2012,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,6.73600310458723
2013,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,8.43252719240628
2014,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,7.85360395549044
2015,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,7.3349761026363
2016,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,7.0644419169259
2017,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,3.08405919714813
2018,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,2.54842507141149
2004,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,0.755988836635049
2005,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,0.75380904579589
