Year,Units,typification,Bundesland,GeoCode,Value
2000,2000 = 100,a) rural and non-rural areas,a) germany (total),,100.0
2001,2000 = 100,a) rural and non-rural areas,a) germany (total),,99.26991766942821
2002,2000 = 100,a) rural and non-rural areas,a) germany (total),,98.45287105854183
2003,2000 = 100,a) rural and non-rural areas,a) germany (total),,97.53121843453918
2004,2000 = 100,a) rural and non-rural areas,a) germany (total),,96.59632960837406
2005,2000 = 100,a) rural and non-rural areas,a) germany (total),,95.72731405770493
2006,2000 = 100,a) rural and non-rural areas,a) germany (total),,94.80313075535119
2007,2000 = 100,a) rural and non-rural areas,a) germany (total),,93.92365707702966
2008,2000 = 100,a) rural and non-rural areas,a) germany (total),,92.92414564836581
2009,2000 = 100,a) rural and non-rural areas,a) germany (total),,92.14069103096675
2010,2000 = 100,a) rural and non-rural areas,a) germany (total),,91.54280591383758
2011,2000 = 100,a) rural and non-rural areas,a) germany (total),,90.8066321318782
2012,2000 = 100,a) rural and non-rural areas,a) germany (total),,90.58463864147446
2013,2000 = 100,a) rural and non-rural areas,a) germany (total),,90.43092408746841
2014,2000 = 100,a) rural and non-rural areas,a) germany (total),,90.36076817618421
2015,2000 = 100,a) rural and non-rural areas,a) germany (total),,91.12887317468368
2016,2000 = 100,a) rural and non-rural areas,a) germany (total),,91.12053065551672
2017,2000 = 100,a) rural and non-rural areas,a) germany (total),,90.95665626115233
2018,2000 = 100,a) rural and non-rural areas,a) germany (total),,90.63117638751115
2000,2000 = 100,a) rural and non-rural areas,bw,code08,100.0
2001,2000 = 100,a) rural and non-rural areas,bw,code08,99.69898090578991
2002,2000 = 100,a) rural and non-rural areas,bw,code08,99.33569002484478
2003,2000 = 100,a) rural and non-rural areas,bw,code08,98.73004499534666
2004,2000 = 100,a) rural and non-rural areas,bw,code08,98.19606600249604
2005,2000 = 100,a) rural and non-rural areas,bw,code08,97.60949292871925
2006,2000 = 100,a) rural and non-rural areas,bw,code08,96.85202931833562
2007,2000 = 100,a) rural and non-rural areas,bw,code08,96.09823027579596
2008,2000 = 100,a) rural and non-rural areas,bw,code08,95.40097385059639
2009,2000 = 100,a) rural and non-rural areas,bw,code08,94.75257182861219
2010,2000 = 100,a) rural and non-rural areas,bw,code08,94.26772234627582
2011,2000 = 100,a) rural and non-rural areas,bw,code08,94.14458266367845
2012,2000 = 100,a) rural and non-rural areas,bw,code08,94.20675880404724
2013,2000 = 100,a) rural and non-rural areas,bw,code08,94.39079100688028
2014,2000 = 100,a) rural and non-rural areas,bw,code08,94.79700391954158
2015,2000 = 100,a) rural and non-rural areas,bw,code08,95.88419922992449
2016,2000 = 100,a) rural and non-rural areas,bw,code08,96.16569661646855
2017,2000 = 100,a) rural and non-rural areas,bw,code08,96.26044016337282
2018,2000 = 100,a) rural and non-rural areas,bw,code08,96.35731401754086
2000,2000 = 100,a) rural and non-rural areas,by,code09,100.0
2001,2000 = 100,a) rural and non-rural areas,by,code09,99.68121456275206
2002,2000 = 100,a) rural and non-rural areas,by,code09,99.20626634364197
2003,2000 = 100,a) rural and non-rural areas,by,code09,98.62247536493287
2004,2000 = 100,a) rural and non-rural areas,by,code09,98.00191431329505
2005,2000 = 100,a) rural and non-rural areas,by,code09,97.40169518471976
2006,2000 = 100,a) rural and non-rural areas,by,code09,96.58971181207757
