Year,Units,dimension,Bundesland,GeoCode,Value
2012,min.,in relation to the middle and upper centers of the respective year,a) germany (total),,23.5
2016,min.,in relation to the middle and upper centers of the respective year,a) germany (total),,22.4
2018,min.,in relation to the middle and upper centers of the respective year,a) germany (total),,21.9
2012,min.,in relation to the middle and upper centers of the year 2012,a) germany (total),,23.5
2016,min.,in relation to the middle and upper centers of the year 2012,a) germany (total),,22.8
2018,min.,in relation to the middle and upper centers of the year 2012,a) germany (total),,22.5
2012,min.,in relation to the middle and upper centers of the respective year,bw,Baden-Württemberg,22.8
2016,min.,in relation to the middle and upper centers of the respective year,bw,Baden-Württemberg,21.8
2018,min.,in relation to the middle and upper centers of the respective year,bw,Baden-Württemberg,21.6
2012,min.,in relation to the middle and upper centers of the respective year,by,Bayern,23.7
2016,min.,in relation to the middle and upper centers of the respective year,by,Bayern,22.4
2018,min.,in relation to the middle and upper centers of the respective year,by,Bayern,20.9
2012,min.,in relation to the middle and upper centers of the respective year,be,Berlin,27.2
2016,min.,in relation to the middle and upper centers of the respective year,be,Berlin,24.9
2018,min.,in relation to the middle and upper centers of the respective year,be,Berlin,24.4
2012,min.,in relation to the middle and upper centers of the respective year,bb,Brandenburg,24.6
2016,min.,in relation to the middle and upper centers of the respective year,bb,Brandenburg,22.3
2018,min.,in relation to the middle and upper centers of the respective year,bb,Brandenburg,21.5
2012,min.,in relation to the middle and upper centers of the respective year,hb,Bremen,24.5
2016,min.,in relation to the middle and upper centers of the respective year,hb,Bremen,22.5
2018,min.,in relation to the middle and upper centers of the respective year,hb,Bremen,21.8
2012,min.,in relation to the middle and upper centers of the respective year,hh,Hamburg,23.5
2016,min.,in relation to the middle and upper centers of the respective year,hh,Hamburg,25.8
2018,min.,in relation to the middle and upper centers of the respective year,hh,Hamburg,25.9
2012,min.,in relation to the middle and upper centers of the respective year,he,Hessen,20.2
2016,min.,in relation to the middle and upper centers of the respective year,he,Hessen,19.3
2018,min.,in relation to the middle and upper centers of the respective year,he,Hessen,18.9
2012,min.,in relation to the middle and upper centers of the respective year,mv,Mecklenburg-Vorpommern,32.3
2016,min.,in relation to the middle and upper centers of the respective year,mv,Mecklenburg-Vorpommern,30.7
2018,min.,in relation to the middle and upper centers of the respective year,mv,Mecklenburg-Vorpommern,30.6
2012,min.,in relation to the middle and upper centers of the respective year,ni,Niedersachsen,27.4
2016,min.,in relation to the middle and upper centers of the respective year,ni,Niedersachsen,25.6
2018,min.,in relation to the middle and upper centers of the respective year,ni,Niedersachsen,24.9
2012,min.,in relation to the middle and upper centers of the respective year,nw,Nordrhein-Westfalen,19.4
2016,min.,in relation to the middle and upper centers of the respective year,nw,Nordrhein-Westfalen,19.3
2018,min.,in relation to the middle and upper centers of the respective year,nw,Nordrhein-Westfalen,19.0
2012,min.,in relation to the middle and upper centers of the respective year,rp,Rheinland-Pfalz,23.0
2016,min.,in relation to the middle and upper centers of the respective year,rp,Rheinland-Pfalz,20.9
2018,min.,in relation to the middle and upper centers of the respective year,rp,Rheinland-Pfalz,20.6
2012,min.,in relation to the middle and upper centers of the respective year,sl,Saarland,22.6
2016,min.,in relation to the middle and upper centers of the respective year,sl,Saarland,20.5
2018,min.,in relation to the middle and upper centers of the respective year,sl,Saarland,20.5
2012,min.,in relation to the middle and upper centers of the respective year,sn,Sachsen,24.9
2016,min.,in relation to the middle and upper centers of the respective year,sn,Sachsen,23.3
2018,min.,in relation to the middle and upper centers of the respective year,sn,Sachsen,23.0
2012,min.,in relation to the middle and upper centers of the respective year,st,Sachsen-Anhalt,28.9
2016,min.,in relation to the middle and upper centers of the respective year,st,Sachsen-Anhalt,27.2
2018,min.,in relation to the middle and upper centers of the respective year,st,Sachsen-Anhalt,27.5
2012,min.,in relation to the middle and upper centers of the respective year,sh,Schleswig-Holstein,30.1
2016,min.,in relation to the middle and upper centers of the respective year,sh,Schleswig-Holstein,29.0
2018,min.,in relation to the middle and upper centers of the respective year,sh,Schleswig-Holstein,28.3
2012,min.,in relation to the middle and upper centers of the respective year,th,Thüringen,24.4
2016,min.,in relation to the middle and upper centers of the respective year,th,Thüringen,23.5
2018,min.,in relation to the middle and upper centers of the respective year,th,Thüringen,23.0
