Year,Units,display,Value
2010,percentage (%),a) time series,14.50
2011,percentage (%),a) time series,16.10
2012,percentage (%),a) time series,16.60
2013,percentage (%),a) time series,16.40
2014,percentage (%),a) time series,15.90
2015,percentage (%),a) time series,15.60
2016,percentage (%),a) time series,15.80
2017,percentage (%),a) time series,14.50
2018,percentage (%),a) time series,14.20
2019,percentage (%),a) time series,13.90
2020,percentage (%),a) time series,9.00
2021,percentage (%),a) time series,10.70
2030,percentage (%),b) target (max),13.00
