Year,Units,display,title,Value
2014.1,mio.,a) time series,total objects,7.90
2014.2,mio.,a) time series,total objects,11.20
2015.1,mio.,a) time series,total objects,15.10
2015.2,mio.,a) time series,total objects,18.20
2016.1,mio.,a) time series,total objects,19.70
2016.2,mio.,a) time series,total objects,20.40
2017.1,mio.,a) time series,total objects,22.50
2017.2,mio.,a) time series,total objects,23.70
2018.1,mio.,a) time series,total objects,24.20
2018.2,mio.,a) time series,total objects,24.20
2019.1,mio.,a) time series,total objects,26.40
2019.2,mio.,a) time series,total objects,32.10
2020.1,mio.,a) time series,total objects,33.00
2030,mio.,b) target (min),total objects,50.00
2016.1,mio.,a) time series,objects with digitalisat,6.20
2016.2,mio.,a) time series,objects with digitalisat,6.50
2017.1,mio.,a) time series,objects with digitalisat,7.40
2017.2,mio.,a) time series,objects with digitalisat,7.90
2018.1,mio.,a) time series,objects with digitalisat,7.90
2018.2,mio.,a) time series,objects with digitalisat,7.90
2019.1,mio.,a) time series,objects with digitalisat,10.20
2019.2,mio.,a) time series,objects with digitalisat,11.30
2020.1,mio.,a) time series,objects with digitalisat,11.30
