Year,Units,Series,COMMENT_OBS_0,Value
2015,percentage,a) sustainability in procurement procedures,.,
2016,percentage,a) sustainability in procurement procedures,.,
2017,percentage,a) sustainability in procurement procedures,.,
2018,percentage,a) sustainability in procurement procedures,.,
2019,percentage,a) sustainability in procurement procedures,.,
2020,percentage,a) sustainability in procurement procedures,.,
2021,percentage,a) sustainability in procurement procedures,,12.6
2022,percentage,a) sustainability in procurement procedures,,12.8
2023,percentage,a) sustainability in procurement procedures,,14.0
2024,percentage,a) sustainability in procurement procedures,…,
2026,percentage,a) sustainability in procurement procedures,…,
2015,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,,100.0
2016,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,,100.021
2017,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,,99.997
2018,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,r,100.336
2019,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,r,100.857
2020,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,r,101.149
2021,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,r,100.47
2022,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,r,98.999
2023,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,r,96.667
2024,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,,95.017
2026,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,…,
2015,percentage,c) sustainable textile procurement,.,
2016,percentage,c) sustainable textile procurement,.,
2017,percentage,c) sustainable textile procurement,.,
2018,percentage,c) sustainable textile procurement,.,
2019,percentage,c) sustainable textile procurement,.,
2020,percentage,c) sustainable textile procurement,.,
2021,percentage,c) sustainable textile procurement,.,
2022,percentage,c) sustainable textile procurement,.,
2023,percentage,c) sustainable textile procurement,,0.0
2024,percentage,c) sustainable textile procurement,…,
2026,percentage,c) sustainable textile procurement,…,
