Year,Units,display,sea,Value
1995,mg/l,a) time series,north sea,4.73
1996,mg/l,a) time series,north sea,4.71
1997,mg/l,a) time series,north sea,4.49
1998,mg/l,a) time series,north sea,4.30
1999,mg/l,a) time series,north sea,4.14
2000,mg/l,a) time series,north sea,4.03
2001,mg/l,a) time series,north sea,3.85
2002,mg/l,a) time series,north sea,3.78
2003,mg/l,a) time series,north sea,3.63
2004,mg/l,a) time series,north sea,3.60
2005,mg/l,a) time series,north sea,3.57
2006,mg/l,a) time series,north sea,3.57
2007,mg/l,a) time series,north sea,3.49
2008,mg/l,a) time series,north sea,3.46
2009,mg/l,a) time series,north sea,3.39
2010,mg/l,a) time series,north sea,3.40
2011,mg/l,a) time series,north sea,3.31
2012,mg/l,a) time series,north sea,3.18
2013,mg/l,a) time series,north sea,3.17
2014,mg/l,a) time series,north sea,3.10
2015,mg/l,a) time series,north sea,2.99
2016,mg/l,a) time series,north sea,2.93
2017,mg/l,a) time series,north sea,2.99
1995,mg/l,b) target (max),north sea,2.80
1996,mg/l,b) target (max),north sea,2.80
1997,mg/l,b) target (max),north sea,2.80
1998,mg/l,b) target (max),north sea,2.80
1999,mg/l,b) target (max),north sea,2.80
2000,mg/l,b) target (max),north sea,2.80
2001,mg/l,b) target (max),north sea,2.80
2002,mg/l,b) target (max),north sea,2.80
2003,mg/l,b) target (max),north sea,2.80
2004,mg/l,b) target (max),north sea,2.80
2005,mg/l,b) target (max),north sea,2.80
2006,mg/l,b) target (max),north sea,2.80
2007,mg/l,b) target (max),north sea,2.80
2008,mg/l,b) target (max),north sea,2.80
2009,mg/l,b) target (max),north sea,2.80
2010,mg/l,b) target (max),north sea,2.80
2011,mg/l,b) target (max),north sea,2.80
2012,mg/l,b) target (max),north sea,2.80
2013,mg/l,b) target (max),north sea,2.80
2014,mg/l,b) target (max),north sea,2.80
2015,mg/l,b) target (max),north sea,2.80
2016,mg/l,b) target (max),north sea,2.80
2017,mg/l,b) target (max),north sea,2.80
2018,mg/l,b) target (max),north sea,2.80
2019,mg/l,b) target (max),north sea,2.80
1998,mg/l,a) time series,baltic sea,4.17
1999,mg/l,a) time series,baltic sea,3.92
2000,mg/l,a) time series,baltic sea,3.83
2001,mg/l,a) time series,baltic sea,3.96
2002,mg/l,a) time series,baltic sea,4.18
2003,mg/l,a) time series,baltic sea,3.74
2004,mg/l,a) time series,baltic sea,3.58
2005,mg/l,a) time series,baltic sea,3.58
2006,mg/l,a) time series,baltic sea,3.52
2007,mg/l,a) time series,baltic sea,3.52
2008,mg/l,a) time series,baltic sea,3.69
2009,mg/l,a) time series,baltic sea,3.60
2010,mg/l,a) time series,baltic sea,3.75
2011,mg/l,a) time series,baltic sea,3.78
2012,mg/l,a) time series,baltic sea,3.45
2013,mg/l,a) time series,baltic sea,3.41
2014,mg/l,a) time series,baltic sea,3.35
2015,mg/l,a) time series,baltic sea,3.15
2016,mg/l,a) time series,baltic sea,2.95
2017,mg/l,a) time series,baltic sea,3.19
2018,mg/l,a) time series,baltic sea,3.14
2019,mg/l,a) time series,baltic sea,3.17
1995,mg/l,b) target (max),baltic sea,2.60
1996,mg/l,b) target (max),baltic sea,2.60
1997,mg/l,b) target (max),baltic sea,2.60
1998,mg/l,b) target (max),baltic sea,2.60
1999,mg/l,b) target (max),baltic sea,2.60
2000,mg/l,b) target (max),baltic sea,2.60
2001,mg/l,b) target (max),baltic sea,2.60
2002,mg/l,b) target (max),baltic sea,2.60
2003,mg/l,b) target (max),baltic sea,2.60
2004,mg/l,b) target (max),baltic sea,2.60
2005,mg/l,b) target (max),baltic sea,2.60
2006,mg/l,b) target (max),baltic sea,2.60
2007,mg/l,b) target (max),baltic sea,2.60
2008,mg/l,b) target (max),baltic sea,2.60
2009,mg/l,b) target (max),baltic sea,2.60
2010,mg/l,b) target (max),baltic sea,2.60
2011,mg/l,b) target (max),baltic sea,2.60
2012,mg/l,b) target (max),baltic sea,2.60
2013,mg/l,b) target (max),baltic sea,2.60
2014,mg/l,b) target (max),baltic sea,2.60
2015,mg/l,b) target (max),baltic sea,2.60
2016,mg/l,b) target (max),baltic sea,2.60
2017,mg/l,b) target (max),baltic sea,2.60
2018,mg/l,b) target (max),baltic sea,2.60
2019,mg/l,b) target (max),baltic sea,2.60
