Year,title,display,dimension,sea,Value
2003,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,31.03
2004,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,24.14
2005,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,17.24
2006,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,17.24
2007,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,20.69
2008,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,24.14
2009,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,37.93
2010,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,37.93
2011,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,53.33
2012,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,40.0
2013,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,60.0
2014,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,50.0
2015,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,55.17
2016,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,,56.67
2020,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Target,,,100.0
2003,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,North Sea,38.1
2004,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,North Sea,23.81
2005,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,North Sea,14.29
2006,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,North Sea,14.29
2007,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,North Sea,19.05
2008,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,North Sea,23.81
2009,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,North Sea,42.86
2010,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,North Sea,42.86
2011,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,North Sea,54.55
2012,Sustainably fished stocks of fish in the North and Baltic Sea as a proportion of all MSY examined stocks,Time series,,North Sea,40.91
