Year,display,title,Value
2006,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",8.0
2007,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",6.0
2008,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",8.0
2009,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",2.0
2010,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",3.0
2011,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",11.0
2012,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2013,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",14.0
2014,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2015,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",26.0
2016,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",26.0
2006,b) target,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2007,b) target,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2008,b) target,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2009,b) target,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2010,b) target,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2011,b) target,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2012,b) target,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2013,b) target,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2014,b) target,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2015,b) target,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2016,b) target,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
