Year,title,display,dimension,Bundesland,GeoCode,Value
2005,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,132.64
2006,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,136.88
2007,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,131.88
2008,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,136.64
2009,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,142.88
2010,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,149.35
2011,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,158.65
2012,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,170.71
2013,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,185.89
2014,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,200.35
2015,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,215.26
2016,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,230.69
2017,Students and researchers from developing and emerging countries in Germany,Time series,Total,,,247.43
2020,Students and researchers from developing and emerging countries in Germany,Target,Total,,,237.0
2005,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,4.95
2006,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,5.01
2007,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,4.93
2008,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,5.33
2009,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,5.74
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,6.3
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,6.92
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,7.58
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,8.35
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,9.24
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,9.75
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,10.12
2017,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,,,10.57
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BB,DE4,0.67
2011,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BB,DE4,0.7
2012,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BB,DE4,0.81
2013,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BB,DE4,0.9
2014,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BB,DE4,0.96
2015,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BB,DE4,0.94
2016,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BB,DE4,0.94
2010,Students and researchers from developing and emerging countries in Germany,Time series,Students from LDCs,BE,DE3,0.48
