Year,Units,display,title,Bundesland,GeoCode,Value
1990,kg/ha,a) time series,calculated annual values,,,146.89
1991,kg/ha,a) time series,calculated annual values,,,120.63
1992,kg/ha,a) time series,calculated annual values,,,115.43
1993,kg/ha,a) time series,calculated annual values,,,111.77
1994,kg/ha,a) time series,calculated annual values,,,109.16
1995,kg/ha,a) time series,calculated annual values,,,115.82
1996,kg/ha,a) time series,calculated annual values,,,110.42
1997,kg/ha,a) time series,calculated annual values,,,106.15
1998,kg/ha,a) time series,calculated annual values,,,110.08
1999,kg/ha,a) time series,calculated annual values,,,112.71
2000,kg/ha,a) time series,calculated annual values,,,117.93
2001,kg/ha,a) time series,calculated annual values,,,103.31
2002,kg/ha,a) time series,calculated annual values,,,108.03
2003,kg/ha,a) time series,calculated annual values,,,108.17
2004,kg/ha,a) time series,calculated annual values,,,98.46
2005,kg/ha,a) time series,calculated annual values,,,104.94
2006,kg/ha,a) time series,calculated annual values,,,108.57
2007,kg/ha,a) time series,calculated annual values,,,102.7
2008,kg/ha,a) time series,calculated annual values,,,104.26
2009,kg/ha,a) time series,calculated annual values,,,84.85
2010,kg/ha,a) time series,calculated annual values,,,94.54
2011,kg/ha,a) time series,calculated annual values,,,110.6
2012,kg/ha,a) time series,calculated annual values,,,96.0
2013,kg/ha,a) time series,calculated annual values,,,96.51
2014,kg/ha,a) time series,calculated annual values,,,86.59
2015,kg/ha,a) time series,calculated annual values,,,104.98
2016,kg/ha,a) time series,calculated annual values,,,101.8
2010,kg/ha,a) time series,calculated annual values,bb,DE4,53.5
2011,kg/ha,a) time series,calculated annual values,bb,DE4,63.4
2012,kg/ha,a) time series,calculated annual values,bb,DE4,52.4
2013,kg/ha,a) time series,calculated annual values,bb,DE4,55.8
2014,kg/ha,a) time series,calculated annual values,bb,DE4,57.1
2010,kg/ha,a) time series,calculated annual values,be,DE3,51.7
2010,kg/ha,a) time series,calculated annual values,bw,DE1,67.2
2011,kg/ha,a) time series,calculated annual values,bw,DE1,79.4
2012,kg/ha,a) time series,calculated annual values,bw,DE1,65.8
2013,kg/ha,a) time series,calculated annual values,bw,DE1,68.8
2014,kg/ha,a) time series,calculated annual values,bw,DE1,70.7
2010,kg/ha,a) time series,calculated annual values,by,DE2,74.9
2011,kg/ha,a) time series,calculated annual values,by,DE2,87.9
2012,kg/ha,a) time series,calculated annual values,by,DE2,74.1
2013,kg/ha,a) time series,calculated annual values,by,DE2,77.1
2014,kg/ha,a) time series,calculated annual values,by,DE2,80.2
2010,kg/ha,a) time series,calculated annual values,hb,DE5,81.5
2010,kg/ha,a) time series,calculated annual values,he,DE7,62.0
2011,kg/ha,a) time series,calculated annual values,he,DE7,74.9
2012,kg/ha,a) time series,calculated annual values,he,DE7,59.9
2013,kg/ha,a) time series,calculated annual values,he,DE7,64.0
2014,kg/ha,a) time series,calculated annual values,he,DE7,65.2
2010,kg/ha,a) time series,calculated annual values,hh,DE6,53.9
2010,kg/ha,a) time series,calculated annual values,mv,DE8,52.8
2011,kg/ha,a) time series,calculated annual values,mv,DE8,64.5
2012,kg/ha,a) time series,calculated annual values,mv,DE8,52.2
2013,kg/ha,a) time series,calculated annual values,mv,DE8,57.0
2014,kg/ha,a) time series,calculated annual values,mv,DE8,58.3
2010,kg/ha,a) time series,calculated annual values,ni,DE9,81.3
2011,kg/ha,a) time series,calculated annual values,ni,DE9,96.8
2012,kg/ha,a) time series,calculated annual values,ni,DE9,82.4
2013,kg/ha,a) time series,calculated annual values,ni,DE9,89.0
2014,kg/ha,a) time series,calculated annual values,ni,DE9,91.7
2010,kg/ha,a) time series,calculated annual values,nw,DEA,84.5
2011,kg/ha,a) time series,calculated annual values,nw,DEA,99.4
2012,kg/ha,a) time series,calculated annual values,nw,DEA,84.8
2013,kg/ha,a) time series,calculated annual values,nw,DEA,90.4
2014,kg/ha,a) time series,calculated annual values,nw,DEA,92.6
2010,kg/ha,a) time series,calculated annual values,rp,DEB,55.1
2011,kg/ha,a) time series,calculated annual values,rp,DEB,65.6
2012,kg/ha,a) time series,calculated annual values,rp,DEB,53.6
2013,kg/ha,a) time series,calculated annual values,rp,DEB,56.9
2014,kg/ha,a) time series,calculated annual values,rp,DEB,57.9
2010,kg/ha,a) time series,calculated annual values,sh,DEF,81.2
2011,kg/ha,a) time series,calculated annual values,sh,DEF,93.7
2012,kg/ha,a) time series,calculated annual values,sh,DEF,79.7
2013,kg/ha,a) time series,calculated annual values,sh,DEF,82.9
2014,kg/ha,a) time series,calculated annual values,sh,DEF,85.7
2010,kg/ha,a) time series,calculated annual values,sl,DEC,59.5
2011,kg/ha,a) time series,calculated annual values,sl,DEC,71.2
2012,kg/ha,a) time series,calculated annual values,sl,DEC,58.0
2013,kg/ha,a) time series,calculated annual values,sl,DEC,61.4
2014,kg/ha,a) time series,calculated annual values,sl,DEC,62.4
2010,kg/ha,a) time series,calculated annual values,sn,DED,60.2
2011,kg/ha,a) time series,calculated annual values,sn,DED,72.5
2012,kg/ha,a) time series,calculated annual values,sn,DED,59.4
2013,kg/ha,a) time series,calculated annual values,sn,DED,63.1
2014,kg/ha,a) time series,calculated annual values,sn,DED,66.0
2010,kg/ha,a) time series,calculated annual values,st,DEE,52.1
2011,kg/ha,a) time series,calculated annual values,st,DEE,63.9
2012,kg/ha,a) time series,calculated annual values,st,DEE,49.9
2013,kg/ha,a) time series,calculated annual values,st,DEE,54.2
