Year,Units,display,title,Bundesland,GeoCode,Value
1999,percentage (%),a) time series,data from destatis,a) germany (total),,2.85
2001,percentage (%),a) time series,data from destatis,a) germany (total),,3.57
2003,percentage (%),a) time series,data from destatis,a) germany (total),,4.30
2005,percentage (%),a) time series,data from destatis,a) germany (total),,4.59
2007,percentage (%),a) time series,data from destatis,a) germany (total),,5.08
2010,percentage (%),a) time series,data from destatis,a) germany (total),,5.64
2012,percentage (%),a) time series,data from destatis,a) germany (total),,5.76
2013,percentage (%),a) time series,data from destatis,a) germany (total),,6.04
2014,percentage (%),a) time series,data from destatis,a) germany (total),,6.18
2015,percentage (%),a) time series,data from destatis,a) germany (total),,6.34
2016,percentage (%),a) time series,data from destatis,a) germany (total),,6.82
2017,percentage (%),a) time series,data from destatis,a) germany (total),,6.82
2018,percentage (%),a) time series,data from destatis,a) germany (total),,7.34
2019,percentage (%),a) time series,data from destatis,a) germany (total),,7.75
2030,percentage (%),b) target (min),data from destatis,a) germany (total),,20.00
1999,percentage (%),a) time series,data from bmel,a) germany (total),,2.60
2000,percentage (%),a) time series,data from bmel,a) germany (total),,3.20
2001,percentage (%),a) time series,data from bmel,a) germany (total),,3.70
2002,percentage (%),a) time series,data from bmel,a) germany (total),,4.10
2003,percentage (%),a) time series,data from bmel,a) germany (total),,4.30
2004,percentage (%),a) time series,data from bmel,a) germany (total),,4.50
2005,percentage (%),a) time series,data from bmel,a) germany (total),,4.70
2006,percentage (%),a) time series,data from bmel,a) germany (total),,4.90
2007,percentage (%),a) time series,data from bmel,a) germany (total),,5.10
2008,percentage (%),a) time series,data from bmel,a) germany (total),,5.40
2009,percentage (%),a) time series,data from bmel,a) germany (total),,5.60
2010,percentage (%),a) time series,data from bmel,a) germany (total),,5.90
2011,percentage (%),a) time series,data from bmel,a) germany (total),,6.10
2012,percentage (%),a) time series,data from bmel,a) germany (total),,6.20
2013,percentage (%),a) time series,data from bmel,a) germany (total),,6.30
2014,percentage (%),a) time series,data from bmel,a) germany (total),,6.30
2015,percentage (%),a) time series,data from bmel,a) germany (total),,6.50
2016,percentage (%),a) time series,data from bmel,a) germany (total),,7.50
2017,percentage (%),a) time series,data from bmel,a) germany (total),,8.20
2018,percentage (%),a) time series,data from bmel,a) germany (total),,9.10
2019,percentage (%),a) time series,data from bmel,a) germany (total),,9.70
1999,percentage (%),a) time series,data from destatis,bw,080000000000,5.30
2001,percentage (%),a) time series,data from destatis,bw,080000000000,6.70
2003,percentage (%),a) time series,data from destatis,bw,080000000000,6.40
2005,percentage (%),a) time series,data from destatis,bw,080000000000,6.40
2007,percentage (%),a) time series,data from destatis,bw,080000000000,6.59
2010,percentage (%),a) time series,data from destatis,bw,080000000000,6.98
2013,percentage (%),a) time series,data from destatis,bw,080000000000,7.81
2016,percentage (%),a) time series,data from destatis,bw,080000000000,9.31
1999,percentage (%),a) time series,data from destatis,by,090000000000,2.20
2001,percentage (%),a) time series,data from destatis,by,090000000000,2.80
2003,percentage (%),a) time series,data from destatis,by,090000000000,3.90
2005,percentage (%),a) time series,data from destatis,by,090000000000,3.90
2007,percentage (%),a) time series,data from destatis,by,090000000000,4.55
2010,percentage (%),a) time series,data from destatis,by,090000000000,6.08
2013,percentage (%),a) time series,data from destatis,by,090000000000,6.82
2016,percentage (%),a) time series,data from destatis,by,090000000000,8.26
2010,percentage (%),a) time series,data from destatis,be,110000000000,12.42
2013,percentage (%),a) time series,data from destatis,be,110000000000,15.00
2016,percentage (%),a) time series,data from destatis,be,110000000000,15.61
1999,percentage (%),a) time series,data from destatis,bb,120000000000,5.40
2001,percentage (%),a) time series,data from destatis,bb,120000000000,7.10
2003,percentage (%),a) time series,data from destatis,bb,120000000000,8.70
2005,percentage (%),a) time series,data from destatis,bb,120000000000,9.80
2007,percentage (%),a) time series,data from destatis,bb,120000000000,10.07
2010,percentage (%),a) time series,data from destatis,bb,120000000000,10.60
2013,percentage (%),a) time series,data from destatis,bb,120000000000,10.33
2016,percentage (%),a) time series,data from destatis,bb,120000000000,10.42
2010,percentage (%),a) time series,data from destatis,hb,040000000000,9.84
2013,percentage (%),a) time series,data from destatis,hb,040000000000,11.76
2016,percentage (%),a) time series,data from destatis,hb,040000000000,17.67
2010,percentage (%),a) time series,data from destatis,hh,020000000000,6.82
2013,percentage (%),a) time series,data from destatis,hh,020000000000,6.94
2016,percentage (%),a) time series,data from destatis,hh,020000000000,8.12
1999,percentage (%),a) time series,data from destatis,he,060000000000,5.60
2001,percentage (%),a) time series,data from destatis,he,060000000000,6.80
2003,percentage (%),a) time series,data from destatis,he,060000000000,7.00
2005,percentage (%),a) time series,data from destatis,he,060000000000,7.00
2007,percentage (%),a) time series,data from destatis,he,060000000000,7.80
2010,percentage (%),a) time series,data from destatis,he,060000000000,9.40
2013,percentage (%),a) time series,data from destatis,he,060000000000,10.52
2016,percentage (%),a) time series,data from destatis,he,060000000000,11.59
1999,percentage (%),a) time series,data from destatis,mv,130000000000,6.90
2001,percentage (%),a) time series,data from destatis,mv,130000000000,7.20
2003,percentage (%),a) time series,data from destatis,mv,130000000000,8.10
2005,percentage (%),a) time series,data from destatis,mv,130000000000,8.10
2007,percentage (%),a) time series,data from destatis,mv,130000000000,8.85
2010,percentage (%),a) time series,data from destatis,mv,130000000000,8.68
2013,percentage (%),a) time series,data from destatis,mv,130000000000,8.97
2016,percentage (%),a) time series,data from destatis,mv,130000000000,9.37
1999,percentage (%),a) time series,data from destatis,ni,030000000000,1.00
2001,percentage (%),a) time series,data from destatis,ni,030000000000,1.40
2003,percentage (%),a) time series,data from destatis,ni,030000000000,2.10
2005,percentage (%),a) time series,data from destatis,ni,030000000000,2.40
2007,percentage (%),a) time series,data from destatis,ni,030000000000,2.86
2010,percentage (%),a) time series,data from destatis,ni,030000000000,2.89
