Year,Units,display,age,Bundesland,GeoCode,Value
1997,percentage (%),a) time series,adolescents (12 to 17 years),,,28.10
2001,percentage (%),a) time series,adolescents (12 to 17 years),,,27.50
2003,percentage (%),a) time series,adolescents (12 to 17 years),,,22.50
2004,percentage (%),a) time series,adolescents (12 to 17 years),,,23.50
2005,percentage (%),a) time series,adolescents (12 to 17 years),,,20.00
2007,percentage (%),a) time series,adolescents (12 to 17 years),,,17.70
2008,percentage (%),a) time series,adolescents (12 to 17 years),,,15.40
2010,percentage (%),a) time series,adolescents (12 to 17 years),,,12.90
2011,percentage (%),a) time series,adolescents (12 to 17 years),,,11.70
2012,percentage (%),a) time series,adolescents (12 to 17 years),,,12.00
2014,percentage (%),a) time series,adolescents (12 to 17 years),,,9.70
2015,percentage (%),a) time series,adolescents (12 to 17 years),,,7.80
2016,percentage (%),a) time series,adolescents (12 to 17 years),,,7.40
2018,percentage (%),a) time series,adolescents (12 to 17 years),,,6.60
2030,percentage (%),b) target (max),adolescents (12 to 17 years),,,7.00
1995,percentage (%),a) time series,adults (15 years and older),,,28.28
1999,percentage (%),a) time series,adults (15 years and older),,,28.30
2003,percentage (%),a) time series,adults (15 years and older),,,27.40
2005,percentage (%),a) time series,adults (15 years and older),,,27.20
2009,percentage (%),a) time series,adults (15 years and older),,,25.70
2013,percentage (%),a) time series,adults (15 years and older),,,24.50
2017,percentage (%),a) time series,adults (15 years and older),,,22.00
2030,percentage (%),b) target (max),adults (15 years and older),,,19.00
2013,percentage (%),a) time series,adults (15 years and older),bw,code08,22.80
2017,percentage (%),a) time series,adults (15 years and older),bw,code08,22.21
2013,percentage (%),a) time series,adults (15 years and older),by,code09,23.50
2017,percentage (%),a) time series,adults (15 years and older),by,code09,22.15
2013,percentage (%),a) time series,adults (15 years and older),be,code11,31.30
2017,percentage (%),a) time series,adults (15 years and older),be,code11,28.85
2013,percentage (%),a) time series,adults (15 years and older),bb,code12,28.00
2017,percentage (%),a) time series,adults (15 years and older),bb,code12,25.77
2013,percentage (%),a) time series,adults (15 years and older),hb,code04,30.50
2017,percentage (%),a) time series,adults (15 years and older),hb,code04,27.77
2013,percentage (%),a) time series,adults (15 years and older),hh,code02,26.70
2017,percentage (%),a) time series,adults (15 years and older),hh,code02,25.64
2013,percentage (%),a) time series,adults (15 years and older),he,code06,24.60
2017,percentage (%),a) time series,adults (15 years and older),he,code06,23.37
2013,percentage (%),a) time series,adults (15 years and older),mv,code13,30.40
2017,percentage (%),a) time series,adults (15 years and older),mv,code13,28.22
2013,percentage (%),a) time series,adults (15 years and older),ni,code03,26.10
2017,percentage (%),a) time series,adults (15 years and older),ni,code03,24.69
2013,percentage (%),a) time series,adults (15 years and older),nw,code05,26.90
2017,percentage (%),a) time series,adults (15 years and older),nw,code05,25.92
2013,percentage (%),a) time series,adults (15 years and older),rp,code07,25.10
2017,percentage (%),a) time series,adults (15 years and older),rp,code07,23.86
2013,percentage (%),a) time series,adults (15 years and older),sl,code10,25.30
2017,percentage (%),a) time series,adults (15 years and older),sl,code10,23.51
2013,percentage (%),a) time series,adults (15 years and older),sn,code14,23.80
2017,percentage (%),a) time series,adults (15 years and older),sn,code14,22.74
2013,percentage (%),a) time series,adults (15 years and older),st,code15,28.90
2017,percentage (%),a) time series,adults (15 years and older),st,code15,27.85
2013,percentage (%),a) time series,adults (15 years and older),sh,code01,27.00
2017,percentage (%),a) time series,adults (15 years and older),sh,code01,25.90
2013,percentage (%),a) time series,adults (15 years and older),th,code16,26.70
2017,percentage (%),a) time series,adults (15 years and older),th,code16,26.11
