Year,title,display,air pollutants,Value
2005,Emissions of air pollutants,Time series,,100.0
2006,Emissions of air pollutants,Time series,,99.58
2007,Emissions of air pollutants,Time series,,96.3
2008,Emissions of air pollutants,Time series,,93.63
2009,Emissions of air pollutants,Time series,,88.04
2010,Emissions of air pollutants,Time series,,91.12
2011,Emissions of air pollutants,Time series,,89.43
2012,Emissions of air pollutants,Time series,,86.44
2013,Emissions of air pollutants,Time series,,86.33
2014,Emissions of air pollutants,Time series,,83.29
2015,Emissions of air pollutants,Time series,,83.54
2016,Emissions of air pollutants,Time series,,82.5
2030,Emissions of air pollutants,Target,,55.0
2005,Emissions of air pollutants,Time series,NH3,100.0
2006,Emissions of air pollutants,Time series,NH3,100.12
2007,Emissions of air pollutants,Time series,NH3,100.48
2008,Emissions of air pollutants,Time series,NH3,101.31
2009,Emissions of air pollutants,Time series,NH3,103.34
2010,Emissions of air pollutants,Time series,NH3,100.09
2011,Emissions of air pollutants,Time series,NH3,104.91
2012,Emissions of air pollutants,Time series,NH3,102.95
2013,Emissions of air pollutants,Time series,NH3,105.58
2014,Emissions of air pollutants,Time series,NH3,105.83
2015,Emissions of air pollutants,Time series,NH3,107.23
2016,Emissions of air pollutants,Time series,NH3,105.99
2005,Emissions of air pollutants,Time series,PM2.5,100.0
2006,Emissions of air pollutants,Time series,PM2.5,97.17
2007,Emissions of air pollutants,Time series,PM2.5,93.26
2008,Emissions of air pollutants,Time series,PM2.5,88.63
2009,Emissions of air pollutants,Time series,PM2.5,84.1
2010,Emissions of air pollutants,Time series,PM2.5,89.66
2011,Emissions of air pollutants,Time series,PM2.5,85.94
2012,Emissions of air pollutants,Time series,PM2.5,81.19
2013,Emissions of air pollutants,Time series,PM2.5,80.94
2014,Emissions of air pollutants,Time series,PM2.5,76.95
2015,Emissions of air pollutants,Time series,PM2.5,76.42
2016,Emissions of air pollutants,Time series,PM2.5,74.66
2005,Emissions of air pollutants,Time series,Nox,100.0
2006,Emissions of air pollutants,Time series,Nox,99.41
2007,Emissions of air pollutants,Time series,Nox,95.02
2008,Emissions of air pollutants,Time series,Nox,90.5
2009,Emissions of air pollutants,Time series,Nox,84.34
2010,Emissions of air pollutants,Time series,Nox,86.04
2011,Emissions of air pollutants,Time series,Nox,85.03
2012,Emissions of air pollutants,Time series,Nox,82.64
2013,Emissions of air pollutants,Time series,Nox,82.55
2014,Emissions of air pollutants,Time series,Nox,80.07
2015,Emissions of air pollutants,Time series,Nox,78.56
2016,Emissions of air pollutants,Time series,Nox,77.14
2005,Emissions of air pollutants,Time series,NMVOC,100.0
2006,Emissions of air pollutants,Time series,NMVOC,100.92
2007,Emissions of air pollutants,Time series,NMVOC,95.98
2008,Emissions of air pollutants,Time series,NMVOC,91.64
2009,Emissions of air pollutants,Time series,NMVOC,84.3
2010,Emissions of air pollutants,Time series,NMVOC,92.96
2011,Emissions of air pollutants,Time series,NMVOC,86.55
2012,Emissions of air pollutants,Time series,NMVOC,84.59
2013,Emissions of air pollutants,Time series,NMVOC,83.5
2014,Emissions of air pollutants,Time series,NMVOC,77.75
2015,Emissions of air pollutants,Time series,NMVOC,78.52
2016,Emissions of air pollutants,Time series,NMVOC,79.5
2005,Emissions of air pollutants,Time series,SO2,100.0
2006,Emissions of air pollutants,Time series,SO2,100.25
2007,Emissions of air pollutants,Time series,SO2,96.77
2008,Emissions of air pollutants,Time series,SO2,96.08
2009,Emissions of air pollutants,Time series,SO2,84.11
2010,Emissions of air pollutants,Time series,SO2,86.83
2011,Emissions of air pollutants,Time series,SO2,84.7
2012,Emissions of air pollutants,Time series,SO2,80.82
2013,Emissions of air pollutants,Time series,SO2,79.1
2014,Emissions of air pollutants,Time series,SO2,75.86
2015,Emissions of air pollutants,Time series,SO2,76.97
2016,Emissions of air pollutants,Time series,SO2,75.2
