Year,Units,display,sex,Bundesland,GeoCode,Value
1999,percentage (%),a) time series,male and female,a) germany (total),,14.90
2000,percentage (%),a) time series,male and female,a) germany (total),,14.90
2001,percentage (%),a) time series,male and female,a) germany (total),,12.50
2002,percentage (%),a) time series,male and female,a) germany (total),,12.60
2003,percentage (%),a) time series,male and female,a) germany (total),,12.80
2004,percentage (%),a) time series,male and female,a) germany (total),,12.10
2005,percentage (%),a) time series,male and female,a) germany (total),,13.83
2006,percentage (%),a) time series,male and female,a) germany (total),,14.09
2007,percentage (%),a) time series,male and female,a) germany (total),,12.73
2008,percentage (%),a) time series,male and female,a) germany (total),,11.80
2009,percentage (%),a) time series,male and female,a) germany (total),,11.10
2010,percentage (%),a) time series,male and female,a) germany (total),,11.86
2011,percentage (%),a) time series,male and female,a) germany (total),,11.56
2012,percentage (%),a) time series,male and female,a) germany (total),,10.37
2013,percentage (%),a) time series,male and female,a) germany (total),,9.81
2014,percentage (%),a) time series,male and female,a) germany (total),,9.53
2015,percentage (%),a) time series,male and female,a) germany (total),,9.82
2016,percentage (%),a) time series,male and female,a) germany (total),,10.30
2017,percentage (%),a) time series,male and female,a) germany (total),,10.11
2018,percentage (%),a) time series,male and female,a) germany (total),,10.34
2030,percentage (%),b) target (max),male and female,a) germany (total),,9.50
1999,percentage (%),a) time series,female,a) germany (total),,15.60
2000,percentage (%),a) time series,female,a) germany (total),,15.20
2001,percentage (%),a) time series,female,a) germany (total),,12.80
2002,percentage (%),a) time series,female,a) germany (total),,12.60
2003,percentage (%),a) time series,female,a) germany (total),,12.80
2004,percentage (%),a) time series,female,a) germany (total),,11.90
2005,percentage (%),a) time series,female,a) germany (total),,14.18
2006,percentage (%),a) time series,female,a) germany (total),,13.80
2007,percentage (%),a) time series,female,a) germany (total),,11.97
2008,percentage (%),a) time series,female,a) germany (total),,11.21
2009,percentage (%),a) time series,female,a) germany (total),,10.80
2010,percentage (%),a) time series,female,a) germany (total),,11.02
2011,percentage (%),a) time series,female,a) germany (total),,10.62
2012,percentage (%),a) time series,female,a) germany (total),,9.73
2013,percentage (%),a) time series,female,a) germany (total),,9.28
2014,percentage (%),a) time series,female,a) germany (total),,8.99
2015,percentage (%),a) time series,female,a) germany (total),,9.49
2016,percentage (%),a) time series,female,a) germany (total),,9.60
2017,percentage (%),a) time series,female,a) germany (total),,9.04
2018,percentage (%),a) time series,female,a) germany (total),,9.13
1999,percentage (%),a) time series,male,a) germany (total),,14.20
2000,percentage (%),a) time series,male,a) germany (total),,14.60
