Year,Units,display,title,sex,Bundesland,GeoCode,Value
1999,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,33.35
2000,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,33.0
2001,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,33.17
2002,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,33.28
2003,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,33.89
2004,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,36.22
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,35.99
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,36.5
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,37.63
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,38.77
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,40.71
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,41.31
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,42.22
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,43.43
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,44.48
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,45.67
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,46.77
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,47.88
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,,,48.84
2020,percentage (%),b) target (min),tertiary or post-secondary non-tertiary education,total,,,42.0
1999,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,31.39
2000,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,30.88
2001,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,31.09
2002,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,31.25
2003,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,32.19
2004,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,34.65
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,35.0
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,36.48
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,38.03
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,39.68
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,42.21
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,42.68
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,44.42
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,46.04
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,46.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,48.42
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,50.52
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,51.3
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,52.64
1999,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,35.22
2000,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,35.05
2001,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,35.2
2002,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,35.22
2003,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,35.49
2004,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,37.72
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,36.95
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,36.52
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,37.25
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,37.86
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,39.23
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,39.97
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,40.07
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,40.88
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,42.2
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,42.94
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,43.11
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,44.57
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,45.19
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bb,DE4,41.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bb,DE4,44.47
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bb,DE4,42.08
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bb,DE4,42.57
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bb,DE4,44.17
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bb,DE4,43.26
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bb,DE4,45.41
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,be,DE3,50.74
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,be,DE3,51.84
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,be,DE3,53.7
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,be,DE3,53.23
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,be,DE3,53.96
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,be,DE3,56.68
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,be,DE3,59.72
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bw,DE1,42.28
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bw,DE1,43.36
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bw,DE1,44.92
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bw,DE1,47.29
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bw,DE1,47.35
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bw,DE1,48.37
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,bw,DE1,50.18
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,by,DE2,40.39
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,by,DE2,41.1
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,by,DE2,43.58
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,by,DE2,45.31
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,by,DE2,45.82
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,by,DE2,45.68
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,by,DE2,48.01
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hb,DE5,41.46
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hb,DE5,43.16
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hb,DE5,41.83
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hb,DE5,44.32
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hb,DE5,53.39
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hb,DE5,50.5
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hb,DE5,46.57
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,he,DE7,45.45
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,he,DE7,46.11
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,he,DE7,47.16
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,he,DE7,47.57
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,he,DE7,46.33
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,he,DE7,49.36
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,he,DE7,50.41
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hh,DE6,52.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hh,DE6,55.37
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hh,DE6,54.42
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hh,DE6,55.4
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hh,DE6,58.52
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hh,DE6,60.57
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,total,hh,DE6,59.97
