Year,Units,display,Bundesland,GeoCode,Value
2008,percentage (%),a) time series,,,21.2
2009,percentage (%),a) time series,,,24.0
2010,percentage (%),a) time series,,,25.9
2011,percentage (%),a) time series,,,28.0
2012,percentage (%),a) time series,,,30.0
2013,percentage (%),a) time series,,,32.6
2014,percentage (%),a) time series,,,34.8
2015,percentage (%),a) time series,,,36.9
2016,percentage (%),a) time series,,,38.8
2017,percentage (%),a) time series,,,40.4
2030,percentage (%),b) target (min),,,65.0
2008,percentage (%),a) time series,bw,080000000000,20.6
2009,percentage (%),a) time series,bw,080000000000,24.6
2010,percentage (%),a) time series,bw,080000000000,27.4
2011,percentage (%),a) time series,bw,080000000000,30.5
2012,percentage (%),a) time series,bw,080000000000,33.4
2013,percentage (%),a) time series,bw,080000000000,36.7
2014,percentage (%),a) time series,bw,080000000000,39.2
2015,percentage (%),a) time series,bw,080000000000,40.9
2016,percentage (%),a) time series,bw,080000000000,42.2
2017,percentage (%),a) time series,bw,080000000000,43.7
2008,percentage (%),a) time series,by,090000000000,27.4
2009,percentage (%),a) time series,by,090000000000,30.7
2010,percentage (%),a) time series,by,090000000000,33.5
2011,percentage (%),a) time series,by,090000000000,36.5
2012,percentage (%),a) time series,by,090000000000,38.6
2013,percentage (%),a) time series,by,090000000000,40.5
2014,percentage (%),a) time series,by,090000000000,42.2
2015,percentage (%),a) time series,by,090000000000,44.8
2016,percentage (%),a) time series,by,090000000000,46.5
2017,percentage (%),a) time series,by,090000000000,47.7
2008,percentage (%),a) time series,be,110000000000,27.5
2009,percentage (%),a) time series,be,110000000000,30.7
2010,percentage (%),a) time series,be,110000000000,32.2
2011,percentage (%),a) time series,be,110000000000,33.7
2012,percentage (%),a) time series,be,110000000000,35.5
2013,percentage (%),a) time series,be,110000000000,37.9
2014,percentage (%),a) time series,be,110000000000,39.7
2015,percentage (%),a) time series,be,110000000000,40.9
2016,percentage (%),a) time series,be,110000000000,42.9
2017,percentage (%),a) time series,be,110000000000,43.8
2008,percentage (%),a) time series,bb,120000000000,25.5
2009,percentage (%),a) time series,bb,120000000000,27.3
2010,percentage (%),a) time series,bb,120000000000,28.1
2011,percentage (%),a) time series,bb,120000000000,30.2
2012,percentage (%),a) time series,bb,120000000000,32.4
2013,percentage (%),a) time series,bb,120000000000,34.8
2014,percentage (%),a) time series,bb,120000000000,36.6
2015,percentage (%),a) time series,bb,120000000000,40.0
2016,percentage (%),a) time series,bb,120000000000,42.5
2017,percentage (%),a) time series,bb,120000000000,44.9
2008,percentage (%),a) time series,hb,040000000000,18.3
2009,percentage (%),a) time series,hb,040000000000,19.9
2010,percentage (%),a) time series,hb,040000000000,19.3
2011,percentage (%),a) time series,hb,040000000000,21.7
2012,percentage (%),a) time series,hb,040000000000,22.9
2013,percentage (%),a) time series,hb,040000000000,25.8
2014,percentage (%),a) time series,hb,040000000000,27.1
2015,percentage (%),a) time series,hb,040000000000,28.1
2016,percentage (%),a) time series,hb,040000000000,31.0
2017,percentage (%),a) time series,hb,040000000000,33.4
2008,percentage (%),a) time series,hh,020000000000,22.9
2009,percentage (%),a) time series,hh,020000000000,27.4
2010,percentage (%),a) time series,hh,020000000000,28.5
2011,percentage (%),a) time series,hh,020000000000,31.1
2012,percentage (%),a) time series,hh,020000000000,33.7
2013,percentage (%),a) time series,hh,020000000000,36.2
2014,percentage (%),a) time series,hh,020000000000,38.0
2015,percentage (%),a) time series,hh,020000000000,40.2
2016,percentage (%),a) time series,hh,020000000000,41.0
2017,percentage (%),a) time series,hh,020000000000,42.5
2008,percentage (%),a) time series,he,060000000000,20.3
2009,percentage (%),a) time series,he,060000000000,23.3
2010,percentage (%),a) time series,he,060000000000,25.3
2011,percentage (%),a) time series,he,060000000000,27.2
2012,percentage (%),a) time series,he,060000000000,29.4
2013,percentage (%),a) time series,he,060000000000,30.8
2014,percentage (%),a) time series,he,060000000000,33.1
2015,percentage (%),a) time series,he,060000000000,34.4
2016,percentage (%),a) time series,he,060000000000,35.8
2017,percentage (%),a) time series,he,060000000000,37.3
2008,percentage (%),a) time series,mv,130000000000,20.5
2009,percentage (%),a) time series,mv,130000000000,23.3
2010,percentage (%),a) time series,mv,130000000000,23.5
2011,percentage (%),a) time series,mv,130000000000,21.3
2012,percentage (%),a) time series,mv,130000000000,25.3
2013,percentage (%),a) time series,mv,130000000000,26.5
2014,percentage (%),a) time series,mv,130000000000,28.0
2015,percentage (%),a) time series,mv,130000000000,31.2
2016,percentage (%),a) time series,mv,130000000000,35.2
2017,percentage (%),a) time series,mv,130000000000,36.5
2008,percentage (%),a) time series,ni,030000000000,19.5
2009,percentage (%),a) time series,ni,030000000000,21.6
2010,percentage (%),a) time series,ni,030000000000,23.2
2011,percentage (%),a) time series,ni,030000000000,25.3
2012,percentage (%),a) time series,ni,030000000000,26.9
2013,percentage (%),a) time series,ni,030000000000,29.3
2014,percentage (%),a) time series,ni,030000000000,31.5
2015,percentage (%),a) time series,ni,030000000000,34.5
2016,percentage (%),a) time series,ni,030000000000,36.7
2017,percentage (%),a) time series,ni,030000000000,38.4
2008,percentage (%),a) time series,nw,050000000000,16.8
2009,percentage (%),a) time series,nw,050000000000,18.5
2010,percentage (%),a) time series,nw,050000000000,19.7
2011,percentage (%),a) time series,nw,050000000000,20.9
2012,percentage (%),a) time series,nw,050000000000,22.0
2013,percentage (%),a) time series,nw,050000000000,25.6
2014,percentage (%),a) time series,nw,050000000000,27.5
2015,percentage (%),a) time series,nw,050000000000,29.4
2016,percentage (%),a) time series,nw,050000000000,31.7
2017,percentage (%),a) time series,nw,050000000000,33.4
2008,percentage (%),a) time series,rp,070000000000,17.5
2009,percentage (%),a) time series,rp,070000000000,20.1
2010,percentage (%),a) time series,rp,070000000000,21.7
2011,percentage (%),a) time series,rp,070000000000,23.6
2012,percentage (%),a) time series,rp,070000000000,25.0
2013,percentage (%),a) time series,rp,070000000000,27.3
2014,percentage (%),a) time series,rp,070000000000,30.3
2015,percentage (%),a) time series,rp,070000000000,31.9
2016,percentage (%),a) time series,rp,070000000000,33.5
2017,percentage (%),a) time series,rp,070000000000,35.0
2008,percentage (%),a) time series,sl,100000000000,12.9
2009,percentage (%),a) time series,sl,100000000000,14.6
2010,percentage (%),a) time series,sl,100000000000,16.4
2011,percentage (%),a) time series,sl,100000000000,18.8
2012,percentage (%),a) time series,sl,100000000000,19.1
2013,percentage (%),a) time series,sl,100000000000,21.0
2014,percentage (%),a) time series,sl,100000000000,24.1
2015,percentage (%),a) time series,sl,100000000000,25.3
2016,percentage (%),a) time series,sl,100000000000,28.5
2017,percentage (%),a) time series,sl,100000000000,28.4
2008,percentage (%),a) time series,sn,140000000000,26.9
2009,percentage (%),a) time series,sn,140000000000,31.0
2010,percentage (%),a) time series,sn,140000000000,33.0
2011,percentage (%),a) time series,sn,140000000000,36.0
2012,percentage (%),a) time series,sn,140000000000,38.5
2013,percentage (%),a) time series,sn,140000000000,41.1
2014,percentage (%),a) time series,sn,140000000000,44.7
2015,percentage (%),a) time series,sn,140000000000,47.5
2016,percentage (%),a) time series,sn,140000000000,49.1
2017,percentage (%),a) time series,sn,140000000000,51.9
2008,percentage (%),a) time series,st,150000000000,17.6
2009,percentage (%),a) time series,st,150000000000,17.9
2010,percentage (%),a) time series,st,150000000000,20.1
2011,percentage (%),a) time series,st,150000000000,22.2
2012,percentage (%),a) time series,st,150000000000,23.2
2013,percentage (%),a) time series,st,150000000000,25.9
2014,percentage (%),a) time series,st,150000000000,28.6
2015,percentage (%),a) time series,st,150000000000,31.7
2016,percentage (%),a) time series,st,150000000000,35.1
2017,percentage (%),a) time series,st,150000000000,36.8
2008,percentage (%),a) time series,sh,010000000000,18.4
2009,percentage (%),a) time series,sh,010000000000,19.9
2010,percentage (%),a) time series,sh,010000000000,22.0
2011,percentage (%),a) time series,sh,010000000000,24.0
2012,percentage (%),a) time series,sh,010000000000,24.7
