Year,title,display,dimension,Bundesland,Value
2008,Nitrate in groundwater,Time series, ,,81.84
2009,Nitrate in groundwater,Time series, ,,82.53
2010,Nitrate in groundwater,Time series, ,,81.66
2011,Nitrate in groundwater,Time series, ,,81.97
2012,Nitrate in groundwater,Time series, ,,80.95
2013,Nitrate in groundwater,Time series, ,,81.41
2014,Nitrate in groundwater,Time series, ,,81.82
2015,Nitrate in groundwater,Time series, ,,81.0
2030,Nitrate in groundwater,Target,,,100.0
2010,Nitrate in groundwater,Time series,,BB,84.7
2011,Nitrate in groundwater,Time series,,BB,83.7
2012,Nitrate in groundwater,Time series,,BB,83.7
2013,Nitrate in groundwater,Time series,,BB,84.7
2014,Nitrate in groundwater,Time series,,BB,86.7
2015,Nitrate in groundwater,Time series,,BB,85.7
2016,Nitrate in groundwater,Time series,,BB,85.7
2010,Nitrate in groundwater,Time series,,BW,89.2
2011,Nitrate in groundwater,Time series,,BW,89.9
2012,Nitrate in groundwater,Time series,,BW,90.8
2013,Nitrate in groundwater,Time series,,BW,90.8
2014,Nitrate in groundwater,Time series,,BW,91.7
2015,Nitrate in groundwater,Time series,,BW,90.8
2016,Nitrate in groundwater,Time series,,BW,91.7
2010,Nitrate in groundwater,Time series,,BY,94.9
2011,Nitrate in groundwater,Time series,,BY,93.6
2012,Nitrate in groundwater,Time series,,BY,94.0
2013,Nitrate in groundwater,Time series,,BY,94.1
2014,Nitrate in groundwater,Time series,,BY,94.5
2015,Nitrate in groundwater,Time series,,BY,94.4
2016,Nitrate in groundwater,Time series,,BY,94.5
2010,Nitrate in groundwater,Time series,,HE,83.6
2011,Nitrate in groundwater,Time series,,HE,87.0
2012,Nitrate in groundwater,Time series,,HE,82.3
2013,Nitrate in groundwater,Time series,,HE,80.9
2014,Nitrate in groundwater,Time series,,HE,87.1
2015,Nitrate in groundwater,Time series,,HE,84.6
2016,Nitrate in groundwater,Time series,,HE,84.7
2010,Nitrate in groundwater,Time series,,MV,86.2
2011,Nitrate in groundwater,Time series,,MV,86.2
2012,Nitrate in groundwater,Time series,,MV,85.0
2013,Nitrate in groundwater,Time series,,MV,85.0
2010,Nitrate in groundwater,Time series,,NI,70.4
2011,Nitrate in groundwater,Time series,,NI,69.7
2012,Nitrate in groundwater,Time series,,NI,69.1
2013,Nitrate in groundwater,Time series,,NI,69.3
2014,Nitrate in groundwater,Time series,,NI,69.6
2015,Nitrate in groundwater,Time series,,NI,68.7
2016,Nitrate in groundwater,Time series,,NI,71.5
2010,Nitrate in groundwater,Time series,,NW,78.5
2011,Nitrate in groundwater,Time series,,NW,83.2
2012,Nitrate in groundwater,Time series,,NW,80.0
2013,Nitrate in groundwater,Time series,,NW,83.9
2014,Nitrate in groundwater,Time series,,NW,83.3
2015,Nitrate in groundwater,Time series,,NW,82.7
2016,Nitrate in groundwater,Time series,,NW,79.6
2010,Nitrate in groundwater,Time series,,RP,76.8
2011,Nitrate in groundwater,Time series,,RP,75.4
2012,Nitrate in groundwater,Time series,,RP,71.0
2013,Nitrate in groundwater,Time series,,RP,72.5
2014,Nitrate in groundwater,Time series,,RP,75.4
2015,Nitrate in groundwater,Time series,,RP,73.9
2016,Nitrate in groundwater,Time series,,RP,76.8
2010,Nitrate in groundwater,Time series,,SH,64.2
2011,Nitrate in groundwater,Time series,,SH,69.8
2012,Nitrate in groundwater,Time series,,SH,66.0
2013,Nitrate in groundwater,Time series,,SH,66.0
2014,Nitrate in groundwater,Time series,,SH,66.0
2015,Nitrate in groundwater,Time series,,SH,69.8
2016,Nitrate in groundwater,Time series,,SH,71.7
2010,Nitrate in groundwater,Time series,,SL,100.0
2011,Nitrate in groundwater,Time series,,SL,87.5
2012,Nitrate in groundwater,Time series,,SL,100.0
2013,Nitrate in groundwater,Time series,,SL,100.0
2014,Nitrate in groundwater,Time series,,SL,100.0
2015,Nitrate in groundwater,Time series,,SL,100.0
2016,Nitrate in groundwater,Time series,,SL,100.0
2010,Nitrate in groundwater,Time series,,SN,64.4
2011,Nitrate in groundwater,Time series,,SN,70.5
2012,Nitrate in groundwater,Time series,,SN,64.5
2013,Nitrate in groundwater,Time series,,SN,66.7
2014,Nitrate in groundwater,Time series,,SN,66.7
2015,Nitrate in groundwater,Time series,,SN,68.3
2016,Nitrate in groundwater,Time series,,SN,65.1
2010,Nitrate in groundwater,Time series,,ST,76.8
2011,Nitrate in groundwater,Time series,,ST,75.4
2012,Nitrate in groundwater,Time series,,ST,75.4
2013,Nitrate in groundwater,Time series,,ST,73.9
2014,Nitrate in groundwater,Time series,,ST,73.9
2015,Nitrate in groundwater,Time series,,ST,72.9
2016,Nitrate in groundwater,Time series,,ST,75.7
2010,Nitrate in groundwater,Time series,,TH,76.4
2011,Nitrate in groundwater,Time series,,TH,74.5
2012,Nitrate in groundwater,Time series,,TH,72.7
2013,Nitrate in groundwater,Time series,,TH,70.0
2014,Nitrate in groundwater,Time series,,TH,74.6
2016,Nitrate in groundwater,Time series,,TH,77.1
