Year,Units,display,title,Bundesland,GeoCode,Value
2008,2008 = 100,a) time series,a) final energy productivity,,,100.0
2009,2008 = 100,a) time series,a) final energy productivity,,,99.67607501428036
2010,2008 = 100,a) time series,a) final energy productivity,,,96.65136631727552
2011,2008 = 100,a) time series,a) final energy productivity,,,105.28833638279092
2012,2008 = 100,a) time series,a) final energy productivity,,,105.28937409704695
2013,2008 = 100,a) time series,a) final energy productivity,,,102.74519633034774
2014,2008 = 100,a) time series,a) final energy productivity,,,110.82435547398552
2015,2008 = 100,a) time series,a) final energy productivity,,,110.22708801471828
2016,2008 = 100,a) time series,a) final energy productivity,,,110.53487495790377
2017,2008 = 100,a) time series,a) final energy productivity,,,111.57924771250143
2018,2008 = 100,a) time series,a) final energy productivity,,,115.95326387553715
2050,2008 = 100,b) target (min),a) final energy productivity,,,239.0
2008,2008 = 100,a) time series,a) final energy productivity,bw,code08,100.0
2009,2008 = 100,a) time series,a) final energy productivity,bw,code08,96.40468227424749
2010,2008 = 100,a) time series,a) final energy productivity,bw,code08,101.08695652173914
2011,2008 = 100,a) time series,a) final energy productivity,bw,code08,109.86622073578596
2012,2008 = 100,a) time series,a) final energy productivity,bw,code08,111.87290969899668
2013,2008 = 100,a) time series,a) final energy productivity,bw,code08,107.52508361204013
2014,2008 = 100,a) time series,a) final energy productivity,bw,code08,116.88963210702343
2015,2008 = 100,a) time series,a) final energy productivity,bw,code08,117.22408026755853
2016,2008 = 100,a) time series,a) final energy productivity,bw,code08,116.80602006688963
2008,2008 = 100,a) time series,a) final energy productivity,by,code09,100.0
2009,2008 = 100,a) time series,a) final energy productivity,by,code09,98.42767295597484
2010,2008 = 100,a) time series,a) final energy productivity,by,code09,95.9119496855346
2011,2008 = 100,a) time series,a) final energy productivity,by,code09,102.51572327044025
2012,2008 = 100,a) time series,a) final energy productivity,by,code09,104.00943396226417
2013,2008 = 100,a) time series,a) final energy productivity,by,code09,104.24528301886791
2014,2008 = 100,a) time series,a) final energy productivity,by,code09,111.9496855345912
2015,2008 = 100,a) time series,a) final energy productivity,by,code09,111.63522012578618
2016,2008 = 100,a) time series,a) final energy productivity,by,code09,109.90566037735849
2008,2008 = 100,a) time series,a) final energy productivity,be,code11,100.0
2009,2008 = 100,a) time series,a) final energy productivity,be,code11,98.13229571984435
2010,2008 = 100,a) time series,a) final energy productivity,be,code11,92.91828793774319
2011,2008 = 100,a) time series,a) final energy productivity,be,code11,108.17120622568093
