Year,Units,display,Bundesland,GeoCode,Value
2005,percentage (%),a) time series,a) germany (total),,10.300
2006,percentage (%),a) time series,a) germany (total),,11.600
2007,percentage (%),a) time series,a) germany (total),,14.300
2008,percentage (%),a) time series,a) germany (total),,15.200
2009,percentage (%),a) time series,a) germany (total),,16.400
2010,percentage (%),a) time series,a) germany (total),,17.000
2011,percentage (%),a) time series,a) germany (total),,20.400
2012,percentage (%),a) time series,a) germany (total),,23.500
2013,percentage (%),a) time series,a) germany (total),,25.100
2014,percentage (%),a) time series,a) germany (total),,27.400
2015,percentage (%),a) time series,a) germany (total),,31.500
2016,percentage (%),a) time series,a) germany (total),,31.600
2017,percentage (%),a) time series,a) germany (total),,36.000
2018,percentage (%),a) time series,a) germany (total),,37.800
2019,percentage (%),a) time series,a) germany (total),,42.100
2020,percentage (%),b) target (min),a) germany (total),,35.000
2030,percentage (%),b) target (min),a) germany (total),,50.000
2050,percentage (%),b) target (min),a) germany (total),,80.000
1990,percentage (%),a) time series,bw,code08,8.100
1991,percentage (%),a) time series,bw,code08,7.500
1992,percentage (%),a) time series,bw,code08,8.100
1993,percentage (%),a) time series,bw,code08,7.000
1994,percentage (%),a) time series,bw,code08,7.500
1995,percentage (%),a) time series,bw,code08,7.800
1996,percentage (%),a) time series,bw,code08,6.600
1997,percentage (%),a) time series,bw,code08,7.400
1998,percentage (%),a) time series,bw,code08,6.300
1999,percentage (%),a) time series,bw,code08,7.200
2000,percentage (%),a) time series,bw,code08,11.600
2001,percentage (%),a) time series,bw,code08,8.700
2002,percentage (%),a) time series,bw,code08,8.600
2003,percentage (%),a) time series,bw,code08,6.300
2004,percentage (%),a) time series,bw,code08,7.400
2005,percentage (%),a) time series,bw,code08,8.800
2006,percentage (%),a) time series,bw,code08,10.300
2007,percentage (%),a) time series,bw,code08,11.500
2008,percentage (%),a) time series,bw,code08,11.600
2009,percentage (%),a) time series,bw,code08,12.300
2010,percentage (%),a) time series,bw,code08,14.000
2011,percentage (%),a) time series,bw,code08,15.500
2012,percentage (%),a) time series,bw,code08,18.300
2013,percentage (%),a) time series,bw,code08,19.100
2014,percentage (%),a) time series,bw,code08,20.000
2015,percentage (%),a) time series,bw,code08,20.100
2016,percentage (%),a) time series,bw,code08,21.400
1995,percentage (%),a) time series,by,code09,18.700
1996,percentage (%),a) time series,by,code09,17.000
1997,percentage (%),a) time series,by,code09,16.500
1998,percentage (%),a) time series,by,code09,17.300
1999,percentage (%),a) time series,by,code09,19.200
2000,percentage (%),a) time series,by,code09,19.100
2001,percentage (%),a) time series,by,code09,18.000
2002,percentage (%),a) time series,by,code09,20.600
2003,percentage (%),a) time series,by,code09,18.200
2004,percentage (%),a) time series,by,code09,19.000
2005,percentage (%),a) time series,by,code09,18.400
2006,percentage (%),a) time series,by,code09,20.000
2007,percentage (%),a) time series,by,code09,22.100
2008,percentage (%),a) time series,by,code09,22.600
2009,percentage (%),a) time series,by,code09,24.600
2010,percentage (%),a) time series,by,code09,26.400
2011,percentage (%),a) time series,by,code09,27.700
2012,percentage (%),a) time series,by,code09,35.200
2013,percentage (%),a) time series,by,code09,37.100
2014,percentage (%),a) time series,by,code09,38.400
2015,percentage (%),a) time series,by,code09,40.300
2016,percentage (%),a) time series,by,code09,42.300
1990,percentage (%),a) time series,be,code11,0.000
1991,percentage (%),a) time series,be,code11,0.000
1992,percentage (%),a) time series,be,code11,0.000
1993,percentage (%),a) time series,be,code11,0.000
1994,percentage (%),a) time series,be,code11,0.000
1995,percentage (%),a) time series,be,code11,0.000
1996,percentage (%),a) time series,be,code11,0.000
1997,percentage (%),a) time series,be,code11,0.000
1998,percentage (%),a) time series,be,code11,0.000
1999,percentage (%),a) time series,be,code11,0.000
2003,percentage (%),a) time series,be,code11,0.600
2004,percentage (%),a) time series,be,code11,0.700
2005,percentage (%),a) time series,be,code11,0.800
2006,percentage (%),a) time series,be,code11,0.800
2007,percentage (%),a) time series,be,code11,0.800
2008,percentage (%),a) time series,be,code11,1.100
2009,percentage (%),a) time series,be,code11,2.100
2010,percentage (%),a) time series,be,code11,2.400
2011,percentage (%),a) time series,be,code11,2.400
2012,percentage (%),a) time series,be,code11,1.700
2013,percentage (%),a) time series,be,code11,1.900
2014,percentage (%),a) time series,be,code11,2.200
2015,percentage (%),a) time series,be,code11,2.500
2016,percentage (%),a) time series,be,code11,2.500
2001,percentage (%),a) time series,bb,code12,6.000
2002,percentage (%),a) time series,bb,code12,9.300
2003,percentage (%),a) time series,bb,code12,15.100
2004,percentage (%),a) time series,bb,code12,19.800
2005,percentage (%),a) time series,bb,code12,23.500
2006,percentage (%),a) time series,bb,code12,29.700
2007,percentage (%),a) time series,bb,code12,41.100
2008,percentage (%),a) time series,bb,code12,39.800
2009,percentage (%),a) time series,bb,code12,43.000
2010,percentage (%),a) time series,bb,code12,50.600
2011,percentage (%),a) time series,bb,code12,57.600
2012,percentage (%),a) time series,bb,code12,58.600
2013,percentage (%),a) time series,bb,code12,62.200
2014,percentage (%),a) time series,bb,code12,64.900
2015,percentage (%),a) time series,bb,code12,72.100
2016,percentage (%),a) time series,bb,code12,73.200
1990,percentage (%),a) time series,hb,code04,1.200
1991,percentage (%),a) time series,hb,code04,1.400
1992,percentage (%),a) time series,hb,code04,1.500
1993,percentage (%),a) time series,hb,code04,1.800
1994,percentage (%),a) time series,hb,code04,1.600
1995,percentage (%),a) time series,hb,code04,1.700
1996,percentage (%),a) time series,hb,code04,1.700
1997,percentage (%),a) time series,hb,code04,1.600
1998,percentage (%),a) time series,hb,code04,1.800
1999,percentage (%),a) time series,hb,code04,1.900
2000,percentage (%),a) time series,hb,code04,1.900
