Year,title,display,dimension,Bundesland,Value
1991,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-3.17
1992,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-2.59
1993,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-3.08
1994,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-2.51
1995,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-2.94
1996,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-3.54
1997,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-2.95
1998,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-2.53
1999,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-1.7
2000,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,1.54
2001,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-3.11
2002,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-3.94
2003,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-4.18
2004,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-3.74
2005,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-3.42
2006,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-1.72
2007,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,0.19
2008,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-0.18
2009,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-3.23
2010,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-4.22
2011,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-0.96
2012,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-0.03
2013,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,-0.14
2014,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,0.57
2015,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,0.78
2016,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,0.91
2017,Funding balance and structural governmental funding balance,Time series,Funding balance (Share of gross domestic product (at current prices) in %),,1.04
2030,Funding balance and structural governmental funding balance,Target,Funding balance (Share of gross domestic product (at current prices) in %),,-3.0
2005,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,-2.02
2006,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,-1.63
2007,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,-0.73
2008,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,-0.69
2009,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,-0.3
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,-1.93
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,-1.08
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,0.24
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,0.64
2014,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,1.32
2015,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,1.18
2016,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,1.27
2017,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),,1.48
2030,Funding balance and structural governmental funding balance,Target,Structural funding balance (Share of gross domestic product (at current prices) in %),,-5.0
2010,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BB,-1.14
2011,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BB,-0.83
2012,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BB,-0.4
2013,Funding balance and structural governmental funding balance,Time series,Structural funding balance (Share of gross domestic product (at current prices) in %),BB,-0.04
