Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,länder,GeoCode,Value
1991,percentage,,,,,39.0
1992,percentage,,,,,41.4
1993,percentage,,,,,45.1
1994,percentage,,,,,47.5
1995,percentage,,,,,54.9
1996,percentage,,,,,57.7
1997,percentage,,,,,58.8
1998,percentage,,,,,59.4
1999,percentage,,,,,60.3
2000,percentage,,,,,59.2
2001,percentage,,,,,58.1
2002,percentage,,,,,59.8
2003,percentage,,,,,63.3
2004,percentage,,,,,65.0
2005,percentage,,,,,67.1
2006,percentage,,,,,66.4
2007,percentage,,,,,63.7
2008,percentage,,,,,65.2
2009,percentage,r,,,,72.4
2010,percentage,,,,,81.0
2011,percentage,,,,,78.5
2012,percentage,,,,,79.8
2013,percentage,r,,,,77.5
2014,percentage,,,,,74.5
2015,percentage,,,,,71.2
2016,percentage,,,,,68.3
2017,percentage,,,,,64.0
2018,percentage,,,,,60.8
2019,percentage,,,,,58.7
2020,percentage,r,,,,68.0
2021,percentage,r,,,,67.9
2022,percentage,r,p,,,64.4
2023,percentage,r,p,,,62.3
2024,percentage,r,p,,,62.2
2025,percentage,p,,,,63.5
1991,percentage,,,baden-wuerttemberg,code08,11.508
1992,percentage,,,baden-wuerttemberg,code08,11.591
1993,percentage,,,baden-wuerttemberg,code08,11.617
1994,percentage,,,baden-wuerttemberg,code08,11.696
1995,percentage,,,baden-wuerttemberg,code08,11.951
1996,percentage,,,baden-wuerttemberg,code08,11.807
1997,percentage,,,baden-wuerttemberg,code08,12.098
1998,percentage,,,baden-wuerttemberg,code08,11.983
1999,percentage,,,baden-wuerttemberg,code08,11.831
2000,percentage,,,baden-wuerttemberg,code08,11.623
2001,percentage,,,baden-wuerttemberg,code08,11.289
2002,percentage,,,baden-wuerttemberg,code08,11.998
2003,percentage,,,baden-wuerttemberg,code08,12.111
2004,percentage,,,baden-wuerttemberg,code08,12.661
2005,percentage,,,baden-wuerttemberg,code08,13.06
2006,percentage,,,baden-wuerttemberg,code08,12.826
2007,percentage,,,baden-wuerttemberg,code08,12.618
2008,percentage,,,baden-wuerttemberg,code08,12.32
2009,percentage,,,baden-wuerttemberg,code08,17.799
2010,percentage,,,baden-wuerttemberg,code08,16.667
2011,percentage,,,baden-wuerttemberg,code08,16.608
2012,percentage,,,baden-wuerttemberg,code08,16.357
2013,percentage,,,baden-wuerttemberg,code08,16.333
2014,percentage,,,baden-wuerttemberg,code08,13.31
2015,percentage,,,baden-wuerttemberg,code08,13.15
2016,percentage,,,baden-wuerttemberg,code08,12.828
2017,percentage,,,baden-wuerttemberg,code08,10.811
2018,percentage,,,baden-wuerttemberg,code08,10.01
2019,percentage,,,baden-wuerttemberg,code08,9.907
2020,percentage,r,,baden-wuerttemberg,code08,11.083
2021,percentage,r,,baden-wuerttemberg,code08,10.338
2022,percentage,p,,baden-wuerttemberg,code08,9.035
2023,percentage,p,,baden-wuerttemberg,code08,8.274
2024,percentage,p,,baden-wuerttemberg,code08,8.88
2025,percentage,p,,baden-wuerttemberg,code08,10.013
1991,percentage,,,bavaria,code09,9.281
1992,percentage,,,bavaria,code09,9.103
1993,percentage,,,bavaria,code09,8.872
1994,percentage,,,bavaria,code09,8.864
1995,percentage,,,bavaria,code09,8.56
1996,percentage,,,bavaria,code09,8.544
1997,percentage,,,bavaria,code09,9.228
1998,percentage,,,bavaria,code09,9.392
1999,percentage,,,bavaria,code09,9.359
2000,percentage,,,bavaria,code09,8.967
2001,percentage,,,bavaria,code09,8.493
2002,percentage,,,bavaria,code09,8.368
2003,percentage,,,bavaria,code09,8.843
2004,percentage,,,bavaria,code09,9.111
2005,percentage,,,bavaria,code09,9.317
2006,percentage,,,bavaria,code09,9.305
2007,percentage,,,bavaria,code09,8.516
2008,percentage,,,bavaria,code09,8.091
2009,percentage,,,bavaria,code09,9.503
2010,percentage,,,bavaria,code09,9.403
2011,percentage,,,bavaria,code09,8.642
2012,percentage,,,bavaria,code09,8.376
2013,percentage,,,bavaria,code09,7.719
2014,percentage,,,bavaria,code09,6.96
2015,percentage,,,bavaria,code09,6.289
2016,percentage,,,bavaria,code09,5.634
2017,percentage,,,bavaria,code09,4.93
2018,percentage,,,bavaria,code09,4.373
2019,percentage,,,bavaria,code09,3.946
2020,percentage,,,bavaria,code09,4.99
2021,percentage,,,bavaria,code09,5.107
2022,percentage,p,,bavaria,code09,4.834
2023,percentage,p,,bavaria,code09,4.621
2024,percentage,p,,bavaria,code09,4.966
2025,percentage,p,,bavaria,code09,5.433
1991,percentage,,,berlin,code11,11.835
1992,percentage,,,berlin,code11,13.907
1993,percentage,,,berlin,code11,16.837
1994,percentage,,,berlin,code11,19.313
1995,percentage,,,berlin,code11,25.048
1996,percentage,,,berlin,code11,29.172
1997,percentage,,,berlin,code11,32.308
1998,percentage,,,berlin,code11,34.828
1999,percentage,,,berlin,code11,36.906
2000,percentage,,,berlin,code11,38.8
2001,percentage,,,berlin,code11,44.001
2002,percentage,,,berlin,code11,51.248
2003,percentage,,,berlin,code11,56.292
2004,percentage,,,berlin,code11,62.173
2005,percentage,,,berlin,code11,64.626
2006,percentage,,,berlin,code11,63.813
2007,percentage,,,berlin,code11,58.687
2008,percentage,,,berlin,code11,55.428
2009,percentage,,,berlin,code11,58.013
2010,percentage,,,berlin,code11,57.237
2011,percentage,,,berlin,code11,55.467
2012,percentage,,,berlin,code11,54.165
2013,percentage,,,berlin,code11,51.996
2014,percentage,,,berlin,code11,48.793
2015,percentage,,,berlin,code11,45.292
2016,percentage,,,berlin,code11,42.524
2017,percentage,,,berlin,code11,39.139
2018,percentage,,,berlin,code11,35.717
2019,percentage,,,berlin,code11,33.737
2020,percentage,r,,berlin,code11,37.441
2021,percentage,r,,berlin,code11,36.365
2022,percentage,p,,berlin,code11,33.194
2023,percentage,p,,berlin,code11,31.339
2024,percentage,p,,berlin,code11,32.014
2025,percentage,p,,berlin,code11,30.412
1991,percentage,,,brandenburg,code12,5.597
1992,percentage,,,brandenburg,code12,14.341
1993,percentage,,,brandenburg,code12,11.8
1994,percentage,,,brandenburg,code12,19.692
1995,percentage,,,brandenburg,code12,25.226
1996,percentage,,,brandenburg,code12,28.23
1997,percentage,,,brandenburg,code12,31.993
1998,percentage,,,brandenburg,code12,33.789
1999,percentage,,,brandenburg,code12,34.04
2000,percentage,,,brandenburg,code12,33.901
2001,percentage,,,brandenburg,code12,31.497
2002,percentage,,,brandenburg,code12,32.617
2003,percentage,,,brandenburg,code12,34.643
2004,percentage,,,brandenburg,code12,37.037
2005,percentage,,,brandenburg,code12,36.697
2006,percentage,,,brandenburg,code12,35.733
2007,percentage,,,brandenburg,code12,34.932
2008,percentage,,,brandenburg,code12,33.478
2009,percentage,,,brandenburg,code12,34.588
2010,percentage,,,brandenburg,code12,38.398
2011,percentage,,,brandenburg,code12,36.811
2012,percentage,,,brandenburg,code12,35.619
2013,percentage,,,brandenburg,code12,33.461
2014,percentage,,,brandenburg,code12,30.914
2015,percentage,,,brandenburg,code12,30.219
2016,percentage,,,brandenburg,code12,29.19
2017,percentage,,,brandenburg,code12,26.06
2018,percentage,,,brandenburg,code12,24.291
2019,percentage,,,brandenburg,code12,23.772
2020,percentage,,,brandenburg,code12,26.428
2021,percentage,,,brandenburg,code12,25.177
2022,percentage,p,,brandenburg,code12,22.004
2023,percentage,p,,brandenburg,code12,21.41
2024,percentage,p,,brandenburg,code12,22.499
