Year,Units,Bundesland,GeoCode,Value
1991,percentage (%),a) germany (total),,24.9
1992,percentage (%),a) germany (total),,25.2
1993,percentage (%),a) germany (total),,24.1
1994,percentage (%),a) germany (total),,24.1
1995,percentage (%),a) germany (total),,23.5
1996,percentage (%),a) germany (total),,23.0
1997,percentage (%),a) germany (total),,22.7
1998,percentage (%),a) germany (total),,22.8
1999,percentage (%),a) germany (total),,23.0
2000,percentage (%),a) germany (total),,23.1
2001,percentage (%),a) germany (total),,21.8
2002,percentage (%),a) germany (total),,20.1
2003,percentage (%),a) germany (total),,19.5
2004,percentage (%),a) germany (total),,19.1
2005,percentage (%),a) germany (total),,19.1
2006,percentage (%),a) germany (total),,19.8
2007,percentage (%),a) germany (total),,20.1
2008,percentage (%),a) germany (total),,20.3
2009,percentage (%),a) germany (total),,19.3
2010,percentage (%),a) germany (total),,19.5
2011,percentage (%),a) germany (total),,20.4
2012,percentage (%),a) germany (total),,20.3
2013,percentage (%),a) germany (total),,19.9
2014,percentage (%),a) germany (total),,20.0
2015,percentage (%),a) germany (total),,20.0
2016,percentage (%),a) germany (total),,20.3
2017,percentage (%),a) germany (total),,20.4
2018,percentage (%),a) germany (total),,21.1
2019,percentage (%),a) germany (total),,21.7
1991,percentage (%),bw,'080000000000',24.7
1992,percentage (%),bw,'080000000000',24.3
1993,percentage (%),bw,'080000000000',23.1
1994,percentage (%),bw,'080000000000',21.8
1995,percentage (%),bw,'080000000000',20.4
1996,percentage (%),bw,'080000000000',20.3
1997,percentage (%),bw,'080000000000',19.6
1998,percentage (%),bw,'080000000000',20.1
1999,percentage (%),bw,'080000000000',20.3
2000,percentage (%),bw,'080000000000',21.2
2001,percentage (%),bw,'080000000000',21.6
2002,percentage (%),bw,'080000000000',20.5
2003,percentage (%),bw,'080000000000',19.3
2004,percentage (%),bw,'080000000000',19.8
2005,percentage (%),bw,'080000000000',19.2
2006,percentage (%),bw,'080000000000',20.2
2007,percentage (%),bw,'080000000000',20.4
2008,percentage (%),bw,'080000000000',21.2
2009,percentage (%),bw,'080000000000',20.6
2010,percentage (%),bw,'080000000000',19.8
2011,percentage (%),bw,'080000000000',20.6
2012,percentage (%),bw,'080000000000',21.7
2013,percentage (%),bw,'080000000000',20.9
2014,percentage (%),bw,'080000000000',20.5
2015,percentage (%),bw,'080000000000',20.8
2016,percentage (%),bw,'080000000000',21.0
2017,percentage (%),bw,'080000000000',21.9
1991,percentage (%),by,'090000000000',28.1
1992,percentage (%),by,'090000000000',27.4
1993,percentage (%),by,'090000000000',24.6
1994,percentage (%),by,'090000000000',25.3
1995,percentage (%),by,'090000000000',24.8
1996,percentage (%),by,'090000000000',24.4
1997,percentage (%),by,'090000000000',22.9
1998,percentage (%),by,'090000000000',23.7
1999,percentage (%),by,'090000000000',23.5
2000,percentage (%),by,'090000000000',24.3
2001,percentage (%),by,'090000000000',23.0
2002,percentage (%),by,'090000000000',21.7
2003,percentage (%),by,'090000000000',22.4
2004,percentage (%),by,'090000000000',21.3
2005,percentage (%),by,'090000000000',20.4
2006,percentage (%),by,'090000000000',23.7
2007,percentage (%),by,'090000000000',22.9
2008,percentage (%),by,'090000000000',23.2
2009,percentage (%),by,'090000000000',21.5
2010,percentage (%),by,'090000000000',21.6
2011,percentage (%),by,'090000000000',23.2
2012,percentage (%),by,'090000000000',22.9
2013,percentage (%),by,'090000000000',22.7
2014,percentage (%),by,'090000000000',23.0
2015,percentage (%),by,'090000000000',23.1
2016,percentage (%),by,'090000000000',23.0
2017,percentage (%),by,'090000000000',23.6
1991,percentage (%),be,'110000000000',22.5
1992,percentage (%),be,'110000000000',23.0
1993,percentage (%),be,'110000000000',21.9
1994,percentage (%),be,'110000000000',20.4
1995,percentage (%),be,'110000000000',20.5
1996,percentage (%),be,'110000000000',24.5
1997,percentage (%),be,'110000000000',28.1
1998,percentage (%),be,'110000000000',23.0
1999,percentage (%),be,'110000000000',22.3
2000,percentage (%),be,'110000000000',20.8
2001,percentage (%),be,'110000000000',19.1
2002,percentage (%),be,'110000000000',16.4
2003,percentage (%),be,'110000000000',14.6
2004,percentage (%),be,'110000000000',15.7
2005,percentage (%),be,'110000000000',17.7
2006,percentage (%),be,'110000000000',17.3
2007,percentage (%),be,'110000000000',17.8
2008,percentage (%),be,'110000000000',17.3
2009,percentage (%),be,'110000000000',16.8
2010,percentage (%),be,'110000000000',17.0
2011,percentage (%),be,'110000000000',16.4
2012,percentage (%),be,'110000000000',18.6
2013,percentage (%),be,'110000000000',18.3
2014,percentage (%),be,'110000000000',19.3
