Year,Units,title,Bundesland,GeoCode,Value
2014,number,partnership for sustainable textiles,,,59.00
2015,number,partnership for sustainable textiles,,,172.00
2016,number,partnership for sustainable textiles,,,188.00
2017,number,partnership for sustainable textiles,,,147.00
2018,number,partnership for sustainable textiles,,,133.00
2019,number,partnership for sustainable textiles,,,123.00
2019,number,partnership for sustainable textiles,bw,code08,11.00
2019,number,partnership for sustainable textiles,by,code09,17.00
2019,number,partnership for sustainable textiles,be,code11,4.00
2019,number,partnership for sustainable textiles,hh,code02,4.00
2019,number,partnership for sustainable textiles,he,code06,4.00
2019,number,partnership for sustainable textiles,ni,code03,1.00
2019,number,partnership for sustainable textiles,nw,code05,18.00
2019,number,partnership for sustainable textiles,sn,code14,2.00
2019,number,partnership for sustainable textiles,sh,code01,1.00
