Year,Units,Zeitreihe,Gebiet,COMMENT_OBS_0,Geschlecht,COMMENT_OBS_1,Altersklasse,Bundesland,GeoCode,Value
2014,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,,,,19.7
2015,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,,,,17.5
2016,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,,,,16.0
2017,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,,,,14.0
2018,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,,,,13.1
2019,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,,,,12.5
2020,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,,,,12.5
2021,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,,,,11.8
2022,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,,,,12.5
2023,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,,,,13.1
2024,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,,,,12.1
2025,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,,,,,,12.0
2014,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Weiblich,,,,,20.5
2015,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Weiblich,,,,,18.3
2016,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Weiblich,,,,,16.9
2017,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Weiblich,,,,,14.9
2018,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Weiblich,,,,,13.9
2019,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Weiblich,,,,,13.3
2020,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Weiblich,,,,,13.2
2021,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Weiblich,,,,,12.3
2022,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,13.2
2023,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,13.8
2024,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,12.6
2025,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,12.6
2014,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Männlich,,,,,18.8
2015,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Männlich,,,,,16.5
2016,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Männlich,,,,,15.1
2017,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Männlich,,,,,13.2
2018,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Männlich,,,,,12.1
2019,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Männlich,,,,,11.7
2020,Prozent,a) Materielle und soziale Deprivation,Europäische Union,r,Männlich,,,,,11.8
2021,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,11.3
2022,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,11.9
2023,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,12.3
2024,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,11.5
2025,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,11.3
2014,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,,,,,,12.3
2015,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,,,,,,11.2
2016,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,,,,,,9.6
2017,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,,,,,,8.3
2018,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,,,,,,7.6
2019,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,,,,,,6.5
2020,Prozent,a) Materielle und soziale Deprivation,Deutschland,|,,r,,,,9.1
2021,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,,,,9.0
2022,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,,,,11.7
2023,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,,,,12.7
2024,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,,,,11.4
2025,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,,,,10.7
2014,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,Weiblich,,,,,13.3
2015,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,Weiblich,,,,,12.2
