Year,Units,Zeitreihe,Value
2010,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,100.0
2011,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,100.906
2012,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,99.396
2013,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,98.792
2014,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,99.849
2015,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,97.885
2016,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,100.755
2017,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,99.396
2018,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,97.734
2019,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,97.734
2020,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,96.073
2021,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,99.547
2010,2010 = 100,bb) Direkter und indirekter Energieverbrauch,100.0
2011,2010 = 100,bb) Direkter und indirekter Energieverbrauch,94.484
2012,2010 = 100,bb) Direkter und indirekter Energieverbrauch,96.041
2013,2010 = 100,bb) Direkter und indirekter Energieverbrauch,96.214
2014,2010 = 100,bb) Direkter und indirekter Energieverbrauch,91.212
2015,2010 = 100,bb) Direkter und indirekter Energieverbrauch,91.074
2016,2010 = 100,bb) Direkter und indirekter Energieverbrauch,93.649
2017,2010 = 100,bb) Direkter und indirekter Energieverbrauch,92.074
2018,2010 = 100,bb) Direkter und indirekter Energieverbrauch,91.277
2019,2010 = 100,bb) Direkter und indirekter Energieverbrauch,91.437
2020,2010 = 100,bb) Direkter und indirekter Energieverbrauch,85.453
2021,2010 = 100,bb) Direkter und indirekter Energieverbrauch,85.704
2010,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,100.0
2011,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,95.633
2012,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,98.382
2013,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,99.015
2014,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,93.073
2015,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,92.972
2016,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,95.48
2017,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,92.76
2018,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,91.319
2019,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,89.373
2020,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,82.122
2021,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,83.139
