Year,Units,Sektoren,Value
2023,Hektar,,55843369.0
2022,Hektar,,
2024,Hektar,,
2023,Hektar,Nachhaltige bewirtschaftete Fläche,2505544.0
2022,Hektar,Nachhaltige bewirtschaftete Fläche,
2024,Hektar,Nachhaltige bewirtschaftete Fläche,
2023,Hektar,Waldfläche nachhaltige Bewirtschaftung und Wiederherstellung,12008491.0
2022,Hektar,Waldfläche nachhaltige Bewirtschaftung und Wiederherstellung,
2024,Hektar,Waldfläche nachhaltige Bewirtschaftung und Wiederherstellung,
2023,Hektar,Terrestrische Schutzgebiete und Mangrovenwälder in marinen Schutzgebieten,41329334.0
2022,Hektar,Terrestrische Schutzgebiete und Mangrovenwälder in marinen Schutzgebieten,
2024,Hektar,Terrestrische Schutzgebiete und Mangrovenwälder in marinen Schutzgebieten,
