Year,Units,Series,Value
2006,Prozent,Unbereinigter Gender Pay Gap,23.0
2007,Prozent,Unbereinigter Gender Pay Gap,23.0
2008,Prozent,Unbereinigter Gender Pay Gap,23.0
2009,Prozent,Unbereinigter Gender Pay Gap,23.0
2010,Prozent,Unbereinigter Gender Pay Gap,22.0
2011,Prozent,Unbereinigter Gender Pay Gap,22.0
2012,Prozent,Unbereinigter Gender Pay Gap,23.0
2013,Prozent,Unbereinigter Gender Pay Gap,22.0
2014,Prozent,Unbereinigter Gender Pay Gap,22.0
2015,Prozent,Unbereinigter Gender Pay Gap,22.0
2016,Prozent,Unbereinigter Gender Pay Gap,21.0
2017,Prozent,Unbereinigter Gender Pay Gap,20.0
2018,Prozent,Unbereinigter Gender Pay Gap,20.0
2019,Prozent,Unbereinigter Gender Pay Gap,19.0
2020,Prozent,Unbereinigter Gender Pay Gap,18.0
2021,Prozent,Unbereinigter Gender Pay Gap,18.0
2022,Prozent,Unbereinigter Gender Pay Gap,18.0
2023,Prozent,Unbereinigter Gender Pay Gap,18.0
2024,Prozent,Unbereinigter Gender Pay Gap,16.0
2006,Prozent,Bereinigter Gender Pay Gap,8.0
2007,Prozent,Bereinigter Gender Pay Gap,
2008,Prozent,Bereinigter Gender Pay Gap,
2009,Prozent,Bereinigter Gender Pay Gap,
2010,Prozent,Bereinigter Gender Pay Gap,7.0
2011,Prozent,Bereinigter Gender Pay Gap,
2012,Prozent,Bereinigter Gender Pay Gap,
2013,Prozent,Bereinigter Gender Pay Gap,
2014,Prozent,Bereinigter Gender Pay Gap,6.0
2015,Prozent,Bereinigter Gender Pay Gap,
2016,Prozent,Bereinigter Gender Pay Gap,
2017,Prozent,Bereinigter Gender Pay Gap,
2018,Prozent,Bereinigter Gender Pay Gap,6.0
2019,Prozent,Bereinigter Gender Pay Gap,
2020,Prozent,Bereinigter Gender Pay Gap,
2021,Prozent,Bereinigter Gender Pay Gap,
2022,Prozent,Bereinigter Gender Pay Gap,7.0
2023,Prozent,Bereinigter Gender Pay Gap,6.0
2024,Prozent,Bereinigter Gender Pay Gap,6.0
