Year,Units,Series,COMMENT_OBS_0,Value
2015,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.,
2016,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.,
2017,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.,
2018,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.,
2019,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.,
2020,Prozent,a) Nachhaltigkeit in Vergabeverfahren,.,
2021,Prozent,a) Nachhaltigkeit in Vergabeverfahren,,12.6
2022,Prozent,a) Nachhaltigkeit in Vergabeverfahren,,12.8
2023,Prozent,a) Nachhaltigkeit in Vergabeverfahren,,14.0
2024,Prozent,a) Nachhaltigkeit in Vergabeverfahren,…,
2026,Prozent,a) Nachhaltigkeit in Vergabeverfahren,…,
2015,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,,100.0
2016,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,,100.021
2017,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,,99.997
2018,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,100.336
2019,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,100.857
2020,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,101.149
2021,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,100.47
2022,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,98.999
2023,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,r,96.667
2024,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,,95.017
2026,2015 = 100,b) CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge,…,
2015,Prozent,c) Nachhaltige Textilbeschaffung,.,
2016,Prozent,c) Nachhaltige Textilbeschaffung,.,
2017,Prozent,c) Nachhaltige Textilbeschaffung,.,
2018,Prozent,c) Nachhaltige Textilbeschaffung,.,
2019,Prozent,c) Nachhaltige Textilbeschaffung,.,
2020,Prozent,c) Nachhaltige Textilbeschaffung,.,
2021,Prozent,c) Nachhaltige Textilbeschaffung,.,
2022,Prozent,c) Nachhaltige Textilbeschaffung,.,
2023,Prozent,c) Nachhaltige Textilbeschaffung,,0.0
2024,Prozent,c) Nachhaltige Textilbeschaffung,…,
2026,Prozent,c) Nachhaltige Textilbeschaffung,…,
