Year,Value,Units,Series,GeoCode
1996,,Prozent,Ausländer,80.444
1997,,Prozent,Ausländer,80.574
1998,,Prozent,Ausländer,80.505
1999,,Prozent,Ausländer,80.687
2000,,Prozent,Ausländer,80.102
2001,,Prozent,Ausländer,79.799
2002,,Prozent,Ausländer,80.62
2003,,Prozent,Ausländer,80.946
2004,,Prozent,Ausländer,81.911
2005,,Prozent,Ausländer,82.599
2006,,Prozent,Ausländer,83.227
2007,,Prozent,Ausländer,84.036
2008,,Prozent,Ausländer,85.041
2009,,Prozent,Ausländer,86.154
2010,,Prozent,Ausländer,87.191
2011,,Prozent,Ausländer,88.221
2012,,Prozent,Ausländer,88.614
2013,,Prozent,Ausländer,89.287
2014,,Prozent,Ausländer,88.057
2015,,Prozent,Ausländer,88.2
2016,,Prozent,Ausländer,85.874
2017,,Prozent,Ausländer,81.921
2018,,Prozent,Ausländer,81.795
2019,,Prozent,Ausländer,82.371
2020,,Prozent,Ausländer,85.345
2021,,Prozent,Ausländer,84.342
2022,,Prozent,Ausländer,84.008
2023,,Prozent,Ausländer,82.271
2030,,Prozent,Ausländer,
1996,,Prozent,Deutsche,92.284
1997,,Prozent,Deutsche,92.286
1998,,Prozent,Deutsche,92.059
1999,,Prozent,Deutsche,92.002
2000,,Prozent,Deutsche,91.691
2001,,Prozent,Deutsche,91.347
2002,,Prozent,Deutsche,91.795
2003,,Prozent,Deutsche,92.074
2004,,Prozent,Deutsche,92.58
2005,,Prozent,Deutsche,92.761
2006,,Prozent,Deutsche,93.047
2007,,Prozent,Deutsche,93.6
2008,,Prozent,Deutsche,93.8
2009,,Prozent,Deutsche,94.227
2010,,Prozent,Deutsche,94.572
2011,,Prozent,Deutsche,95.006
2012,,Prozent,Deutsche,95.102
2013,,Prozent,Deutsche,95.377
2014,,Prozent,Deutsche,95.136
2015,,Prozent,Deutsche,95.0
2016,,Prozent,Deutsche,95.1
2017,,Prozent,Deutsche,94.809
2018,,Prozent,Deutsche,94.58
2019,,Prozent,Deutsche,94.526
2020,,Prozent,Deutsche,94.906
2021,,Prozent,Deutsche,94.86
2022,,Prozent,Deutsche,94.259
2023,,Prozent,Deutsche,94.212
2030,,Prozent,Deutsche,
1996,11.841,Prozentpunkte,Differenz,
1997,11.711,Prozentpunkte,Differenz,
1998,11.554,Prozentpunkte,Differenz,
1999,11.315,Prozentpunkte,Differenz,
2000,11.589,Prozentpunkte,Differenz,
2001,11.548,Prozentpunkte,Differenz,
2002,11.175,Prozentpunkte,Differenz,
2003,11.128,Prozentpunkte,Differenz,
2004,10.669,Prozentpunkte,Differenz,
2005,10.163,Prozentpunkte,Differenz,
2006,9.82,Prozentpunkte,Differenz,
2007,9.564,Prozentpunkte,Differenz,
2008,8.759,Prozentpunkte,Differenz,
2009,8.073,Prozentpunkte,Differenz,
2010,7.38,Prozentpunkte,Differenz,
2011,6.784,Prozentpunkte,Differenz,
2012,6.488,Prozentpunkte,Differenz,
2013,6.09,Prozentpunkte,Differenz,
2014,7.079,Prozentpunkte,Differenz,
2015,6.8,Prozentpunkte,Differenz,
2016,9.226,Prozentpunkte,Differenz,
2017,12.988,Prozentpunkte,Differenz,
2018,12.785,Prozentpunkte,Differenz,
2019,12.155,Prozentpunkte,Differenz,
2020,9.56,Prozentpunkte,Differenz,
2021,10.518,Prozentpunkte,Differenz,
2022,10.251,Prozentpunkte,Differenz,
2023,11.941,Prozentpunkte,Differenz,
2030,,Prozentpunkte,Differenz,
