Year,Units,Time series,Area,COMMENT_OBS_0,Sex,COMMENT_OBS_1,Age group,Länder,GeoCode,Value
2014,Percentage,a) Material and social deprivation,European Union,,,,,,,19.7
2015,Percentage,a) Material and social deprivation,European Union,,,,,,,17.5
2016,Percentage,a) Material and social deprivation,European Union,,,,,,,16.0
2017,Percentage,a) Material and social deprivation,European Union,,,,,,,14.0
2018,Percentage,a) Material and social deprivation,European Union,,,,,,,13.1
2019,Percentage,a) Material and social deprivation,European Union,,,,,,,12.5
2020,Percentage,a) Material and social deprivation,European Union,,,,,,,12.5
2021,Percentage,a) Material and social deprivation,European Union,,,,,,,11.8
2022,Percentage,a) Material and social deprivation,European Union,,,,,,,12.5
2023,Percentage,a) Material and social deprivation,European Union,,,,,,,13.1
2024,Percentage,a) Material and social deprivation,European Union,,,,,,,12.1
2025,Percentage,a) Material and social deprivation,European Union,,,,,,,12.0
2014,Percentage,a) Material and social deprivation,European Union,r,Female,,,,,20.5
2015,Percentage,a) Material and social deprivation,European Union,r,Female,,,,,18.3
2016,Percentage,a) Material and social deprivation,European Union,r,Female,,,,,16.9
2017,Percentage,a) Material and social deprivation,European Union,r,Female,,,,,14.9
2018,Percentage,a) Material and social deprivation,European Union,r,Female,,,,,13.9
2019,Percentage,a) Material and social deprivation,European Union,r,Female,,,,,13.3
2020,Percentage,a) Material and social deprivation,European Union,r,Female,,,,,13.2
2021,Percentage,a) Material and social deprivation,European Union,r,Female,,,,,12.3
2022,Percentage,a) Material and social deprivation,European Union,,Female,,,,,13.2
2023,Percentage,a) Material and social deprivation,European Union,,Female,,,,,13.8
2024,Percentage,a) Material and social deprivation,European Union,,Female,,,,,12.6
2025,Percentage,a) Material and social deprivation,European Union,,Female,,,,,12.6
2014,Percentage,a) Material and social deprivation,European Union,r,Male,,,,,18.8
2015,Percentage,a) Material and social deprivation,European Union,r,Male,,,,,16.5
2016,Percentage,a) Material and social deprivation,European Union,r,Male,,,,,15.1
2017,Percentage,a) Material and social deprivation,European Union,r,Male,,,,,13.2
2018,Percentage,a) Material and social deprivation,European Union,r,Male,,,,,12.1
2019,Percentage,a) Material and social deprivation,European Union,r,Male,,,,,11.7
2020,Percentage,a) Material and social deprivation,European Union,r,Male,,,,,11.8
2021,Percentage,a) Material and social deprivation,European Union,,Male,,,,,11.3
2022,Percentage,a) Material and social deprivation,European Union,,Male,,,,,11.9
2023,Percentage,a) Material and social deprivation,European Union,,Male,,,,,12.3
2024,Percentage,a) Material and social deprivation,European Union,,Male,,,,,11.5
2025,Percentage,a) Material and social deprivation,European Union,,Male,,,,,11.3
2014,Percentage,a) Material and social deprivation,Germany,r,,,,,,12.3
2015,Percentage,a) Material and social deprivation,Germany,r,,,,,,11.2
2016,Percentage,a) Material and social deprivation,Germany,r,,,,,,9.6
2017,Percentage,a) Material and social deprivation,Germany,r,,,,,,8.3
2018,Percentage,a) Material and social deprivation,Germany,r,,,,,,7.6
2019,Percentage,a) Material and social deprivation,Germany,r,,,,,,6.5
2020,Percentage,a) Material and social deprivation,Germany,|,,r,,,,9.1
2021,Percentage,a) Material and social deprivation,Germany,,,,,,,9.0
2022,Percentage,a) Material and social deprivation,Germany,,,,,,,11.7
2023,Percentage,a) Material and social deprivation,Germany,,,,,,,12.7
2024,Percentage,a) Material and social deprivation,Germany,,,,,,,11.4
2025,Percentage,a) Material and social deprivation,Germany,,,,,,,10.7
2014,Percentage,a) Material and social deprivation,Germany,r,Female,,,,,13.3
2015,Percentage,a) Material and social deprivation,Germany,r,Female,,,,,12.2
2016,Percentage,a) Material and social deprivation,Germany,r,Female,,,,,10.5
2017,Percentage,a) Material and social deprivation,Germany,r,Female,,,,,9.0
2018,Percentage,a) Material and social deprivation,Germany,r,Female,,,,,8.2
2019,Percentage,a) Material and social deprivation,Germany,r,Female,,,,,7.0
2020,Percentage,a) Material and social deprivation,Germany,|,Female,r,,,,9.3
2021,Percentage,a) Material and social deprivation,Germany,,Female,,,,,9.0
2022,Percentage,a) Material and social deprivation,Germany,,Female,,,,,11.8
2023,Percentage,a) Material and social deprivation,Germany,,Female,,,,,12.9
2024,Percentage,a) Material and social deprivation,Germany,,Female,,,,,11.4
2025,Percentage,a) Material and social deprivation,Germany,,Female,,,,,10.8
2014,Percentage,a) Material and social deprivation,Germany,r,Male,,,,,11.3
2015,Percentage,a) Material and social deprivation,Germany,r,Male,,,,,10.2
2016,Percentage,a) Material and social deprivation,Germany,r,Male,,,,,8.6
2017,Percentage,a) Material and social deprivation,Germany,r,Male,,,,,7.6
2018,Percentage,a) Material and social deprivation,Germany,r,Male,,,,,7.0
2019,Percentage,a) Material and social deprivation,Germany,r,Male,,,,,6.0
2020,Percentage,a) Material and social deprivation,Germany,|,Male,r,,,,8.9
2021,Percentage,a) Material and social deprivation,Germany,,Male,,,,,9.0
2022,Percentage,a) Material and social deprivation,Germany,,Male,,,,,11.6
2023,Percentage,a) Material and social deprivation,Germany,,Male,,,,,12.5
2024,Percentage,a) Material and social deprivation,Germany,,Male,,,,,11.4
2025,Percentage,a) Material and social deprivation,Germany,,Male,,,,,10.7
2014,Percentage,a) Material and social deprivation,Germany,,,,under 16 years,,,15.1
2015,Percentage,a) Material and social deprivation,Germany,,,,under 16 years,,,14.7
2016,Percentage,a) Material and social deprivation,Germany,,,,under 16 years,,,13.2
2017,Percentage,a) Material and social deprivation,Germany,,,,under 16 years,,,11.3
2018,Percentage,a) Material and social deprivation,Germany,,,,under 16 years,,,9.1
2019,Percentage,a) Material and social deprivation,Germany,,,,under 16 years,,,6.7
2020,Percentage,a) Material and social deprivation,Germany,|,,,under 16 years,,,11.2
2021,Percentage,a) Material and social deprivation,Germany,,,,under 16 years,,,11.5
2022,Percentage,a) Material and social deprivation,Germany,,,,under 16 years,,,14.9
2023,Percentage,a) Material and social deprivation,Germany,,,,under 16 years,,,15.5
2024,Percentage,a) Material and social deprivation,Germany,,,,under 16 years,,,13.0
2025,Percentage,a) Material and social deprivation,Germany,,,,under 16 years,,,12.3
2014,Percentage,a) Material and social deprivation,Germany,,,,16 to 24 years,,,9.1
2015,Percentage,a) Material and social deprivation,Germany,,,,16 to 24 years,,,7.7
2016,Percentage,a) Material and social deprivation,Germany,,,,16 to 24 years,,,7.3
2017,Percentage,a) Material and social deprivation,Germany,,,,16 to 24 years,,,6.1
2018,Percentage,a) Material and social deprivation,Germany,,,,16 to 24 years,,,6.4
2019,Percentage,a) Material and social deprivation,Germany,,,,16 to 24 years,,,4.8
2020,Percentage,a) Material and social deprivation,Germany,|,,,16 to 24 years,,,11.1
2021,Percentage,a) Material and social deprivation,Germany,,,,16 to 24 years,,,10.2
