Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,Länder,GeoCode,Value
1991,Percentage,,,,,39.0
1992,Percentage,,,,,41.4
1993,Percentage,,,,,45.1
1994,Percentage,,,,,47.5
1995,Percentage,,,,,54.9
1996,Percentage,,,,,57.7
1997,Percentage,,,,,58.8
1998,Percentage,,,,,59.4
1999,Percentage,,,,,60.3
2000,Percentage,,,,,59.2
2001,Percentage,,,,,58.1
2002,Percentage,,,,,59.8
2003,Percentage,,,,,63.3
2004,Percentage,,,,,65.0
2005,Percentage,,,,,67.1
2006,Percentage,,,,,66.4
2007,Percentage,,,,,63.7
2008,Percentage,,,,,65.2
2009,Percentage,r,,,,72.4
2010,Percentage,,,,,81.0
2011,Percentage,,,,,78.5
2012,Percentage,,,,,79.8
2013,Percentage,r,,,,77.5
2014,Percentage,,,,,74.5
2015,Percentage,,,,,71.2
2016,Percentage,,,,,68.3
2017,Percentage,,,,,64.0
2018,Percentage,,,,,60.8
2019,Percentage,,,,,58.7
2020,Percentage,r,,,,68.0
2021,Percentage,r,,,,67.9
2022,Percentage,r,p,,,64.4
2023,Percentage,r,p,,,62.3
2024,Percentage,r,p,,,62.2
2025,Percentage,p,,,,63.5
1991,Percentage,,,Baden-Wuerttemberg,code08,11.508
1992,Percentage,,,Baden-Wuerttemberg,code08,11.591
1993,Percentage,,,Baden-Wuerttemberg,code08,11.617
1994,Percentage,,,Baden-Wuerttemberg,code08,11.696
1995,Percentage,,,Baden-Wuerttemberg,code08,11.951
1996,Percentage,,,Baden-Wuerttemberg,code08,11.807
1997,Percentage,,,Baden-Wuerttemberg,code08,12.098
1998,Percentage,,,Baden-Wuerttemberg,code08,11.983
1999,Percentage,,,Baden-Wuerttemberg,code08,11.831
2000,Percentage,,,Baden-Wuerttemberg,code08,11.623
2001,Percentage,,,Baden-Wuerttemberg,code08,11.289
2002,Percentage,,,Baden-Wuerttemberg,code08,11.998
2003,Percentage,,,Baden-Wuerttemberg,code08,12.111
2004,Percentage,,,Baden-Wuerttemberg,code08,12.661
2005,Percentage,,,Baden-Wuerttemberg,code08,13.06
2006,Percentage,,,Baden-Wuerttemberg,code08,12.826
2007,Percentage,,,Baden-Wuerttemberg,code08,12.618
2008,Percentage,,,Baden-Wuerttemberg,code08,12.32
2009,Percentage,,,Baden-Wuerttemberg,code08,17.799
2010,Percentage,,,Baden-Wuerttemberg,code08,16.667
2011,Percentage,,,Baden-Wuerttemberg,code08,16.608
2012,Percentage,,,Baden-Wuerttemberg,code08,16.357
2013,Percentage,,,Baden-Wuerttemberg,code08,16.333
2014,Percentage,,,Baden-Wuerttemberg,code08,13.31
2015,Percentage,,,Baden-Wuerttemberg,code08,13.15
2016,Percentage,,,Baden-Wuerttemberg,code08,12.828
2017,Percentage,,,Baden-Wuerttemberg,code08,10.811
2018,Percentage,,,Baden-Wuerttemberg,code08,10.01
2019,Percentage,,,Baden-Wuerttemberg,code08,9.907
2020,Percentage,r,,Baden-Wuerttemberg,code08,11.083
2021,Percentage,r,,Baden-Wuerttemberg,code08,10.338
2022,Percentage,p,,Baden-Wuerttemberg,code08,9.035
2023,Percentage,p,,Baden-Wuerttemberg,code08,8.274
2024,Percentage,p,,Baden-Wuerttemberg,code08,8.88
2025,Percentage,p,,Baden-Wuerttemberg,code08,10.013
1991,Percentage,,,Bavaria,code09,9.281
1992,Percentage,,,Bavaria,code09,9.103
1993,Percentage,,,Bavaria,code09,8.872
1994,Percentage,,,Bavaria,code09,8.864
1995,Percentage,,,Bavaria,code09,8.56
1996,Percentage,,,Bavaria,code09,8.544
1997,Percentage,,,Bavaria,code09,9.228
1998,Percentage,,,Bavaria,code09,9.392
1999,Percentage,,,Bavaria,code09,9.359
2000,Percentage,,,Bavaria,code09,8.967
2001,Percentage,,,Bavaria,code09,8.493
2002,Percentage,,,Bavaria,code09,8.368
2003,Percentage,,,Bavaria,code09,8.843
2004,Percentage,,,Bavaria,code09,9.111
2005,Percentage,,,Bavaria,code09,9.317
2006,Percentage,,,Bavaria,code09,9.305
2007,Percentage,,,Bavaria,code09,8.516
2008,Percentage,,,Bavaria,code09,8.091
2009,Percentage,,,Bavaria,code09,9.503
2010,Percentage,,,Bavaria,code09,9.403
2011,Percentage,,,Bavaria,code09,8.642
2012,Percentage,,,Bavaria,code09,8.376
2013,Percentage,,,Bavaria,code09,7.719
2014,Percentage,,,Bavaria,code09,6.96
2015,Percentage,,,Bavaria,code09,6.289
2016,Percentage,,,Bavaria,code09,5.634
2017,Percentage,,,Bavaria,code09,4.93
2018,Percentage,,,Bavaria,code09,4.373
2019,Percentage,,,Bavaria,code09,3.946
2020,Percentage,,,Bavaria,code09,4.99
2021,Percentage,,,Bavaria,code09,5.107
2022,Percentage,p,,Bavaria,code09,4.834
2023,Percentage,p,,Bavaria,code09,4.621
2024,Percentage,p,,Bavaria,code09,4.966
2025,Percentage,p,,Bavaria,code09,5.433
1991,Percentage,,,Berlin,code11,11.835
1992,Percentage,,,Berlin,code11,13.907
1993,Percentage,,,Berlin,code11,16.837
1994,Percentage,,,Berlin,code11,19.313
1995,Percentage,,,Berlin,code11,25.048
1996,Percentage,,,Berlin,code11,29.172
1997,Percentage,,,Berlin,code11,32.308
1998,Percentage,,,Berlin,code11,34.828
1999,Percentage,,,Berlin,code11,36.906
2000,Percentage,,,Berlin,code11,38.8
2001,Percentage,,,Berlin,code11,44.001
2002,Percentage,,,Berlin,code11,51.248
2003,Percentage,,,Berlin,code11,56.292
2004,Percentage,,,Berlin,code11,62.173
2005,Percentage,,,Berlin,code11,64.626
2006,Percentage,,,Berlin,code11,63.813
2007,Percentage,,,Berlin,code11,58.687
2008,Percentage,,,Berlin,code11,55.428
2009,Percentage,,,Berlin,code11,58.013
2010,Percentage,,,Berlin,code11,57.237
2011,Percentage,,,Berlin,code11,55.467
2012,Percentage,,,Berlin,code11,54.165
2013,Percentage,,,Berlin,code11,51.996
2014,Percentage,,,Berlin,code11,48.793
2015,Percentage,,,Berlin,code11,45.292
2016,Percentage,,,Berlin,code11,42.524
2017,Percentage,,,Berlin,code11,39.139
2018,Percentage,,,Berlin,code11,35.717
2019,Percentage,,,Berlin,code11,33.737
2020,Percentage,r,,Berlin,code11,37.441
2021,Percentage,r,,Berlin,code11,36.365
2022,Percentage,p,,Berlin,code11,33.194
2023,Percentage,p,,Berlin,code11,31.339
2024,Percentage,p,,Berlin,code11,32.014
2025,Percentage,p,,Berlin,code11,30.412
1991,Percentage,,,Brandenburg,code12,5.597
1992,Percentage,,,Brandenburg,code12,14.341
1993,Percentage,,,Brandenburg,code12,11.8
1994,Percentage,,,Brandenburg,code12,19.692
1995,Percentage,,,Brandenburg,code12,25.226
1996,Percentage,,,Brandenburg,code12,28.23
1997,Percentage,,,Brandenburg,code12,31.993
1998,Percentage,,,Brandenburg,code12,33.789
1999,Percentage,,,Brandenburg,code12,34.04
2000,Percentage,,,Brandenburg,code12,33.901
2001,Percentage,,,Brandenburg,code12,31.497
2002,Percentage,,,Brandenburg,code12,32.617
2003,Percentage,,,Brandenburg,code12,34.643
2004,Percentage,,,Brandenburg,code12,37.037
2005,Percentage,,,Brandenburg,code12,36.697
2006,Percentage,,,Brandenburg,code12,35.733
2007,Percentage,,,Brandenburg,code12,34.932
2008,Percentage,,,Brandenburg,code12,33.478
2009,Percentage,,,Brandenburg,code12,34.588
