Year,Units,XXXSektoren,Value
2023,Hectre,,55843369.0
2022,Hectre,,
2024,Hectre,,
2023,Hectre,XXXNachhaltige bewirtschaftete Fläche,2505544.0
2022,Hectre,XXXNachhaltige bewirtschaftete Fläche,
2024,Hectre,XXXNachhaltige bewirtschaftete Fläche,
2023,Hectre,XXXWaldfläche nachhaltige Bewirtschaftung und Wiederherstellung,12008491.0
2022,Hectre,XXXWaldfläche nachhaltige Bewirtschaftung und Wiederherstellung,
2024,Hectre,XXXWaldfläche nachhaltige Bewirtschaftung und Wiederherstellung,
2023,Hectre,XXXTerrestrische Schutzgebiete und Mangrovenwälder in marinen Schutzgebieten,41329334.0
2022,Hectre,XXXTerrestrische Schutzgebiete und Mangrovenwälder in marinen Schutzgebieten,
2024,Hectre,XXXTerrestrische Schutzgebiete und Mangrovenwälder in marinen Schutzgebieten,
