Year,Units,Series,COMMENT_OBS_0,Länder,GeoCode,Value
2008,2008 = 100,a) Final energy productivity,,,,100.0
2009,2008 = 100,a) Final energy productivity,r,,,99.937
2010,2008 = 100,a) Final energy productivity,r,,,97.043
2011,2008 = 100,a) Final energy productivity,r,,,105.1
2012,2008 = 100,a) Final energy productivity,r,,,104.754
2013,2008 = 100,a) Final energy productivity,r,,,102.688
2014,2008 = 100,a) Final energy productivity,r,,,110.874
2015,2008 = 100,a) Final energy productivity,r,,,110.119
2016,2008 = 100,a) Final energy productivity,r,,,110.865
2017,2008 = 100,a) Final energy productivity,r,,,112.75
2018,2008 = 100,a) Final energy productivity,r,,,116.233
2019,2008 = 100,a) Final energy productivity,r,,,117.193
2020,2008 = 100,a) Final energy productivity,r,,,120.359
2021,2008 = 100,a) Final energy productivity,r,,,119.991
2022,2008 = 100,a) Final energy productivity,r,,,125.827
2023,2008 = 100,a) Final energy productivity,,,,131.49
2024,2008 = 100,a) Final energy productivity,,,,130.55
2025,2008 = 100,a) Final energy productivity,p,,,129.064
2030,2008 = 100,a) Final energy productivity,…,,,
2008,2008 = 100,a) Final energy productivity,,Baden-Wuerttemberg,code08,100.0
2009,2008 = 100,a) Final energy productivity,r,Baden-Wuerttemberg,code08,95.687
2010,2008 = 100,a) Final energy productivity,r,Baden-Wuerttemberg,code08,100.301
2011,2008 = 100,a) Final energy productivity,r,Baden-Wuerttemberg,code08,109.629
2012,2008 = 100,a) Final energy productivity,r,Baden-Wuerttemberg,code08,111.735
2013,2008 = 100,a) Final energy productivity,r,Baden-Wuerttemberg,code08,107.121
2014,2008 = 100,a) Final energy productivity,r,Baden-Wuerttemberg,code08,116.65
2015,2008 = 100,a) Final energy productivity,r,Baden-Wuerttemberg,code08,115.948
2016,2008 = 100,a) Final energy productivity,r,Baden-Wuerttemberg,code08,115.647
2017,2008 = 100,a) Final energy productivity,r,Baden-Wuerttemberg,code08,120.06
2018,2008 = 100,a) Final energy productivity,r,Baden-Wuerttemberg,code08,125.176
