Year,Value,Units,Series,GeoCode
1996,,Percentage,Foreigns,80.444
1997,,Percentage,Foreigns,80.574
1998,,Percentage,Foreigns,80.505
1999,,Percentage,Foreigns,80.687
2000,,Percentage,Foreigns,80.102
2001,,Percentage,Foreigns,79.799
2002,,Percentage,Foreigns,80.62
2003,,Percentage,Foreigns,80.946
2004,,Percentage,Foreigns,81.911
2005,,Percentage,Foreigns,82.599
2006,,Percentage,Foreigns,83.227
2007,,Percentage,Foreigns,84.036
2008,,Percentage,Foreigns,85.041
2009,,Percentage,Foreigns,86.154
2010,,Percentage,Foreigns,87.191
2011,,Percentage,Foreigns,88.221
2012,,Percentage,Foreigns,88.614
2013,,Percentage,Foreigns,89.287
2014,,Percentage,Foreigns,88.057
2015,,Percentage,Foreigns,88.2
2016,,Percentage,Foreigns,85.874
2017,,Percentage,Foreigns,81.921
2018,,Percentage,Foreigns,81.795
2019,,Percentage,Foreigns,82.371
2020,,Percentage,Foreigns,85.345
2021,,Percentage,Foreigns,84.342
2022,,Percentage,Foreigns,84.008
2023,,Percentage,Foreigns,82.271
2030,,Percentage,Foreigns,
1996,,Percentage,Germans,92.284
1997,,Percentage,Germans,92.286
1998,,Percentage,Germans,92.059
1999,,Percentage,Germans,92.002
2000,,Percentage,Germans,91.691
2001,,Percentage,Germans,91.347
2002,,Percentage,Germans,91.795
2003,,Percentage,Germans,92.074
2004,,Percentage,Germans,92.58
2005,,Percentage,Germans,92.761
2006,,Percentage,Germans,93.047
2007,,Percentage,Germans,93.6
2008,,Percentage,Germans,93.8
2009,,Percentage,Germans,94.227
2010,,Percentage,Germans,94.572
2011,,Percentage,Germans,95.006
2012,,Percentage,Germans,95.102
2013,,Percentage,Germans,95.377
2014,,Percentage,Germans,95.136
2015,,Percentage,Germans,95.0
2016,,Percentage,Germans,95.1
2017,,Percentage,Germans,94.809
2018,,Percentage,Germans,94.58
2019,,Percentage,Germans,94.526
2020,,Percentage,Germans,94.906
2021,,Percentage,Germans,94.86
2022,,Percentage,Germans,94.259
2023,,Percentage,Germans,94.212
2030,,Percentage,Germans,
1996,11.841,Percentage points,Difference,
1997,11.711,Percentage points,Difference,
1998,11.554,Percentage points,Difference,
1999,11.315,Percentage points,Difference,
2000,11.589,Percentage points,Difference,
2001,11.548,Percentage points,Difference,
2002,11.175,Percentage points,Difference,
2003,11.128,Percentage points,Difference,
2004,10.669,Percentage points,Difference,
2005,10.163,Percentage points,Difference,
2006,9.82,Percentage points,Difference,
2007,9.564,Percentage points,Difference,
2008,8.759,Percentage points,Difference,
2009,8.073,Percentage points,Difference,
2010,7.38,Percentage points,Difference,
2011,6.784,Percentage points,Difference,
2012,6.488,Percentage points,Difference,
2013,6.09,Percentage points,Difference,
2014,7.079,Percentage points,Difference,
2015,6.8,Percentage points,Difference,
2016,9.226,Percentage points,Difference,
2017,12.988,Percentage points,Difference,
2018,12.785,Percentage points,Difference,
2019,12.155,Percentage points,Difference,
2020,9.56,Percentage points,Difference,
2021,10.518,Percentage points,Difference,
2022,10.251,Percentage points,Difference,
2023,11.941,Percentage points,Difference,
2030,,Percentage points,Difference,
