Year,Units,Value
1991,1 000 eur,25.6
1992,1 000 eur,25.9
1993,1 000 eur,25.5
1994,1 000 eur,26.0
1995,1 000 eur,26.4
1996,1 000 eur,26.5
1997,1 000 eur,27.0
1998,1 000 eur,27.6
1999,1 000 eur,28.1
2000,1 000 eur,28.9
2001,1 000 eur,29.4
2002,1 000 eur,29.3
2003,1 000 eur,29.1
2004,1 000 eur,29.5
2005,1 000 eur,29.7
2006,1 000 eur,30.9
2007,1 000 eur,31.9
2008,1 000 eur,32.3
2009,1 000 eur,30.6
2010,1 000 eur,31.9
2011,1 000 eur,33.2
2012,1 000 eur,33.3
2013,1 000 eur,33.3
2014,1 000 eur,33.9
2015,1 000 eur,34.2
2016,1 000 eur,34.7
2017,1 000 eur,35.4
2018,1 000 eur,35.9
2019,1 000 eur,36.0
