Year,Units,time series,Value
2005,percentage,a) government deficit,-3.371
2006,percentage,a) government deficit,-1.755
2007,percentage,a) government deficit,0.155
2008,percentage,a) government deficit,-0.263
2009,percentage,a) government deficit,-3.175
2010,percentage,a) government deficit,-4.42
2011,percentage,a) government deficit,-0.84
2012,percentage,a) government deficit,-0.054
2013,percentage,a) government deficit,0.122
2014,percentage,a) government deficit,0.731
2015,percentage,a) government deficit,0.915
2016,percentage,a) government deficit,1.134
2017,percentage,a) government deficit,1.338
2018,percentage,a) government deficit,1.885
2019,percentage,a) government deficit,1.328
2020,percentage,a) government deficit,-4.381
2021,percentage,a) government deficit,-3.167
2022,percentage,a) government deficit,-2.147
2023,percentage,a) government deficit,-2.569
2024,percentage,a) government deficit,-2.625
2005,percentage,b) structural deficit,-2.315
2006,percentage,b) structural deficit,-1.958
2007,percentage,b) structural deficit,-0.822
2008,percentage,b) structural deficit,-0.793
2009,percentage,b) structural deficit,-0.597
2010,percentage,b) structural deficit,-2.272
2011,percentage,b) structural deficit,-1.183
2012,percentage,b) structural deficit,0.054
2013,percentage,b) structural deficit,0.706
2014,percentage,b) structural deficit,1.078
2015,percentage,b) structural deficit,1.091
2016,percentage,b) structural deficit,0.99
2017,percentage,b) structural deficit,0.697
2018,percentage,b) structural deficit,1.237
2019,percentage,b) structural deficit,0.556
2020,percentage,b) structural deficit,-2.753
2021,percentage,b) structural deficit,-2.616
2022,percentage,b) structural deficit,-1.686
2023,percentage,b) structural deficit,-2.037
2024,percentage,b) structural deficit,
2005,percentage,gross domestic product (price-adjusted),0.9
2006,percentage,gross domestic product (price-adjusted),3.9
2007,percentage,gross domestic product (price-adjusted),2.9
2008,percentage,gross domestic product (price-adjusted),0.9
2009,percentage,gross domestic product (price-adjusted),-5.5
2010,percentage,gross domestic product (price-adjusted),4.1
2011,percentage,gross domestic product (price-adjusted),3.8
2012,percentage,gross domestic product (price-adjusted),0.5
2013,percentage,gross domestic product (price-adjusted),0.4
2014,percentage,gross domestic product (price-adjusted),2.2
2015,percentage,gross domestic product (price-adjusted),1.7
2016,percentage,gross domestic product (price-adjusted),2.3
2017,percentage,gross domestic product (price-adjusted),2.7
2018,percentage,gross domestic product (price-adjusted),1.1
2019,percentage,gross domestic product (price-adjusted),1.0
2020,percentage,gross domestic product (price-adjusted),-4.1
2021,percentage,gross domestic product (price-adjusted),3.7
2022,percentage,gross domestic product (price-adjusted),1.4
2023,percentage,gross domestic product (price-adjusted),-0.3
2024,percentage,gross domestic product (price-adjusted),-0.2
