Year,Units,xxxsektoren,Value
2023,hectre,,55843369.0
2022,hectre,,
2024,hectre,,
2023,hectre,xxxnachhaltige bewirtschaftete fläche,2505544.0
2022,hectre,xxxnachhaltige bewirtschaftete fläche,
2024,hectre,xxxnachhaltige bewirtschaftete fläche,
2023,hectre,xxxwaldfläche nachhaltige bewirtschaftung und wiederherstellung,12008491.0
2022,hectre,xxxwaldfläche nachhaltige bewirtschaftung und wiederherstellung,
2024,hectre,xxxwaldfläche nachhaltige bewirtschaftung und wiederherstellung,
2023,hectre,xxxterrestrische schutzgebiete und mangrovenwälder in marinen schutzgebieten,41329334.0
2022,hectre,xxxterrestrische schutzgebiete und mangrovenwälder in marinen schutzgebieten,
2024,hectre,xxxterrestrische schutzgebiete und mangrovenwälder in marinen schutzgebieten,
