Year,Value,Units,Series,GeoCode
1996,,percentage,foreigns,80.444
1997,,percentage,foreigns,80.574
1998,,percentage,foreigns,80.505
1999,,percentage,foreigns,80.687
2000,,percentage,foreigns,80.102
2001,,percentage,foreigns,79.799
2002,,percentage,foreigns,80.62
2003,,percentage,foreigns,80.946
2004,,percentage,foreigns,81.911
2005,,percentage,foreigns,82.599
2006,,percentage,foreigns,83.227
2007,,percentage,foreigns,84.036
2008,,percentage,foreigns,85.041
2009,,percentage,foreigns,86.154
2010,,percentage,foreigns,87.191
2011,,percentage,foreigns,88.221
2012,,percentage,foreigns,88.614
2013,,percentage,foreigns,89.287
2014,,percentage,foreigns,88.057
2015,,percentage,foreigns,88.2
2016,,percentage,foreigns,85.874
2017,,percentage,foreigns,81.921
2018,,percentage,foreigns,81.795
2019,,percentage,foreigns,82.371
2020,,percentage,foreigns,85.345
2021,,percentage,foreigns,84.342
2022,,percentage,foreigns,84.008
2023,,percentage,foreigns,82.271
2030,,percentage,foreigns,
1996,,percentage,germans,92.284
1997,,percentage,germans,92.286
1998,,percentage,germans,92.059
1999,,percentage,germans,92.002
2000,,percentage,germans,91.691
2001,,percentage,germans,91.347
2002,,percentage,germans,91.795
2003,,percentage,germans,92.074
2004,,percentage,germans,92.58
2005,,percentage,germans,92.761
2006,,percentage,germans,93.047
2007,,percentage,germans,93.6
2008,,percentage,germans,93.8
2009,,percentage,germans,94.227
2010,,percentage,germans,94.572
2011,,percentage,germans,95.006
2012,,percentage,germans,95.102
2013,,percentage,germans,95.377
2014,,percentage,germans,95.136
2015,,percentage,germans,95.0
2016,,percentage,germans,95.1
2017,,percentage,germans,94.809
2018,,percentage,germans,94.58
2019,,percentage,germans,94.526
2020,,percentage,germans,94.906
2021,,percentage,germans,94.86
2022,,percentage,germans,94.259
2023,,percentage,germans,94.212
2030,,percentage,germans,
1996,11.841,percentage points,difference,
1997,11.711,percentage points,difference,
1998,11.554,percentage points,difference,
1999,11.315,percentage points,difference,
2000,11.589,percentage points,difference,
2001,11.548,percentage points,difference,
2002,11.175,percentage points,difference,
2003,11.128,percentage points,difference,
2004,10.669,percentage points,difference,
2005,10.163,percentage points,difference,
2006,9.82,percentage points,difference,
2007,9.564,percentage points,difference,
2008,8.759,percentage points,difference,
2009,8.073,percentage points,difference,
2010,7.38,percentage points,difference,
2011,6.784,percentage points,difference,
2012,6.488,percentage points,difference,
2013,6.09,percentage points,difference,
2014,7.079,percentage points,difference,
2015,6.8,percentage points,difference,
2016,9.226,percentage points,difference,
2017,12.988,percentage points,difference,
2018,12.785,percentage points,difference,
2019,12.155,percentage points,difference,
2020,9.56,percentage points,difference,
2021,10.518,percentage points,difference,
2022,10.251,percentage points,difference,
2023,11.941,percentage points,difference,
2030,,percentage points,difference,
