Year,Value,Units,Series,COMMENT_OBS_0
2015,,percentage,a) sustainability in procurement procedures,.
2016,,percentage,a) sustainability in procurement procedures,.
2017,,percentage,a) sustainability in procurement procedures,.
2018,,percentage,a) sustainability in procurement procedures,.
2019,,percentage,a) sustainability in procurement procedures,.
2020,,percentage,a) sustainability in procurement procedures,.
2021,12.6,percentage,a) sustainability in procurement procedures,
2022,12.8,percentage,a) sustainability in procurement procedures,
2023,14.0,percentage,a) sustainability in procurement procedures,
2024,,percentage,a) sustainability in procurement procedures,…
2026,,percentage,a) sustainability in procurement procedures,…
2015,100.0,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,
2016,100.021,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,
2017,99.997,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,
2018,100.336,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,r
2019,100.857,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,r
2020,101.149,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,r
2021,100.47,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,r
2022,98.999,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,r
2023,96.667,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,r
2024,95.017,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,
2026,,2015 = 100,b) co₂ emissions of commercially available vehicles in the public sector,…
2015,,percentage,c) sustainable textile procurement,.
2016,,percentage,c) sustainable textile procurement,.
2017,,percentage,c) sustainable textile procurement,.
2018,,percentage,c) sustainable textile procurement,.
2019,,percentage,c) sustainable textile procurement,.
2020,,percentage,c) sustainable textile procurement,.
2021,,percentage,c) sustainable textile procurement,.
2022,,percentage,c) sustainable textile procurement,.
2023,0.0,percentage,c) sustainable textile procurement,
2024,,percentage,c) sustainable textile procurement,…
2026,,percentage,c) sustainable textile procurement,…
